,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,0.0,0.0829256328133593,0.2915711868900712,0.20894948448660478,0.09844624552014625,0.07583910649925163,0.0877108152124384,0.10894260080776907,0.03463132574316119,0.031805201648153814,0.023633422532374104,0.025627478922253144
month,0.0829256328133593,0.0,0.3188807398118846,0.2332391752748857,0.12021490837680782,0.1604356908771839,0.15534537409329063,0.1794583735990749,0.0840277221532163,0.07886385460508372,0.05571365282207197,0.05989508957490597
day,0.2915711868900712,0.3188807398118846,0.0,0.3783382959820605,0.31412146516944506,0.30366166867586086,0.3113655156127072,0.33050423221391734,0.29403135994114504,0.2910415398485058,0.2795725830423228,0.2831381197354206
hour,0.20894948448660478,0.2332391752748857,0.3783382959820605,0.0,0.22855391005379833,0.21995320372439253,0.24169885091232057,0.23276127367398503,0.22664622771660603,0.2034720610994467,0.1958609839339165,0.19809623663302767
pm2.5,0.09844624552014625,0.12021490837680782,0.31412146516944506,0.22855391005379833,0.0,0.02734277062170498,0.06571732380750805,0.030295224027996892,0.08906415309658466,0.0027140916623293876,,0.031335953990016985
DEWP,0.07583910649925163,0.1604356908771839,0.30366166867586086,0.21995320372439253,0.02734277062170498,0.0,0.0026680125748842487,0.004847005404746252,0.04801134748274394,0.009615146290527288,,0.017323656961576117
TEMP,0.0877108152124384,0.15534537409329063,0.3113655156127072,0.24169885091232057,0.06571732380750805,0.0026680125748842487,0.0,0.008418607900473996,0.0829917431399898,0.007618559770222855,,0.005281027472345268
PRES,0.10894260080776907,0.1794583735990749,0.33050423221391734,0.23276127367398503,0.030295224027996892,0.004847005404746252,0.008418607900473996,0.0,0.09790204248548484,0.004974912744848847,,0.0069156094007626345
cbwd,0.03463132574316119,0.0840277221532163,0.29403135994114504,0.22664622771660603,0.08906415309658466,0.04801134748274394,0.0829917431399898,0.09790204248548484,0.0,0.035035657469109416,0.013891284275207139,0.02221959924146777
Iws,0.031805201648153814,0.07886385460508372,0.2910415398485058,0.2034720610994467,0.0027140916623293876,0.009615146290527288,0.007618559770222855,0.004974912744848847,0.035035657469109416,0.0,,0.00791919489555093
Is,0.023633422532374104,0.05571365282207197,0.2795725830423228,0.1958609839339165,,,,,0.013891284275207139,,0.0,
Ir,0.025627478922253144,0.05989508957490597,0.2831381197354206,0.19809623663302767,0.031335953990016985,0.017323656961576117,0.005281027472345268,0.0069156094007626345,0.02221959924146777,0.00791919489555093,,0.0
