,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,1.0,0.9170743671866407,0.7084288131099288,0.7910505155133952,0.9015537544798538,0.9241608935007484,0.9122891847875616,0.8910573991922309,0.9653686742568388,0.9681947983518462,0.9763665774676259,0.9743725210777469
month,0.9170743671866407,1.0,0.6811192601881154,0.7667608247251143,0.8797850916231922,0.8395643091228161,0.8446546259067094,0.8205416264009251,0.9159722778467837,0.9211361453949163,0.944286347177928,0.940104910425094
day,0.7084288131099288,0.6811192601881154,1.0,0.6216617040179395,0.6858785348305549,0.6963383313241391,0.6886344843872928,0.6694957677860827,0.705968640058855,0.7089584601514942,0.7204274169576772,0.7168618802645794
hour,0.7910505155133952,0.7667608247251143,0.6216617040179395,1.0,0.7714460899462017,0.7800467962756075,0.7583011490876794,0.767238726326015,0.773353772283394,0.7965279389005533,0.8041390160660835,0.8019037633669723
pm2.5,0.9015537544798538,0.8797850916231922,0.6858785348305549,0.7714460899462017,1.0,0.972657229378295,0.934282676192492,0.9697047759720031,0.9109358469034153,0.9972859083376706,,0.968664046009983
DEWP,0.9241608935007484,0.8395643091228161,0.6963383313241391,0.7800467962756075,0.972657229378295,1.0,0.9973319874251158,0.9951529945952537,0.9519886525172561,0.9903848537094727,,0.9826763430384239
TEMP,0.9122891847875616,0.8446546259067094,0.6886344843872928,0.7583011490876794,0.934282676192492,0.9973319874251158,1.0,0.991581392099526,0.9170082568600102,0.9923814402297771,,0.9947189725276547
PRES,0.8910573991922309,0.8205416264009251,0.6694957677860827,0.767238726326015,0.9697047759720031,0.9951529945952537,0.991581392099526,1.0,0.9020979575145152,0.9950250872551512,,0.9930843905992374
cbwd,0.9653686742568388,0.9159722778467837,0.705968640058855,0.773353772283394,0.9109358469034153,0.9519886525172561,0.9170082568600102,0.9020979575145152,1.0,0.9649643425308906,0.9861087157247929,0.9777804007585322
Iws,0.9681947983518462,0.9211361453949163,0.7089584601514942,0.7965279389005533,0.9972859083376706,0.9903848537094727,0.9923814402297771,0.9950250872551512,0.9649643425308906,1.0,,0.9920808051044491
Is,0.9763665774676259,0.944286347177928,0.7204274169576772,0.8041390160660835,,,,,0.9861087157247929,,1.0,
Ir,0.9743725210777469,0.940104910425094,0.7168618802645794,0.8019037633669723,0.968664046009983,0.9826763430384239,0.9947189725276547,0.9930843905992374,0.9777804007585322,0.9920808051044491,,1.0
