,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,1.0,0.9309711843641715,0.8950064186720175,0.9403527713149109,0.9754176231470824,0.8927412946718339,0.8970611638027747,0.9231136008501345,0.9248319520568684,0.9320147114400257,0.9258994702468287,0.9953368538199909,0.9974258520796971,0.9988209705901017,0.9977800290073736,0.9964925109791747,0.9979919844095246,0.9837424875217936,0.9913832931914099,0.9628203720726968,0.9834126823691232,0.9740670875405525,0.9672155522439301,0.9283733811134964
SEX,0.9309711843641715,1.0,0.9723597930104925,0.9710645566942545,0.935132729419564,0.9422300142881647,0.9331363700711296,0.9599674323094233,0.9716871038913105,0.9619107002109009,0.9693746887649675,0.9770914725769286,0.966876058658817,0.9758677159586855,0.9687965695569966,0.9708526598685343,0.9773474641818158,0.9802715046245649,0.9818640382344312,0.980456584222429,0.9798266817249577,0.9780490685172274,0.9782712825093017,0.9642122551621344
EDUCATION,0.8950064186720175,0.9723597930104925,1.0,0.9313739487674448,0.8983712217898159,0.8880246465750383,0.8799155019139145,0.8900700988514119,0.9071774169174699,0.916578749641136,0.9139505996056942,0.9617728253514399,0.9455137610080987,0.9404576583924762,0.9589642359747719,0.9463104782634767,0.9637052947833482,0.991330741807593,0.9922295200267861,0.9917111194408106,0.9911082316289247,0.9886176232430257,0.9873588055367296,0.9654746024253412
MARRIAGE,0.9403527713149109,0.9710645566942545,0.9313739487674448,1.0,0.8166235367564663,0.9433237326505772,0.9491552394279249,0.9551905472640929,0.9523464154961567,0.9511550419455135,0.9600115147474823,0.9804040357842276,0.9789808592005325,0.9767498213408636,0.9704509938238801,0.9766721957710454,0.9809223376413385,0.9789223129838046,0.9799595090712142,0.9799961498211014,0.9782550786343938,0.9764403310324531,0.976477564155528,0.970486190664122
AGE,0.9754176231470824,0.935132729419564,0.8983712217898159,0.8166235367564663,1.0,0.9310685557069165,0.9282876597767782,0.9452934228644524,0.9463870054746759,0.94562239978252,0.9472294588765956,0.9957426421271749,0.9976611937858894,0.9947196094603241,0.9980360815196725,0.9945450596299772,0.9996630092984579,0.9728288071328199,0.9999359395342607,0.9986536838199404,0.9853478340175689,0.9857932128053591,0.9877184871292088,0.9584050603677026
PAY_0,0.8927412946718339,0.9422300142881647,0.8880246465750383,0.9433237326505772,0.9310685557069165,1.0,0.7942359398465266,0.897011355090567,0.8894662484330957,0.9049192039378107,0.8961999272343586,0.930722313578646,0.9234198824704445,0.9317264478375115,0.9252638414752087,0.9331446632957588,0.9453171301330726,0.9454406646249456,0.9479592873261843,0.945514735955637,0.9456989269937193,0.9422174757223563,0.9437724800225535,0.9184266454593775
PAY_2,0.8970611638027747,0.9331363700711296,0.8799155019139145,0.9491552394279249,0.9282876597767782,0.7942359398465266,1.0,0.8604905731150121,0.8819656191291421,0.9026892027312204,0.8844287438673486,0.933770036606565,0.9240749855106135,0.9287227208598948,0.9304787988340268,0.9305392455813989,0.9356131317337637,0.9532058626039015,0.9531688269385558,0.9528358021370381,0.9530577199425186,0.9516138226383584,0.9526132919583699,0.9168703206606156
PAY_3,0.9231136008501345,0.9599674323094233,0.8900700988514119,0.9551905472640929,0.9452934228644524,0.897011355090567,0.8604905731150121,1.0,0.8913668654650516,0.9211607192254632,0.9223558938373949,0.9529265463047446,0.9491044681092871,0.9518969646810198,0.9452661860389215,0.958906775775555,0.9655612370040573,0.9752963473368339,0.9783333706240482,0.976555461229724,0.9744441321184236,0.9725915590202202,0.9728876468852568,0.947544206497048
PAY_4,0.9248319520568684,0.9716871038913105,0.9071774169174699,0.9523464154961567,0.9463870054746759,0.8894662484330957,0.8819656191291421,0.8913668654650516,1.0,0.8944823041530012,0.9222640389699612,0.9561849690709,0.9420266821914515,0.933875195188508,0.9301884002198149,0.9405994824065225,0.9568910162052201,0.9723191660826956,0.9745787365842437,0.9757269409388258,0.973614920725473,0.9690592377013546,0.9687629523785888,0.9452848211121212
PAY_5,0.9320147114400257,0.9619107002109009,0.916578749641136,0.9511550419455135,0.94562239978252,0.9049192039378107,0.9026892027312204,0.9211607192254632,0.8944823041530012,1.0,0.8756105038182093,0.9673433670573446,0.9522524749814578,0.9441846360090752,0.9412980138060223,0.9420055542144199,0.9691854748958969,0.9803559054627187,0.9818749601150814,0.9808742073198297,0.9813755771766558,0.976244650422749,0.97694773569113,0.9471010496470313
PAY_6,0.9258994702468287,0.9693746887649675,0.9139505996056942,0.9600115147474823,0.9472294588765956,0.8961999272343586,0.8844287438673486,0.9223558938373949,0.9222640389699612,0.8756105038182093,1.0,0.9590632980493238,0.9426126503441609,0.9421412693799671,0.9288870303728616,0.9117427877114305,0.9512152912351562,0.9763523265907402,0.9779083181795839,0.9767967545748889,0.9757961992373664,0.9770185736515047,0.9751667903842183,0.95691125562247
BILL_AMT1,0.9953368538199909,0.9770914725769286,0.9617728253514399,0.9804040357842276,0.9957426421271749,0.930722313578646,0.933770036606565,0.9529265463047446,0.9561849690709,0.9673433670573446,0.9590632980493238,1.0,0.9896778058588547,0.9861813479014258,0.9821015784778443,0.9854419982501238,0.9726980582523707,0.8915539186740622,0.9162048072445023,0.9925019851713088,0.9528110573649995,0.9886087617321104,0.9993571896357047,0.9705992475552357
BILL_AMT2,0.9974258520796971,0.966876058658817,0.9455137610080987,0.9789808592005325,0.9976611937858894,0.9234198824704445,0.9240749855106135,0.9491044681092871,0.9420266821914515,0.9522524749814578,0.9426126503441609,0.9896778058588547,1.0,0.9941717599849575,0.9973969088499551,0.9964045021763386,0.9836151126159491,0.9734262591140908,0.9123470053237679,0.9934695210738237,0.9506382366068753,0.9753450895116509,0.992349691619567,0.9635052947858165
BILL_AMT3,0.9988209705901017,0.9758677159586855,0.9404576583924762,0.9767498213408636,0.9947196094603241,0.9317264478375115,0.9287227208598948,0.9518969646810198,0.933875195188508,0.9441846360090752,0.9421412693799671,0.9861813479014258,0.9941717599849575,1.0,0.9987144885903381,0.994170228592824,0.9819402916559821,0.9473772275580261,0.9852895602345326,0.9829970796399752,0.9418232129279482,0.998268274481122,0.996567546694685,0.9727953971023646
BILL_AMT4,0.9977800290073736,0.9687965695569966,0.9589642359747719,0.9704509938238801,0.9980360815196725,0.9252638414752087,0.9304787988340268,0.9452661860389215,0.9301884002198149,0.9412980138060223,0.9288870303728616,0.9821015784778443,0.9973969088499551,0.9987144885903381,1.0,0.9917961094817487,0.9848655556719965,0.9370234084600868,0.9702413167999931,0.9667995111736838,0.9267493093331689,0.970402626208404,0.9809858695815966,0.9596304706944283
BILL_AMT5,0.9964925109791747,0.9708526598685343,0.9463104782634767,0.9766721957710454,0.9945450596299772,0.9331446632957588,0.9305392455813989,0.958906775775555,0.9405994824065225,0.9420055542144199,0.9117427877114305,0.9854419982501238,0.9964045021763386,0.994170228592824,0.9917961094817487,1.0,0.9944695095965034,0.9301765086314335,0.9496312113835841,0.9767339710556057,0.9975376718541055,0.934300202719239,0.9675128447661424,0.9710545233733862
BILL_AMT6,0.9979919844095246,0.9773474641818158,0.9637052947833482,0.9809223376413385,0.9996630092984579,0.9453171301330726,0.9356131317337637,0.9655612370040573,0.9568910162052201,0.9691854748958969,0.9512152912351562,0.9726980582523707,0.9836151126159491,0.9819402916559821,0.9848655556719965,0.9944695095965034,1.0,0.92137255652656,0.9459919047795516,0.9847695796663327,0.9759452041625378,0.9762552578346904,0.9531764874821687,0.9709060845254093
PAY_AMT1,0.9837424875217936,0.9802715046245649,0.991330741807593,0.9789223129838046,0.9728288071328199,0.9454406646249456,0.9532058626039015,0.9752963473368339,0.9723191660826956,0.9803559054627187,0.9763523265907402,0.8915539186740622,0.9734262591140908,0.9473772275580261,0.9370234084600868,0.9301765086314335,0.92137255652656,1.0,0.942751406356385,0.9668523076904999,0.9376203776815044,0.9909951447835513,0.9820540978137579,0.9676472421615792
PAY_AMT2,0.9913832931914099,0.9818640382344312,0.9922295200267861,0.9799595090712142,0.9999359395342607,0.9479592873261843,0.9531688269385558,0.9783333706240482,0.9745787365842437,0.9818749601150814,0.9779083181795839,0.9162048072445023,0.9123470053237679,0.9852895602345326,0.9702413167999931,0.9496312113835841,0.9459919047795516,0.942751406356385,1.0,0.9505083126012831,0.9792727122042589,0.959982753220214,0.9896358810483823,0.9709064794408678
PAY_AMT3,0.9628203720726968,0.980456584222429,0.9917111194408106,0.9799961498211014,0.9986536838199404,0.945514735955637,0.9528358021370381,0.976555461229724,0.9757269409388258,0.9808742073198297,0.9767967545748889,0.9925019851713088,0.9934695210738237,0.9829970796399752,0.9667995111736838,0.9767339710556057,0.9847695796663327,0.9668523076904999,0.9505083126012831,1.0,0.9705457118695431,0.962944268946725,0.9829102401213969,0.9696095400517148
PAY_AMT4,0.9834126823691232,0.9798266817249577,0.9911082316289247,0.9782550786343938,0.9853478340175689,0.9456989269937193,0.9530577199425186,0.9744441321184236,0.973614920725473,0.9813755771766558,0.9757961992373664,0.9528110573649995,0.9506382366068753,0.9418232129279482,0.9267493093331689,0.9975376718541055,0.9759452041625378,0.9376203776815044,0.9792727122042589,0.9705457118695431,1.0,0.9995572567655687,0.9982084838516802,0.9681644580011791
PAY_AMT5,0.9740670875405525,0.9780490685172274,0.9886176232430257,0.9764403310324531,0.9857932128053591,0.9422174757223563,0.9516138226383584,0.9725915590202202,0.9690592377013546,0.976244650422749,0.9770185736515047,0.9886087617321104,0.9753450895116509,0.998268274481122,0.970402626208404,0.934300202719239,0.9762552578346904,0.9909951447835513,0.959982753220214,0.962944268946725,0.9995572567655687,1.0,0.9916247434752434,0.9639052577575558
PAY_AMT6,0.9672155522439301,0.9782712825093017,0.9873588055367296,0.976477564155528,0.9877184871292088,0.9437724800225535,0.9526132919583699,0.9728876468852568,0.9687629523785888,0.97694773569113,0.9751667903842183,0.9993571896357047,0.992349691619567,0.996567546694685,0.9809858695815966,0.9675128447661424,0.9531764874821687,0.9820540978137579,0.9896358810483823,0.9829102401213969,0.9982084838516802,0.9916247434752434,1.0,0.9631650380949643
default payment next month,0.9283733811134964,0.9642122551621344,0.9654746024253412,0.970486190664122,0.9584050603677026,0.9184266454593775,0.9168703206606156,0.947544206497048,0.9452848211121212,0.9471010496470313,0.95691125562247,0.9705992475552357,0.9635052947858165,0.9727953971023646,0.9596304706944283,0.9710545233733862,0.9709060845254093,0.9676472421615792,0.9709064794408678,0.9696095400517148,0.9681644580011791,0.9639052577575558,0.9631650380949643,1.0
