,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,1.0,0.9381483162020448,0.9206905600309693,0.9316951014229903,0.9620684540219452,0.9223227209388779,0.926429039535616,0.9322573623070793,0.9342750717724908,0.9341991245933713,0.9298689136138601,0.9842110952979128,0.9745573316016888,0.9669422311350984,0.9664875106501634,0.9718037644779247,0.9652420574778208,0.9924407131570944,0.9914045999663553,0.9934666797620189,0.96504426979185,0.9720881135208959,0.9227328858324522,0.936087721386058
SEX,0.9381483162020448,1.0,0.975245884545898,0.9778187464171448,0.9429747754785293,0.9691843888783859,0.98050348043313,0.9898377515754936,0.9877680983861767,0.9836895349415089,0.9715905223794826,0.982152215449189,0.9835089721892019,0.9815935211453348,0.9869526596698426,0.9872418241732467,0.991360656653577,0.9902178823865496,0.9925140936379847,0.9907732199090062,0.9882918303308426,0.9877354067908749,0.9908458103067282,0.9858651365436859
EDUCATION,0.9206905600309693,0.975245884545898,1.0,0.9167479215506859,0.9046398135920053,0.9529549925588672,0.9594086516178125,0.9554107743377666,0.9652333090801763,0.9641344938401272,0.9482347408585123,0.959581970139677,0.955498396205129,0.9627819577590774,0.9548086393334735,0.9567911642997511,0.9662495993304998,0.974287782620168,0.9762140321336044,0.9746948787523771,0.9705842160855953,0.9672873507677731,0.9729164757137299,0.9739770952242738
MARRIAGE,0.9316951014229903,0.9778187464171448,0.9167479215506859,1.0,0.7846708406186493,0.9755847466915372,0.9708772680380443,0.9837527460970906,0.9839979639146247,0.9801825005530976,0.9653689255168588,0.978451586098339,0.9795462917493978,0.9819279281509573,0.9844788475320394,0.9760397510053097,0.9770337902377664,0.992182611474977,0.993085733764214,0.9926637789378776,0.9878124029641812,0.9864777368076301,0.9889753672840261,0.9841965570258354
AGE,0.9620684540219452,0.9429747754785293,0.9046398135920053,0.7846708406186493,1.0,0.9453599784603236,0.9526174879351168,0.9513893008590731,0.9613438854579306,0.9548284714941568,0.9511954220511487,0.9736951582784451,0.9759462746369804,0.9788245475218736,0.9807604409487714,0.9813207400286181,0.9827126232282731,0.9876261979468793,0.9940831779795084,0.9827016982861403,0.988123420898683,0.9948712754646819,0.9853832539345507,0.9625599535658403
PAY_0,0.9223227209388779,0.9691843888783859,0.9529549925588672,0.9755847466915372,0.9453599784603236,1.0,0.7530409138215363,0.8480759120316437,0.8869662237817324,0.9024969035851301,0.8996771578467585,0.9581371966168432,0.9595867338073956,0.9591555601733239,0.969505961131606,0.9676710728412801,0.9644821428547187,0.9786190425938659,0.979063668035744,0.9784708012036184,0.9772489204338033,0.9766560536016777,0.9752124524841114,0.9314674820255772
PAY_2,0.926429039535616,0.98050348043313,0.9594086516178125,0.9708772680380443,0.9526174879351168,0.7530409138215363,1.0,0.7991897223350646,0.8535286455198241,0.8849351859195953,0.8926143170108068,0.9559123046289979,0.9373072696864462,0.9426888073221177,0.9538704065917512,0.9607061093335048,0.9615169324754174,0.98414461330193,0.986515290799515,0.9853293596775348,0.9818483033216302,0.9816250033120448,0.983176700195277,0.9587148715449232
PAY_3,0.9322573623070793,0.9898377515754936,0.9554107743377666,0.9837527460970906,0.9513893008590731,0.8480759120316437,0.7991897223350646,1.0,0.8188890433310003,0.8715603742865559,0.8789695806618588,0.9605915344860974,0.9346655937965495,0.933725485206399,0.9545125514684369,0.9549858329632749,0.9584801066459323,0.9899578182159963,0.9926986549093094,0.9915498581815394,0.9881056400332514,0.9861074788830374,0.9901421203240514,0.9711130325667897
PAY_4,0.9342750717724908,0.9877680983861767,0.9652333090801763,0.9839979639146247,0.9613438854579306,0.8869662237817324,0.8535286455198241,0.8188890433310003,1.0,0.8152960901481415,0.8630449356652483,0.9639132918189153,0.9489180063073182,0.928667296943511,0.952683586909989,0.9549835621993883,0.9649292488593206,0.9851056524113828,0.9879946317660788,0.9856244479128169,0.9827722080368726,0.9809195362098045,0.986697396190332,0.9701489822269656
PAY_5,0.9341991245933713,0.9836895349415089,0.9641344938401272,0.9801825005530976,0.9548284714941568,0.9024969035851301,0.8849351859195953,0.8715603742865559,0.8152960901481415,1.0,0.7946364088036972,0.9678765029263667,0.9618969768987168,0.9471727885082958,0.9533968412514273,0.9484259786693079,0.9665207951805406,0.9846973715327981,0.9876233865528399,0.9851415033303529,0.9810677776000521,0.9818071087028617,0.9852154759321797,0.9762853513971942
