,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,0.0,0.033112525816209715,0.06657212061493123,0.041738281602637484,0.013432907657502602,0.047814092955521525,0.044770356105512055,0.045148611068140054,0.04229163220669341,0.0388669747147109,0.04068201850324549,0.0005690139826215468,0.010146615633040756,0.017867376855583927,0.015750625842373855,0.009456377008365435,0.013047802181585855,0.0050100308585302455,0.010533638169117676,0.008885599380808351,0.012227530064423786,0.0005725428890758222,0.021349254501465964,0.04677877271653985
SEX,0.033112525816209715,0.0,0.019412587690823324,0.01670175223125081,0.07825149847893986,0.03261240241129948,0.022761075863740876,0.02311585803880223,0.014376132119262808,0.012486424626849013,0.020545871645737734,0.023054436343891926,0.015754744961684053,0.010233715781393093,0.010905207813091344,0.01794436606263894,0.015358101748017994,0.002038245069255318,0.0013336788679048084,0.0038117116646709803,0.0027694186996245485,0.007593989786572997,0.007668752219316843,0.004797988340145776
EDUCATION,0.06657212061493123,0.019412587690823324,0.0,0.06811130361457107,0.10464921504813995,0.047767690389143636,0.029115055792730438,0.03637019577477241,0.03378569623860672,0.0322910276158086,0.04038267258567596,0.03416918383106027,0.027640021872886278,0.02210856445626852,0.025032222324667175,0.0311603969991312,0.029336159085077584,0.016485264513325215,0.017003566370436096,0.01763208666380245,0.01692850775109822,0.02093925680687081,0.02356780175777118,0.023093434245422206
MARRIAGE,0.041738281602637484,0.01670175223125081,0.06811130361457107,0.0,0.19037472306090686,0.038595087762617664,0.024258348460343693,0.02777634175272936,0.021345365650433656,0.024615759291425898,0.0319285692715221,0.028806417020777242,0.018926644219096178,0.018178143672983538,0.020918782908567413,0.029158299035439983,0.022636850269815434,0.01163941735604812,0.011897975911415837,0.013229877659757139,0.012194557420775576,0.013714401904055262,0.014892385352432647,0.02081962210515087
AGE,0.013432907657502602,0.07825149847893986,0.10464921504813995,0.19037472306090686,0.0,0.09054327914916349,0.08988986684080136,0.0936503135425113,0.0880570518566327,0.08268410363218437,0.0854153759667361,0.005137911976421883,0.005059859579086057,0.011843440530386329,0.0045761730116722354,0.006856679254255593,0.005574870375251839,0.0018733382335067716,0.012556432958316988,0.0021565718443895543,0.009480537258080068,0.0021599870132614774,0.018181707081120435,0.07424383470018714
PAY_0,0.047814092955521525,0.03261240241129948,0.047767690389143636,0.038595087762617664,0.09054327914916349,0.0,0.05683988576033716,0.04837031903775979,0.0384054542958725,0.0371255086125446,0.03638844827362153,0.05393770141999632,0.04862519994291992,0.03941615402423604,0.03393351803117961,0.03955049932678634,0.03826234680658591,0.029141897702802733,0.029252313596787483,0.02951077342329045,0.029585930771492963,0.03373362910362043,0.03258651076654928,0.06002273158061544
PAY_2,0.044770356105512055,0.022761075863740876,0.029115055792730438,0.024258348460343693,0.08988986684080136,0.05683988576033716,0.0,0.026649364104043394,0.049195087631801915,0.036533135424742236,0.04554426699315972,0.034944452240596724,0.029834604099289064,0.01990615796734352,0.024052079179907704,0.030851659498313477,0.02285036378069405,0.01418858429978298,0.013188423877719124,0.012336504845902763,0.01274498318221673,0.016115919830730352,0.018115352115076533,0.023808872962990613
PAY_3,0.045148611068140054,0.02311585803880223,0.03637019577477241,0.02777634175272936,0.0936503135425113,0.04837031903775979,0.026649364104043394,0.0,0.030753004680328266,0.03453311076720833,0.036769381256702705,0.044446315630676025,0.0343222382534587,0.02437692182676887,0.024638553318048206,0.027963371245669832,0.021510292218804183,0.019631741088094068,0.019187016917351363,0.019334468476681854,0.019927335308807415,0.02496507435560813,0.024743255278992238,0.028641663227919723
PAY_4,0.04229163220669341,0.014376132119262808,0.03378569623860672,0.021345365650433656,0.0880570518566327,0.0384054542958725,0.049195087631801915,0.030753004680328266,0.0,0.01886228534046297,0.03428552345692315,0.03731197041451351,0.027386301031885663,0.023371146200528825,0.03138556051603647,0.03440145582621923,0.028258558209816598,0.015524348814953126,0.015264111868886654,0.014450018333333148,0.01541235325913426,0.019783055414253292,0.020709539421084333,0.028623398387962462
PAY_5,0.0388669747147109,0.012486424626849013,0.0322910276158086,0.024615759291425898,0.08268410363218437,0.0371255086125446,0.036533135424742236,0.03453311076720833,0.01886228534046297,0.0,0.03528068573021492,0.03266828294868218,0.028668801324585935,0.023091521373669988,0.018595273126061018,0.020752264337254522,0.017778131336811942,0.01084173749424,0.011951622708236131,0.01150660235089962,0.010616956551685042,0.01876529657206849,0.017014340157789243,0.02005738590574624
