,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,1.0,0.9668874741837903,0.9334278793850688,0.9582617183973625,0.9865670923424974,0.9521859070444785,0.955229643894488,0.95485138893186,0.9577083677933066,0.9611330252852891,0.9593179814967545,0.9994309860173785,0.9898533843669592,0.9821326231444161,0.9842493741576261,0.9905436229916346,0.9869521978184141,0.9949899691414698,0.9894663618308823,0.9911144006191916,0.9877724699355762,0.9994274571109242,0.978650745498534,0.9532212272834601
SEX,0.9668874741837903,1.0,0.9805874123091767,0.9832982477687492,0.9217485015210601,0.9673875975887005,0.9772389241362591,0.9768841419611978,0.9856238678807372,0.987513575373151,0.9794541283542623,0.9769455636561081,0.984245255038316,0.9897662842186069,0.9890947921869087,0.9820556339373611,0.984641898251982,0.9979617549307447,0.9986663211320952,0.996188288335329,0.9972305813003755,0.992406010213427,0.9923312477806832,0.9952020116598542
EDUCATION,0.9334278793850688,0.9805874123091767,1.0,0.9318886963854289,0.89535078495186,0.9522323096108564,0.9708849442072696,0.9636298042252276,0.9662143037613933,0.9677089723841914,0.959617327414324,0.9658308161689397,0.9723599781271137,0.9778914355437315,0.9749677776753328,0.9688396030008688,0.9706638409149224,0.9835147354866748,0.9829964336295639,0.9823679133361976,0.9830714922489018,0.9790607431931292,0.9764321982422288,0.9769065657545778
MARRIAGE,0.9582617183973625,0.9832982477687492,0.9318886963854289,1.0,0.8096252769390931,0.9614049122373823,0.9757416515396563,0.9722236582472706,0.9786546343495663,0.9753842407085741,0.9680714307284779,0.9711935829792228,0.9810733557809038,0.9818218563270165,0.9790812170914326,0.97084170096456,0.9773631497301846,0.9883605826439519,0.9881020240885842,0.9867701223402429,0.9878054425792244,0.9862855980959447,0.9851076146475674,0.9791803778948491
AGE,0.9865670923424974,0.9217485015210601,0.89535078495186,0.8096252769390931,1.0,0.9094567208508365,0.9101101331591986,0.9063496864574887,0.9119429481433673,0.9173158963678156,0.9145846240332639,0.9948620880235781,0.9949401404209139,0.9881565594696137,0.9954238269883278,0.9931433207457444,0.9944251296247482,0.9981266617664932,0.987443567041683,0.9978434281556104,0.9905194627419199,0.9978400129867385,0.9818182929188796,0.9257561652998129
PAY_0,0.9521859070444785,0.9673875975887005,0.9522323096108564,0.9614049122373823,0.9094567208508365,1.0,0.9431601142396628,0.9516296809622402,0.9615945457041275,0.9628744913874554,0.9636115517263785,0.9460622985800037,0.9513748000570801,0.960583845975764,0.9660664819688204,0.9604495006732137,0.9617376531934141,0.9708581022971973,0.9707476864032125,0.9704892265767096,0.970414069228507,0.9662663708963796,0.9674134892334507,0.9399772684193846
PAY_2,0.955229643894488,0.9772389241362591,0.9708849442072696,0.9757416515396563,0.9101101331591986,0.9431601142396628,1.0,0.9733506358959566,0.9508049123681981,0.9634668645752578,0.9544557330068403,0.9650555477594033,0.9701653959007109,0.9800938420326565,0.9759479208200923,0.9691483405016865,0.977149636219306,0.985811415700217,0.9868115761222809,0.9876634951540972,0.9872550168177833,0.9838840801692696,0.9818846478849235,0.9761911270370094
PAY_3,0.95485138893186,0.9768841419611978,0.9636298042252276,0.9722236582472706,0.9063496864574887,0.9516296809622402,0.9733506358959566,1.0,0.9692469953196717,0.9654668892327917,0.9632306187432973,0.955553684369324,0.9656777617465413,0.9756230781732311,0.9753614466819518,0.9720366287543302,0.9784897077811958,0.9803682589119059,0.9808129830826486,0.9806655315233181,0.9800726646911926,0.9750349256443919,0.9752567447210078,0.9713583367720803
PAY_4,0.9577083677933066,0.9856238678807372,0.9662143037613933,0.9786546343495663,0.9119429481433673,0.9615945457041275,0.9508049123681981,0.9692469953196717,1.0,0.981137714659537,0.9657144765430768,0.9626880295854865,0.9726136989681143,0.9766288537994712,0.9686144394839635,0.9655985441737808,0.9717414417901834,0.9844756511850469,0.9847358881311133,0.9855499816666669,0.9845876467408657,0.9802169445857467,0.9792904605789157,0.9713766016120375
PAY_5,0.9611330252852891,0.987513575373151,0.9677089723841914,0.9753842407085741,0.9173158963678156,0.9628744913874554,0.9634668645752578,0.9654668892327917,0.981137714659537,1.0,0.9647193142697851,0.9673317170513178,0.9713311986754141,0.97690847862633,0.981404726873939,0.9792477356627455,0.9822218686631881,0.98915826250576,0.9880483772917639,0.9884933976491004,0.989383043448315,0.9812347034279315,0.9829856598422108,0.9799426140942538
PAY_6,0.9593179814967545,0.9794541283542623,0.959617327414324,0.9680714307284779,0.9145846240332639,0.9636115517263785,0.9544557330068403,0.9632306187432973,0.9657144765430768,0.9647193142697851,1.0,0.9617055663124081,0.965718857636445,0.9717951873158683,0.9735137112981154,0.972254399947496,0.974522559860267,0.9781939284438612,0.9777505864772235,0.9774550909853746,0.9768987661742717,0.972752450046249,0.9743056772268829,0.9730011357151532
BILL_AMT1,0.9994309860173785,0.9769455636561081,0.9658308161689397,0.9711935829792228,0.9948620880235781,0.9460622985800037,0.9650555477594033,0.955553684369324,0.9626880295854865,0.9673317170513178,0.9617055663124081,1.0,0.9919740253318784,0.9989989247902265,0.9936113170648768,0.9955800841395034,0.9997802838153266,0.9775178983856496,0.9866855608835848,0.9840548722105091,0.9830308106732621,0.9786723700577483,0.9877204562154719,0.9778692832547293
BILL_AMT2,0.9898533843669592,0.984245255038316,0.9723599781271137,0.9810733557809038,0.9949401404209139,0.9513748000570801,0.9701653959007109,0.9656777617465413,0.9726136989681143,0.9713311986754141,0.965718857636445,0.9919740253318784,1.0,0.9932421852695809,0.9931691861706906,0.991814000405757,0.9930361614080716,0.995907635309331,0.9880875800012637,0.9953992347846996,0.9600744039530977,0.9884414804896473,0.9862160304205065,0.9849094287929232
BILL_AMT3,0.9821326231444161,0.9897662842186069,0.9778914355437315,0.9818218563270165,0.9881565594696137,0.960583845975764,0.9800938420326565,0.9756230781732311,0.9766288537994712,0.97690847862633,0.9717951873158683,0.9989989247902265,0.9932421852695809,1.0,0.9963065768244858,0.9983841751195102,0.9942881396955422,0.9811245067887954,0.9349342078749449,0.9974403680620159,0.9619213779187998,0.9700034541781466,0.9819234363142276,0.982519708965572
BILL_AMT4,0.9842493741576261,0.9890947921869087,0.9749677776753328,0.9790812170914326,0.9954238269883278,0.9660664819688204,0.9759479208200923,0.9753614466819518,0.9686144394839635,0.981404726873939,0.9735137112981154,0.9936113170648768,0.9931691861706906,0.9963065768244858,1.0,0.9973961315659017,0.9988342373351459,0.980933071131641,0.9901319047263448,0.9924950621444547,0.9478007209435446,0.979813374315065,0.9867035069419543,0.9783886094238108
BILL_AMT5,0.9905436229916346,0.9820556339373611,0.9688396030008688,0.97084170096456,0.9931433207457444,0.9604495006732137,0.9691483405016865,0.9720366287543302,0.9655985441737808,0.9792477356627455,0.972254399947496,0.9955800841395034,0.991814000405757,0.9983841751195102,0.9973961315659017,1.0,0.9985941265430532,0.9768752999707979,0.9996065257609045,0.9927273113723091,0.9999590251658749,0.9940413029125651,0.993423193151375,0.9779268915472431
BILL_AMT6,0.9869521978184141,0.984641898251982,0.9706638409149224,0.9773631497301846,0.9944251296247482,0.9617376531934141,0.977149636219306,0.9784897077811958,0.9717414417901834,0.9822218686631881,0.974522559860267,0.9997802838153266,0.9930361614080716,0.9942881396955422,0.9988342373351459,0.9985941265430532,1.0,0.9641221249764516,0.992977470094858,0.9965937668648583,0.9891440568306492,0.9805699260555938,0.9852729696999909,0.9840621006533123
PAY_AMT1,0.9949899691414698,0.9979617549307447,0.9835147354866748,0.9883605826439519,0.9981266617664932,0.9708581022971973,0.985811415700217,0.9803682589119059,0.9844756511850469,0.98915826250576,0.9781939284438612,0.9775178983856496,0.995907635309331,0.9811245067887954,0.980933071131641,0.9768752999707979,0.9641221249764516,1.0,0.931660959224456,0.9518355361282518,0.9812923492335318,0.9912987818256022,0.9716425072888959,0.9950085030851721
PAY_AMT2,0.9894663618308823,0.9986663211320952,0.9829964336295639,0.9881020240885842,0.987443567041683,0.9707476864032125,0.9868115761222809,0.9808129830826486,0.9847358881311133,0.9880483772917639,0.9777505864772235,0.9866855608835848,0.9880875800012637,0.9349342078749449,0.9901319047263448,0.9996065257609045,0.992977470094858,0.931660959224456,1.0,0.9449126653758397,0.9950386310733382,0.9613273452465172,0.9858520416639219,0.9955649266251397
PAY_AMT3,0.9911144006191916,0.996188288335329,0.9823679133361976,0.9867701223402429,0.9978434281556104,0.9704892265767096,0.9876634951540972,0.9806655315233181,0.9855499816666669,0.9884933976491004,0.9774550909853746,0.9840548722105091,0.9953992347846996,0.9974403680620159,0.9924950621444547,0.9927273113723091,0.9965937668648583,0.9518355361282518,0.9449126653758397,1.0,0.9959365341008801,0.9969693228327049,0.9869638233666934,0.9962623596660205
PAY_AMT4,0.9877724699355762,0.9972305813003755,0.9830714922489018,0.9878054425792244,0.9905194627419199,0.970414069228507,0.9872550168177833,0.9800726646911926,0.9845876467408657,0.989383043448315,0.9768987661742717,0.9830308106732621,0.9600744039530977,0.9619213779187998,0.9478007209435446,0.9999590251658749,0.9891440568306492,0.9812923492335318,0.9950386310733382,0.9959365341008801,1.0,0.9520831899124219,0.9411726123312771,0.9957128718287934
PAY_AMT5,0.9994274571109242,0.992406010213427,0.9790607431931292,0.9862855980959447,0.9978400129867385,0.9662663708963796,0.9838840801692696,0.9750349256443919,0.9802169445857467,0.9812347034279315,0.972752450046249,0.9786723700577483,0.9884414804896473,0.9700034541781466,0.979813374315065,0.9940413029125651,0.9805699260555938,0.9912987818256022,0.9613273452465172,0.9969693228327049,0.9520831899124219,1.0,0.9833513918931008,0.9897854869827781
PAY_AMT6,0.978650745498534,0.9923312477806832,0.9764321982422288,0.9851076146475674,0.9818182929188796,0.9674134892334507,0.9818846478849235,0.9752567447210078,0.9792904605789157,0.9829856598422108,0.9743056772268829,0.9877204562154719,0.9862160304205065,0.9819234363142276,0.9867035069419543,0.993423193151375,0.9852729696999909,0.9716425072888959,0.9858520416639219,0.9869638233666934,0.9411726123312771,0.9833513918931008,1.0,0.9910814390832847
default payment next month,0.9532212272834601,0.9952020116598542,0.9769065657545778,0.9791803778948491,0.9257561652998129,0.9399772684193846,0.9761911270370094,0.9713583367720803,0.9713766016120375,0.9799426140942538,0.9730011357151532,0.9778692832547293,0.9849094287929232,0.982519708965572,0.9783886094238108,0.9779268915472431,0.9840621006533123,0.9950085030851721,0.9955649266251397,0.9962623596660205,0.9957128718287934,0.9897854869827781,0.9910814390832847,1.0
