,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,1.0,0.9545324146313552,0.9692937940909534,0.9897508271922726,0.9808626861960501,0.8389678835535255,0.9830325533125047,0.7428766782511542,0.9969159702051008,0.86781489242858,0.9315528141133071
Width,0.9545324146313552,1.0,0.9672585893512581,0.981860018224292,0.9746359039606927,0.8400781208666317,0.9595119463512932,0.7034723162188969,0.9905776034018501,0.88388322388981,0.9413075215850512
Size,0.9692937940909534,0.9672585893512581,1.0,0.9747884225698529,0.9588383352349132,0.9066439336364082,0.9688042931427006,0.8317092089009059,0.9488383312871391,0.8739738904107393,0.905840987385817
Conc,0.9897508271922726,0.981860018224292,0.9747884225698529,1.0,0.9951822485737444,0.9389694725946902,0.9598984015250926,0.8771244913470838,0.9302765299031698,0.8847755419567989,0.9382686784083549
Conc1,0.9808626861960501,0.9746359039606927,0.9588383352349132,0.9951822485737444,1.0,0.9385293789437138,0.9567496116402738,0.8802703081997089,0.9227421647627044,0.8786887462846245,0.9358874756205221
Asym,0.8389678835535255,0.8400781208666317,0.9066439336364082,0.9389694725946902,0.9385293789437138,1.0,0.8693327040359276,0.8383165900277244,0.9403234979947424,0.8681735544088227,0.8538536290127253
M3Long,0.9830325533125047,0.9595119463512932,0.9688042931427006,0.9598984015250926,0.9567496116402738,0.8693327040359276,1.0,0.8554773953131966,0.8525879027784999,0.9844682407974028,0.8585925507207031
M3Trans,0.7428766782511542,0.7034723162188969,0.8317092089009059,0.8771244913470838,0.8802703081997089,0.8383165900277244,0.8554773953131966,1.0,0.9176572817505376,0.9018391637569666,0.7645753008529034
Alpha,0.9969159702051008,0.9905776034018501,0.9488383312871391,0.9302765299031698,0.9227421647627044,0.9403234979947424,0.8525879027784999,0.9176572817505376,1.0,0.9437984873577753,0.6221438014530773
Dist,0.86781489242858,0.88388322388981,0.8739738904107393,0.8847755419567989,0.8786887462846245,0.8681735544088227,0.9844682407974028,0.9018391637569666,0.9437984873577753,1.0,0.6264164532704495
class,0.9315528141133071,0.9413075215850512,0.905840987385817,0.9382686784083549,0.9358874756205221,0.8538536290127253,0.8585925507207031,0.7645753008529034,0.6221438014530773,0.6264164532704495,1.0
