,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,0.0,0.008301678355692732,0.0015321134697954264,0.002343747770721216,0.009814246994050757,0.021710290709380575,0.03186846878337313,0.019309716679412503,0.02446501196728612,0.013726335742825224,0.03255671415442385
Width,0.008301678355692732,0.0,0.01351542000140249,0.008531057043808188,0.0008071943667551373,0.0457179117145905,0.021900379474810494,0.034647624819357126,0.0040685148878412125,0.0035238518655924533,0.048970525566503054
Size,0.0015321134697954264,0.01351542000140249,0.0,0.0013146350199838563,0.020211122672483706,0.027317574543239354,0.007843292921595135,0.0014372942726174065,0.03060459229226331,0.00500681882936882,0.05935938955942244
Conc,0.002343747770721216,0.008531057043808188,0.0013146350199838563,0.0,0.003930079881966364,0.018256542095306805,0.011342633175850714,0.006465328250334745,0.01220737358764823,0.012878736497484944,0.0554944361038342
Conc1,0.009814246994050757,0.0008071943667551373,0.020211122672483706,0.003930079881966364,0.0,0.02117859307572134,0.006482160555561833,0.007289575420442063,0.009714879968673595,0.01671560369605063,0.05569621317875362
Asym,0.021710290709380575,0.0457179117145905,0.027317574543239354,0.018256542095306805,0.02117859307572134,0.0,0.028674697087018974,0.024604987560310487,0.01650439607808729,0.008733159580067484,0.03672539229877714
M3Long,0.03186846878337313,0.021900379474810494,0.007843292921595135,0.011342633175850714,0.006482160555561833,0.028674697087018974,0.0,0.004125302958120414,0.013610323066498453,0.0004825201924526512,0.03206628504307252
M3Trans,0.019309716679412503,0.034647624819357126,0.0014372942726174065,0.006465328250334745,0.007289575420442063,0.024604987560310487,0.004125302958120414,0.0,0.002743939129755457,0.01380946498437341,0.04262364962388665
Alpha,0.02446501196728612,0.0040685148878412125,0.03060459229226331,0.01220737358764823,0.009714879968673595,0.01650439607808729,0.013610323066498453,0.002743939129755457,0.0,0.04899082575034219,0.1027976070644877
Dist,0.013726335742825224,0.0035238518655924533,0.00500681882936882,0.012878736497484944,0.01671560369605063,0.008733159580067484,0.0004825201924526512,0.01380946498437341,0.04899082575034219,0.0,0.03993893703235252
class,0.03255671415442385,0.048970525566503054,0.05935938955942244,0.0554944361038342,0.05569621317875362,0.03672539229877714,0.03206628504307252,0.04262364962388665,0.1027976070644877,0.03993893703235252,0.0
