column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
Length,Width,CorrelationSimilarity,0.9839765726379699,0.016023427362030107,True,True,
Length,Size,CorrelationSimilarity,0.9976407746999152,0.0023592253000848107,True,True,
Length,Conc,CorrelationSimilarity,0.9961998348624075,0.003800165137592515,True,True,
Length,Conc1,CorrelationSimilarity,0.9905900688448595,0.00940993115514055,True,True,
Length,Asym,CorrelationSimilarity,0.9210196363861197,0.07898036361388028,True,True,
Length,M3Long,CorrelationSimilarity,0.9341197782859474,0.06588022171405261,True,True,
Length,M3Trans,CorrelationSimilarity,0.947753073859094,0.05224692614090598,True,True,
Length,Alpha,CorrelationSimilarity,0.979144244633444,0.02085575536655604,True,True,
Length,Dist,CorrelationSimilarity,0.9411600642503668,0.0588399357496332,True,True,
Length,class,ContingencySimilarity,0.9134566982345105,0.08654330176548952,True,False,
Width,Size,CorrelationSimilarity,0.9733189112599624,0.026681088740037606,True,True,
Width,Conc,CorrelationSimilarity,0.9809405898758609,0.019059410124139142,True,True,
Width,Conc1,CorrelationSimilarity,0.9918193980353653,0.00818060196463466,True,True,
Width,Asym,CorrelationSimilarity,0.9445220238060082,0.05547797619399175,True,True,
Width,M3Long,CorrelationSimilarity,0.920186157294098,0.07981384270590197,True,True,
Width,M3Trans,CorrelationSimilarity,0.9182405900566813,0.08175940994331865,True,True,
Width,Alpha,CorrelationSimilarity,0.9681236432678196,0.031876356732180366,True,True,
Width,Dist,CorrelationSimilarity,0.9583081557017886,0.04169184429821138,True,True,
Width,class,ContingencySimilarity,0.9561869308500479,0.04381306914995209,True,False,
Size,Conc,CorrelationSimilarity,0.947812602922979,0.052187397077021025,True,True,
Size,Conc1,CorrelationSimilarity,0.9793435855587276,0.02065641444127242,True,True,
Size,Asym,CorrelationSimilarity,0.9903826338809438,0.00961736611905617,True,True,
Size,M3Long,CorrelationSimilarity,0.9991481512232673,0.0008518487767327221,True,True,
Size,M3Trans,CorrelationSimilarity,0.9631056280625959,0.03689437193740408,True,True,
Size,Alpha,CorrelationSimilarity,0.9562792998369557,0.0437207001630443,True,True,
Size,Dist,CorrelationSimilarity,0.9472123084095533,0.05278769159044672,True,True,
Size,class,ContingencySimilarity,0.9007496541731876,0.09925034582681236,True,False,
Conc,Conc1,CorrelationSimilarity,0.9403437339637657,0.05965626603623431,True,True,
Conc,Asym,CorrelationSimilarity,0.9969928034417513,0.0030071965582486593,True,True,
Conc,M3Long,CorrelationSimilarity,0.9965908983369772,0.0034091016630227733,True,True,
Conc,M3Trans,CorrelationSimilarity,0.974454130648195,0.02554586935180503,True,True,
Conc,Alpha,CorrelationSimilarity,0.9469711963678648,0.053028803632135246,True,True,
Conc,Dist,CorrelationSimilarity,0.9853435135335586,0.014656486466441354,True,True,
Conc,class,ContingencySimilarity,0.9057976419986595,0.09420235800134047,True,False,
Conc1,Asym,CorrelationSimilarity,0.997895861073018,0.0021041389269820243,True,True,
Conc1,M3Long,CorrelationSimilarity,0.9887504593757152,0.011249540624284848,True,True,
Conc1,M3Trans,CorrelationSimilarity,0.9729532045628265,0.027046795437173476,True,True,
Conc1,Alpha,CorrelationSimilarity,0.9559849847333507,0.044015015266649304,True,True,
Conc1,Dist,CorrelationSimilarity,0.9898773863529818,0.010122613647018164,True,True,
Conc1,class,ContingencySimilarity,0.9525542681484404,0.04744573185155965,True,False,
Asym,M3Long,CorrelationSimilarity,0.8480300774995095,0.15196992250049046,True,True,
Asym,M3Trans,CorrelationSimilarity,0.9921699268970743,0.007830073102925716,True,True,
Asym,Alpha,CorrelationSimilarity,0.9624003807167502,0.03759961928324984,True,True,
Asym,Dist,CorrelationSimilarity,0.9415881905485213,0.058411809451478724,True,True,
Asym,class,ContingencySimilarity,0.9534473611715092,0.04655263882849081,True,False,
M3Long,M3Trans,CorrelationSimilarity,0.961356440521264,0.03864355947873599,True,True,
M3Long,Alpha,CorrelationSimilarity,0.9318871012067427,0.06811289879325733,True,True,
M3Long,Dist,CorrelationSimilarity,0.9813229042767626,0.01867709572323739,True,True,
M3Long,class,ContingencySimilarity,0.9315476875696419,0.0684523124303581,True,False,
M3Trans,Alpha,CorrelationSimilarity,0.9820445016570114,0.017955498342988596,True,True,
M3Trans,Dist,CorrelationSimilarity,0.9920428144718471,0.007957185528152944,True,True,
M3Trans,class,ContingencySimilarity,0.962839281259806,0.037160718740194,True,False,
Alpha,Dist,CorrelationSimilarity,0.9220451237905188,0.07795487620948116,True,True,
Alpha,class,ContingencySimilarity,0.8365538464825495,0.1634461535174505,True,False,
Dist,class,ContingencySimilarity,0.9326688043432815,0.06733119565671852,True,False,
