,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,1.0,0.9839765726379699,0.9976407746999152,0.9961998348624075,0.9905900688448595,0.9210196363861197,0.9341197782859474,0.947753073859094,0.979144244633444,0.9411600642503668,0.9134566982345105
Width,0.9839765726379699,1.0,0.9733189112599624,0.9809405898758609,0.9918193980353653,0.9445220238060082,0.920186157294098,0.9182405900566813,0.9681236432678196,0.9583081557017886,0.9561869308500479
Size,0.9976407746999152,0.9733189112599624,1.0,0.947812602922979,0.9793435855587276,0.9903826338809438,0.9991481512232673,0.9631056280625959,0.9562792998369557,0.9472123084095533,0.9007496541731876
Conc,0.9961998348624075,0.9809405898758609,0.947812602922979,1.0,0.9403437339637657,0.9969928034417513,0.9965908983369772,0.974454130648195,0.9469711963678648,0.9853435135335586,0.9057976419986595
Conc1,0.9905900688448595,0.9918193980353653,0.9793435855587276,0.9403437339637657,1.0,0.997895861073018,0.9887504593757152,0.9729532045628265,0.9559849847333507,0.9898773863529818,0.9525542681484404
Asym,0.9210196363861197,0.9445220238060082,0.9903826338809438,0.9969928034417513,0.997895861073018,1.0,0.8480300774995095,0.9921699268970743,0.9624003807167502,0.9415881905485213,0.9534473611715092
M3Long,0.9341197782859474,0.920186157294098,0.9991481512232673,0.9965908983369772,0.9887504593757152,0.8480300774995095,1.0,0.961356440521264,0.9318871012067427,0.9813229042767626,0.9315476875696419
M3Trans,0.947753073859094,0.9182405900566813,0.9631056280625959,0.974454130648195,0.9729532045628265,0.9921699268970743,0.961356440521264,1.0,0.9820445016570114,0.9920428144718471,0.962839281259806
Alpha,0.979144244633444,0.9681236432678196,0.9562792998369557,0.9469711963678648,0.9559849847333507,0.9624003807167502,0.9318871012067427,0.9820445016570114,1.0,0.9220451237905188,0.8365538464825495
Dist,0.9411600642503668,0.9583081557017886,0.9472123084095533,0.9853435135335586,0.9898773863529818,0.9415881905485213,0.9813229042767626,0.9920428144718471,0.9220451237905188,1.0,0.9326688043432815
class,0.9134566982345105,0.9561869308500479,0.9007496541731876,0.9057976419986595,0.9525542681484404,0.9534473611715092,0.9315476875696419,0.962839281259806,0.8365538464825495,0.9326688043432815,1.0
