,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,0.0,0.014447776948086188,0.0038399172007387294,0.001713596284763863,0.011040351830920558,0.008454974498667944,0.02171656501906205,0.03577251711052132,0.01751230967485007,0.011408727957693432,0.05558146455467805
Width,0.014447776948086188,0.0,0.000540631910801781,0.004847892268798004,0.0037210198538975003,0.0162556344779623,0.03106258682283114,0.04704745030531321,0.013588963629941109,0.018449099971077576,0.020467341860095467
Size,0.0038399172007387294,0.000540631910801781,0.0,0.012891985455121602,0.0010075722304088153,0.022906593242669637,0.0029189898745382026,0.017482935107003272,0.015910908407369084,0.008804867952679207,0.06901982388388539
Conc,0.001713596284763863,0.004847892268798004,0.012891985455121602,0.0,0.008778731836454279,0.011417120162137917,0.0006035293215489457,0.024309434442593925,0.010159663780691885,0.02656475682801096,0.052235182247399425
Conc1,0.011040351830920558,0.0037210198538975003,0.0010075722304088153,0.008778731836454279,0.0,0.01277486946430928,0.0016868030360526198,0.022856339040784546,0.009638984965216535,0.024094826870213804,0.05946686278919466
Asym,0.008454974498667944,0.0162556344779623,0.022906593242669637,0.011417120162137917,0.01277486946430928,0.0,0.06210911033778965,0.010473121933370688,0.005928437710133294,0.009137993381735043,0.023897030269999342
M3Long,0.02171656501906205,0.03106258682283114,0.0029189898745382026,0.0006035293215489457,0.0016868030360526198,0.06210911033778965,0.0,0.013779555761438855,0.005182411141764542,0.0017017211539901433,0.031225010018248622
M3Trans,0.03577251711052132,0.04704745030531321,0.017482935107003272,0.024309434442593925,0.022856339040784546,0.010473121933370688,0.013779555761438855,0.0,0.012241036591120857,0.021730380584163322,0.020407542416623237
Alpha,0.01751230967485007,0.013588963629941109,0.015910908407369084,0.010159663780691885,0.009638984965216535,0.005928437710133294,0.005182411141764542,0.012241036591120857,0.0,0.03437645550228663,0.08758239384048538
Dist,0.011408727957693432,0.018449099971077576,0.008804867952679207,0.02656475682801096,0.024094826870213804,0.009137993381735043,0.0017017211539901433,0.021730380584163322,0.03437645550228663,0.0,0.04674898238108249
class,0.05558146455467805,0.020467341860095467,0.06901982388388539,0.052235182247399425,0.05946686278919466,0.023897030269999342,0.031225010018248622,0.020407542416623237,0.08758239384048538,0.04674898238108249,0.0
