column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
Length,Width,CorrelationSimilarity,0.9855522230519138,0.014447776948086188,True,True,
Length,Size,CorrelationSimilarity,0.9961600827992613,0.0038399172007387294,True,True,
Length,Conc,CorrelationSimilarity,0.9982864037152361,0.001713596284763863,True,True,
Length,Conc1,CorrelationSimilarity,0.9889596481690794,0.011040351830920558,True,True,
Length,Asym,CorrelationSimilarity,0.9915450255013321,0.008454974498667944,True,True,
Length,M3Long,CorrelationSimilarity,0.978283434980938,0.02171656501906205,True,True,
Length,M3Trans,CorrelationSimilarity,0.9642274828894787,0.03577251711052132,True,True,
Length,Alpha,CorrelationSimilarity,0.9824876903251499,0.01751230967485007,True,True,
Length,Dist,CorrelationSimilarity,0.9885912720423066,0.011408727957693432,True,True,
Length,class,ContingencySimilarity,0.944418535445322,0.05558146455467805,True,False,
Width,Size,CorrelationSimilarity,0.9994593680891982,0.000540631910801781,True,True,
Width,Conc,CorrelationSimilarity,0.995152107731202,0.004847892268798004,True,True,
Width,Conc1,CorrelationSimilarity,0.9962789801461025,0.0037210198538975003,True,True,
Width,Asym,CorrelationSimilarity,0.9837443655220377,0.0162556344779623,True,True,
Width,M3Long,CorrelationSimilarity,0.9689374131771689,0.03106258682283114,True,True,
Width,M3Trans,CorrelationSimilarity,0.9529525496946868,0.04704745030531321,True,True,
Width,Alpha,CorrelationSimilarity,0.9864110363700589,0.013588963629941109,True,True,
Width,Dist,CorrelationSimilarity,0.9815509000289224,0.018449099971077576,True,True,
Width,class,ContingencySimilarity,0.9795326581399045,0.020467341860095467,True,False,
Size,Conc,CorrelationSimilarity,0.9871080145448784,0.012891985455121602,True,True,
Size,Conc1,CorrelationSimilarity,0.9989924277695912,0.0010075722304088153,True,True,
Size,Asym,CorrelationSimilarity,0.9770934067573304,0.022906593242669637,True,True,
Size,M3Long,CorrelationSimilarity,0.9970810101254618,0.0029189898745382026,True,True,
Size,M3Trans,CorrelationSimilarity,0.9825170648929967,0.017482935107003272,True,True,
Size,Alpha,CorrelationSimilarity,0.9840890915926309,0.015910908407369084,True,True,
Size,Dist,CorrelationSimilarity,0.9911951320473208,0.008804867952679207,True,True,
Size,class,ContingencySimilarity,0.9309801761161146,0.06901982388388539,True,False,
Conc,Conc1,CorrelationSimilarity,0.9912212681635457,0.008778731836454279,True,True,
Conc,Asym,CorrelationSimilarity,0.9885828798378621,0.011417120162137917,True,True,
Conc,M3Long,CorrelationSimilarity,0.999396470678451,0.0006035293215489457,True,True,
Conc,M3Trans,CorrelationSimilarity,0.9756905655574061,0.024309434442593925,True,True,
Conc,Alpha,CorrelationSimilarity,0.9898403362193081,0.010159663780691885,True,True,
Conc,Dist,CorrelationSimilarity,0.973435243171989,0.02656475682801096,True,True,
Conc,class,ContingencySimilarity,0.9477648177526006,0.052235182247399425,True,False,
Conc1,Asym,CorrelationSimilarity,0.9872251305356907,0.01277486946430928,True,True,
Conc1,M3Long,CorrelationSimilarity,0.9983131969639474,0.0016868030360526198,True,True,
Conc1,M3Trans,CorrelationSimilarity,0.9771436609592155,0.022856339040784546,True,True,
Conc1,Alpha,CorrelationSimilarity,0.9903610150347835,0.009638984965216535,True,True,
Conc1,Dist,CorrelationSimilarity,0.9759051731297862,0.024094826870213804,True,True,
Conc1,class,ContingencySimilarity,0.9405331372108053,0.05946686278919466,True,False,
Asym,M3Long,CorrelationSimilarity,0.9378908896622103,0.06210911033778965,True,True,
Asym,M3Trans,CorrelationSimilarity,0.9895268780666293,0.010473121933370688,True,True,
Asym,Alpha,CorrelationSimilarity,0.9940715622898667,0.005928437710133294,True,True,
Asym,Dist,CorrelationSimilarity,0.990862006618265,0.009137993381735043,True,True,
Asym,class,ContingencySimilarity,0.9761029697300007,0.023897030269999342,True,False,
M3Long,M3Trans,CorrelationSimilarity,0.9862204442385611,0.013779555761438855,True,True,
M3Long,Alpha,CorrelationSimilarity,0.9948175888582355,0.005182411141764542,True,True,
M3Long,Dist,CorrelationSimilarity,0.9982982788460099,0.0017017211539901433,True,True,
M3Long,class,ContingencySimilarity,0.9687749899817514,0.031225010018248622,True,False,
M3Trans,Alpha,CorrelationSimilarity,0.9877589634088791,0.012241036591120857,True,True,
M3Trans,Dist,CorrelationSimilarity,0.9782696194158367,0.021730380584163322,True,True,
M3Trans,class,ContingencySimilarity,0.9795924575833768,0.020407542416623237,True,False,
Alpha,Dist,CorrelationSimilarity,0.9656235444977134,0.03437645550228663,True,True,
Alpha,class,ContingencySimilarity,0.9124176061595146,0.08758239384048538,True,False,
Dist,class,ContingencySimilarity,0.9532510176189175,0.04674898238108249,True,False,
