,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,1.0,0.9855522230519138,0.9961600827992613,0.9982864037152361,0.9889596481690794,0.9915450255013321,0.978283434980938,0.9642274828894787,0.9824876903251499,0.9885912720423066,0.944418535445322
Width,0.9855522230519138,1.0,0.9994593680891982,0.995152107731202,0.9962789801461025,0.9837443655220377,0.9689374131771689,0.9529525496946868,0.9864110363700589,0.9815509000289224,0.9795326581399045
Size,0.9961600827992613,0.9994593680891982,1.0,0.9871080145448784,0.9989924277695912,0.9770934067573304,0.9970810101254618,0.9825170648929967,0.9840890915926309,0.9911951320473208,0.9309801761161146
Conc,0.9982864037152361,0.995152107731202,0.9871080145448784,1.0,0.9912212681635457,0.9885828798378621,0.999396470678451,0.9756905655574061,0.9898403362193081,0.973435243171989,0.9477648177526006
Conc1,0.9889596481690794,0.9962789801461025,0.9989924277695912,0.9912212681635457,1.0,0.9872251305356907,0.9983131969639474,0.9771436609592155,0.9903610150347835,0.9759051731297862,0.9405331372108053
Asym,0.9915450255013321,0.9837443655220377,0.9770934067573304,0.9885828798378621,0.9872251305356907,1.0,0.9378908896622103,0.9895268780666293,0.9940715622898667,0.990862006618265,0.9761029697300007
M3Long,0.978283434980938,0.9689374131771689,0.9970810101254618,0.999396470678451,0.9983131969639474,0.9378908896622103,1.0,0.9862204442385611,0.9948175888582355,0.9982982788460099,0.9687749899817514
M3Trans,0.9642274828894787,0.9529525496946868,0.9825170648929967,0.9756905655574061,0.9771436609592155,0.9895268780666293,0.9862204442385611,1.0,0.9877589634088791,0.9782696194158367,0.9795924575833768
Alpha,0.9824876903251499,0.9864110363700589,0.9840890915926309,0.9898403362193081,0.9903610150347835,0.9940715622898667,0.9948175888582355,0.9877589634088791,1.0,0.9656235444977134,0.9124176061595146
Dist,0.9885912720423066,0.9815509000289224,0.9911951320473208,0.973435243171989,0.9759051731297862,0.990862006618265,0.9982982788460099,0.9782696194158367,0.9656235444977134,1.0,0.9532510176189175
class,0.944418535445322,0.9795326581399045,0.9309801761161146,0.9477648177526006,0.9405331372108053,0.9761029697300007,0.9687749899817514,0.9795924575833768,0.9124176061595146,0.9532510176189175,1.0
