,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,0.0,0.11843126604385878,0.03498837431698487,0.028305495749838316,0.027424170352660315,0.012447407244827735,0.0006356705689701814,0.0016161054347696435,0.010421753419225466,0.055484938734280065,0.11014074403582286,0.08761211811785552,0.07713656409538938,0.08506226975059095,0.15256490503202202,0.06874747534343362,0.05174118425706675,0.05174118425706675
Administrative_Duration,0.11843126604385878,0.0,0.1014515184924879,0.07178587135566827,0.05738088539529684,0.09398797003916526,0.020334249127759607,0.019180067475733642,0.008899075659794087,0.029870751530540196,0.09614563986151958,0.08183363013412559,0.05863848027869001,0.06516863318488908,0.13379708639663201,0.04434384924291701,0.029906245609689797,0.034082242978643484
Informational,0.03498837431698487,0.1014515184924879,0.0,0.13436785709598087,0.0661192031881318,0.03189813009849063,0.008854607528319014,0.0030366742362727406,0.01880514067601824,0.031231853594215098,0.11984185098545941,0.09683363159451974,0.084899435791284,0.08044581747466872,0.15434191276013642,0.07497357416597616,0.0604671859633914,0.0604671859633914
Informational_Duration,0.028305495749838316,0.07178587135566827,0.13436785709598087,0.0,0.04996959497358644,0.06629786740776411,0.004110941302722604,0.002152491804447987,0.0059252740840443074,0.032567720452816085,0.09209085521563742,0.07994665471869455,0.056293963343520104,0.0602157060728743,0.13127527759904167,0.04208827031780804,0.025869277773704957,0.026604002122829096
ProductRelated,0.027424170352660315,0.05738088539529684,0.0661192031881318,0.04996959497358644,0.0,0.08148976099635341,0.00858390030877032,0.003952499534641385,0.009831294236364752,0.015549507813377828,0.08488629224299915,0.07832415670264004,0.04966172887897502,0.057150338533991984,0.12046836012037154,0.03493233847382371,0.020556217438684632,0.01610128476724093
ProductRelated_Duration,0.012447407244827735,0.09398797003916526,0.03189813009849063,0.06629786740776411,0.08148976099635341,0.0,0.021053572794252462,0.021965188044066775,0.014436504108167214,0.02622278306248227,0.07686390848819113,0.06894667311966207,0.03988760221664478,0.05029700037941043,0.11613741492108176,0.02270664797751465,0.00827955918291523,0.01028833147911945
BounceRates,0.0006356705689701814,0.020334249127759607,0.008854607528319014,0.004110941302722604,0.00858390030877032,0.021053572794252462,0.0,0.06752564736396494,0.02454036709639973,0.03964003836748875,0.10400884064265525,0.08756377906805235,0.06949271453118566,0.0820823352755603,0.1475072676520044,0.058381596929433455,0.03625341111587843,0.03914864272418439
ExitRates,0.0016161054347696435,0.019180067475733642,0.0030366742362727406,0.002152491804447987,0.003952499534641385,0.021965188044066775,0.06752564736396494,0.0,0.035277750257652785,0.03446024470863118,0.12634513263738723,0.09927219791963915,0.08273746813784832,0.09057511201954127,0.14821585094398426,0.08042055265407677,0.05592798854349912,0.054081466048900406
PageValues,0.010421753419225466,0.008899075659794087,0.01880514067601824,0.0059252740840443074,0.009831294236364752,0.014436504108167214,0.02454036709639973,0.035277750257652785,0.0,0.022006429834482977,0.10344483638180901,0.08832595882914929,0.06539587053079199,0.07152645956913117,0.1406469196050042,0.044250822128945266,0.04037698033111803,0.04037698033111814
SpecialDay,0.055484938734280065,0.029870751530540196,0.031231853594215098,0.032567720452816085,0.015549507813377828,0.02622278306248227,0.03964003836748875,0.03446024470863118,0.022006429834482977,0.0,0.16381476008789242,0.11251855795998111,0.10472750065498682,0.09552482626419756,0.1763255195425577,0.09651716415970524,0.08867338662214608,0.08715954193857989
Month,0.11014074403582286,0.09614563986151958,0.11984185098545941,0.09209085521563742,0.08488629224299915,0.07686390848819113,0.10400884064265525,0.12634513263738723,0.10344483638180901,0.16381476008789242,0.0,0.12489174827593152,0.10845033768696333,0.1382612195518751,0.20695451426849,0.08743395001888288,0.0780761817583322,0.08644497103015913
OperatingSystems,0.08761211811785552,0.08183363013412559,0.09683363159451974,0.07994665471869455,0.07832415670264004,0.06894667311966207,0.08756377906805235,0.09927219791963915,0.08832595882914929,0.11251855795998111,0.12489174827593152,0.0,0.18595389885835134,0.10011411520699776,0.15839655136659303,0.06570401371835943,0.0648006138329128,0.06444310931956432
Browser,0.07713656409538938,0.05863848027869001,0.084899435791284,0.056293963343520104,0.04966172887897502,0.03988760221664478,0.06949271453118566,0.08273746813784832,0.06539587053079199,0.10472750065498682,0.10845033768696333,0.18595389885835134,0.0,0.09404646916100057,0.13942982703382545,0.04688595752063607,0.039583402093562814,0.04044328223024396
Region,0.08506226975059095,0.06516863318488908,0.08044581747466872,0.0602157060728743,0.057150338533991984,0.05029700037941043,0.0820823352755603,0.09057511201954127,0.07152645956913117,0.09552482626419756,0.1382612195518751,0.10011411520699776,0.09404646916100057,0.0,0.1563727370095741,0.051832312858508534,0.048024480880956566,0.05974297645289517
TrafficType,0.15256490503202202,0.13379708639663201,0.15434191276013642,0.13127527759904167,0.12046836012037154,0.11613741492108176,0.1475072676520044,0.14821585094398426,0.1406469196050042,0.1763255195425577,0.20695451426849,0.15839655136659303,0.13942982703382545,0.1563727370095741,0.0,0.1607569865991303,0.11360392296946054,0.11853041694548028
VisitorType,0.06874747534343362,0.04434384924291701,0.07497357416597616,0.04208827031780804,0.03493233847382371,0.02270664797751465,0.058381596929433455,0.08042055265407677,0.044250822128945266,0.09651716415970524,0.08743395001888288,0.06570401371835943,0.04688595752063607,0.051832312858508534,0.1607569865991303,0.0,0.01973313923720099,0.019733139237201103
Weekend,0.05174118425706675,0.029906245609689797,0.0604671859633914,0.025869277773704957,0.020556217438684632,0.00827955918291523,0.03625341111587843,0.05592798854349912,0.04037698033111803,0.08867338662214608,0.0780761817583322,0.0648006138329128,0.039583402093562814,0.048024480880956566,0.11360392296946054,0.01973313923720099,0.0,0.008893801006094826
Revenue,0.05174118425706675,0.034082242978643484,0.0604671859633914,0.026604002122829096,0.01610128476724093,0.01028833147911945,0.03914864272418439,0.054081466048900406,0.04037698033111814,0.08715954193857989,0.08644497103015913,0.06444310931956432,0.04044328223024396,0.05974297645289517,0.11853041694548028,0.019733139237201103,0.008893801006094826,0.0
