,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,1.0,0.8815687339561412,0.9650116256830151,0.9716945042501617,0.9725758296473397,0.9875525927551723,0.9993643294310298,0.9983838945652304,0.9895782465807745,0.9445150612657199,0.8898592559641771,0.9123878818821445,0.9228634359046106,0.914937730249409,0.847435094967978,0.9312525246565664,0.9482588157429332,0.9482588157429332
Administrative_Duration,0.8815687339561412,1.0,0.8985484815075121,0.9282141286443317,0.9426191146047032,0.9060120299608347,0.9796657508722404,0.9808199325242664,0.9911009243402059,0.9701292484694598,0.9038543601384804,0.9181663698658744,0.94136151972131,0.9348313668151109,0.866202913603368,0.955656150757083,0.9700937543903102,0.9659177570213565
Informational,0.9650116256830151,0.8985484815075121,1.0,0.8656321429040191,0.9338807968118682,0.9681018699015094,0.991145392471681,0.9969633257637273,0.9811948593239818,0.9687681464057849,0.8801581490145406,0.9031663684054803,0.915100564208716,0.9195541825253313,0.8456580872398636,0.9250264258340238,0.9395328140366086,0.9395328140366086
Informational_Duration,0.9716945042501617,0.9282141286443317,0.8656321429040191,1.0,0.9500304050264136,0.9337021325922359,0.9958890586972774,0.997847508195552,0.9940747259159557,0.9674322795471839,0.9079091447843626,0.9200533452813054,0.9437060366564799,0.9397842939271257,0.8687247224009583,0.957911729682192,0.974130722226295,0.9733959978771709
ProductRelated,0.9725758296473397,0.9426191146047032,0.9338807968118682,0.9500304050264136,1.0,0.9185102390036466,0.9914160996912297,0.9960475004653586,0.9901687057636352,0.9844504921866222,0.9151137077570008,0.92167584329736,0.950338271121025,0.942849661466008,0.8795316398796285,0.9650676615261763,0.9794437825613154,0.9838987152327591
ProductRelated_Duration,0.9875525927551723,0.9060120299608347,0.9681018699015094,0.9337021325922359,0.9185102390036466,1.0,0.9789464272057475,0.9780348119559332,0.9855634958918328,0.9737772169375177,0.9231360915118089,0.9310533268803379,0.9601123977833552,0.9497029996205896,0.8838625850789182,0.9772933520224854,0.9917204408170848,0.9897116685208805
BounceRates,0.9993643294310298,0.9796657508722404,0.991145392471681,0.9958890586972774,0.9914160996912297,0.9789464272057475,1.0,0.9324743526360351,0.9754596329036003,0.9603599616325112,0.8959911593573447,0.9124362209319477,0.9305072854688143,0.9179176647244397,0.8524927323479956,0.9416184030705665,0.9637465888841216,0.9608513572758156
ExitRates,0.9983838945652304,0.9808199325242664,0.9969633257637273,0.997847508195552,0.9960475004653586,0.9780348119559332,0.9324743526360351,1.0,0.9647222497423472,0.9655397552913688,0.8736548673626128,0.9007278020803609,0.9172625318621517,0.9094248879804587,0.8517841490560157,0.9195794473459232,0.9440720114565009,0.9459185339510996
PageValues,0.9895782465807745,0.9911009243402059,0.9811948593239818,0.9940747259159557,0.9901687057636352,0.9855634958918328,0.9754596329036003,0.9647222497423472,1.0,0.977993570165517,0.896555163618191,0.9116740411708507,0.934604129469208,0.9284735404308688,0.8593530803949958,0.9557491778710547,0.959623019668882,0.9596230196688819
SpecialDay,0.9445150612657199,0.9701292484694598,0.9687681464057849,0.9674322795471839,0.9844504921866222,0.9737772169375177,0.9603599616325112,0.9655397552913688,0.977993570165517,1.0,0.8361852399121076,0.8874814420400189,0.8952724993450132,0.9044751737358024,0.8236744804574423,0.9034828358402948,0.9113266133778539,0.9128404580614201
Month,0.8898592559641771,0.9038543601384804,0.8801581490145406,0.9079091447843626,0.9151137077570008,0.9231360915118089,0.8959911593573447,0.8736548673626128,0.896555163618191,0.8361852399121076,1.0,0.8751082517240685,0.8915496623130367,0.8617387804481249,0.79304548573151,0.9125660499811171,0.9219238182416678,0.9135550289698409
OperatingSystems,0.9123878818821445,0.9181663698658744,0.9031663684054803,0.9200533452813054,0.92167584329736,0.9310533268803379,0.9124362209319477,0.9007278020803609,0.9116740411708507,0.8874814420400189,0.8751082517240685,1.0,0.8140461011416487,0.8998858847930022,0.841603448633407,0.9342959862816406,0.9351993861670872,0.9355568906804357
