column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
age,workclass,ContingencySimilarity,0.6097743172415668,0.39022568275843317,True,False,
age,fnlwgt,CorrelationSimilarity,0.9057008380493716,0.09429916195062837,True,True,
age,education,ContingencySimilarity,0.646193965079617,0.353806034920383,True,False,
age,education.num,CorrelationSimilarity,0.9864365187770425,0.013563481222957474,True,True,
age,marital.status,ContingencySimilarity,0.565276630702582,0.43472336929741795,True,False,
age,occupation,ContingencySimilarity,0.5165436630103836,0.48345633698961643,True,False,
age,relationship,ContingencySimilarity,0.555910001130873,0.44408999886912703,True,False,
age,race,ContingencySimilarity,0.6406656039674666,0.35933439603253337,True,False,
age,sex,ContingencySimilarity,0.6767443640309176,0.32325563596908236,True,False,
age,capital.gain,CorrelationSimilarity,0.8805568001845006,0.11944319981549945,True,True,
age,capital.loss,CorrelationSimilarity,0.8639297527675893,0.13607024723241068,True,True,
age,hours.per.week,CorrelationSimilarity,0.8376550353400588,0.1623449646599412,True,True,
age,native.country,ContingencySimilarity,0.6524280523466309,0.3475719476533691,True,False,
age,income,ContingencySimilarity,0.6626548025272374,0.3373451974727626,True,False,
workclass,fnlwgt,ContingencySimilarity,0.39386052384972947,0.6061394761502705,False,True,
workclass,education,ContingencySimilarity,0.7319246431331462,0.2680753568668538,False,False,
workclass,education.num,ContingencySimilarity,0.6938044872034995,0.3061955127965005,False,True,
workclass,marital.status,ContingencySimilarity,0.6991563781104184,0.3008436218895816,False,False,
workclass,occupation,ContingencySimilarity,0.5000573207517848,0.4999426792482152,False,False,
workclass,relationship,ContingencySimilarity,0.7028066065887848,0.2971933934112152,False,False,
workclass,race,ContingencySimilarity,0.6568982825661598,0.3431017174338402,False,False,
workclass,sex,ContingencySimilarity,0.7319246431331463,0.2680753568668537,False,False,
workclass,capital.gain,ContingencySimilarity,0.7285458158714405,0.2714541841285595,False,True,
workclass,capital.loss,ContingencySimilarity,0.7020738930921466,0.29792610690785337,False,True,
workclass,hours.per.week,ContingencySimilarity,0.5176348999851151,0.48236510001488486,False,True,
workclass,native.country,ContingencySimilarity,0.6717310710864011,0.32826892891359893,False,False,
workclass,income,ContingencySimilarity,0.7319246431331463,0.2680753568668537,False,False,
fnlwgt,education,ContingencySimilarity,0.4996604061390476,0.5003395938609524,True,False,
fnlwgt,education.num,CorrelationSimilarity,0.9168391217144718,0.0831608782855282,True,True,
fnlwgt,marital.status,ContingencySimilarity,0.4774566027587249,0.5225433972412751,True,False,
fnlwgt,occupation,ContingencySimilarity,0.3545202224405807,0.6454797775594193,True,False,
fnlwgt,relationship,ContingencySimilarity,0.48448934785024456,0.5155106521497554,True,False,
fnlwgt,race,ContingencySimilarity,0.4479127215032097,0.5520872784967903,True,False,
fnlwgt,sex,ContingencySimilarity,0.4996604061390475,0.5003395938609525,True,False,
fnlwgt,capital.gain,CorrelationSimilarity,0.9370489336320303,0.06295106636796965,True,True,
fnlwgt,capital.loss,CorrelationSimilarity,0.9322655916911475,0.06773440830885247,True,True,
fnlwgt,hours.per.week,CorrelationSimilarity,0.9774307912807746,0.02256920871922541,True,True,
fnlwgt,native.country,ContingencySimilarity,0.4609950108425058,0.5390049891574942,True,False,
fnlwgt,income,ContingencySimilarity,0.4996604061390476,0.5003395938609524,True,False,
education,education.num,ContingencySimilarity,0.8531466218204495,0.14685337817955046,False,True,
education,marital.status,ContingencySimilarity,0.9310921534277383,0.06890784657226168,False,False,
education,occupation,ContingencySimilarity,0.5430492728126086,0.4569507271873914,False,False,
education,relationship,ContingencySimilarity,0.9101129318022781,0.08988706819772185,False,False,
education,race,ContingencySimilarity,0.8788129343471007,0.12118706565289927,False,False,
education,sex,ContingencySimilarity,0.9853224811173674,0.014677518882632579,False,False,
education,capital.gain,ContingencySimilarity,0.9670262856331653,0.03297371436683472,False,True,
education,capital.loss,ContingencySimilarity,0.952517333897193,0.04748266610280705,False,True,
education,hours.per.week,ContingencySimilarity,0.5247271877384427,0.47527281226155726,False,True,
education,native.country,ContingencySimilarity,0.9103238208649815,0.08967617913501846,False,False,
education,income,ContingencySimilarity,0.9262825632325226,0.07371743676747744,False,False,
education.num,marital.status,ContingencySimilarity,0.815309550053714,0.18469044994628603,True,False,
education.num,occupation,ContingencySimilarity,0.533557031763905,0.466442968236095,True,False,
education.num,relationship,ContingencySimilarity,0.8168119460083259,0.18318805399167415,True,False,
education.num,race,ContingencySimilarity,0.7773367833371626,0.2226632166628374,True,False,
education.num,sex,ContingencySimilarity,0.8596237460571565,0.14037625394284348,True,False,
education.num,capital.gain,CorrelationSimilarity,0.8575933018336022,0.14240669816639784,True,True,
education.num,capital.loss,CorrelationSimilarity,0.84802919708536,0.15197080291464005,True,True,
education.num,hours.per.week,CorrelationSimilarity,0.9159250894024574,0.08407491059754257,True,True,
education.num,native.country,ContingencySimilarity,0.8082633263806789,0.19173667361932112,True,False,
education.num,income,ContingencySimilarity,0.8049109168369558,0.19508908316304419,True,False,
marital.status,occupation,ContingencySimilarity,0.5958706266218576,0.40412937337814236,False,False,
marital.status,relationship,ContingencySimilarity,0.8889830541146903,0.11101694588530975,False,False,
marital.status,race,ContingencySimilarity,0.8485321032537658,0.15146789674623418,False,False,
marital.status,sex,ContingencySimilarity,0.9362467583407881,0.06375324165921192,False,False,
marital.status,capital.gain,ContingencySimilarity,0.9333287378650988,0.06667126213490115,False,True,
marital.status,capital.loss,ContingencySimilarity,0.905471116561694,0.09452888343830601,False,True,
marital.status,hours.per.week,ContingencySimilarity,0.5116296279547092,0.48837037204529077,False,True,
marital.status,native.country,ContingencySimilarity,0.8748209353658747,0.12517906463412531,False,False,
marital.status,income,ContingencySimilarity,0.8944349385173354,0.10556506148266465,False,False,
occupation,relationship,ContingencySimilarity,0.5712427080892863,0.42875729191071366,False,False,
occupation,race,ContingencySimilarity,0.591268526608308,0.408731473391692,False,False,
occupation,sex,ContingencySimilarity,0.6237571176661908,0.3762428823338092,False,False,
occupation,capital.gain,ContingencySimilarity,0.644489733685486,0.355510266314514,False,True,
occupation,capital.loss,ContingencySimilarity,0.6265547890833614,0.3734452109166386,False,True,
occupation,hours.per.week,ContingencySimilarity,0.40985282498053976,0.5901471750194602,False,True,
occupation,native.country,ContingencySimilarity,0.6059783971044521,0.3940216028955479,False,False,
occupation,income,ContingencySimilarity,0.6134071740804485,0.38659282591955146,False,False,
relationship,race,ContingencySimilarity,0.8511704007241511,0.14882959927584893,False,False,
relationship,sex,ContingencySimilarity,0.9234966351190903,0.0765033648809097,False,False,
relationship,capital.gain,ContingencySimilarity,0.9178348122841763,0.0821651877158237,False,True,
relationship,capital.loss,ContingencySimilarity,0.8891517683827274,0.11084823161727264,False,True,
relationship,hours.per.week,ContingencySimilarity,0.487668814329435,0.512331185670565,False,True,
relationship,native.country,ContingencySimilarity,0.8683997097076441,0.13160029029235587,False,False,
relationship,income,ContingencySimilarity,0.8769486235780446,0.1230513764219554,False,False,
race,sex,ContingencySimilarity,0.8816702050112242,0.11832979498877583,False,False,
race,capital.gain,ContingencySimilarity,0.871289347074651,0.128710652925349,False,True,
race,capital.loss,ContingencySimilarity,0.8410093119456877,0.15899068805431227,False,True,
race,hours.per.week,ContingencySimilarity,0.5288102850306164,0.47118971496938356,False,True,
race,native.country,ContingencySimilarity,0.8165333848846638,0.18346661511533624,False,False,
race,income,ContingencySimilarity,0.8376511307171848,0.16234886928281522,False,False,
sex,capital.gain,ContingencySimilarity,0.9878378794253705,0.012162120574629509,False,True,
sex,capital.loss,ContingencySimilarity,0.9538418978307526,0.04615810216924743,False,True,
sex,hours.per.week,ContingencySimilarity,0.5166948472005302,0.48330515279946984,False,True,
sex,native.country,ContingencySimilarity,0.9145927060495805,0.08540729395041946,False,False,
sex,income,ContingencySimilarity,0.9398267533373031,0.060173246662696855,False,False,
capital.gain,capital.loss,CorrelationSimilarity,0.678397791503897,0.321602208496103,True,True,
capital.gain,hours.per.week,CorrelationSimilarity,0.8408938177428102,0.15910618225718975,True,True,
capital.gain,native.country,ContingencySimilarity,0.904825830886271,0.095174169113729,True,False,
capital.gain,income,ContingencySimilarity,0.939611778827138,0.06038822117286202,True,False,
capital.loss,hours.per.week,CorrelationSimilarity,0.8275928117287306,0.17240718827126944,True,True,
capital.loss,native.country,ContingencySimilarity,0.8736244802003712,0.1263755197996288,True,False,
capital.loss,income,ContingencySimilarity,0.9172544335422977,0.08274556645770226,True,False,
hours.per.week,native.country,ContingencySimilarity,0.5293016930629955,0.47069830693700454,True,False,
hours.per.week,income,ContingencySimilarity,0.5347681990670828,0.46523180093291716,True,False,
native.country,income,ContingencySimilarity,0.8719246322687986,0.12807536773120143,False,False,
