,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,1.0,0.6097743172415668,0.9057008380493716,0.646193965079617,0.9864365187770425,0.565276630702582,0.5165436630103836,0.555910001130873,0.6406656039674666,0.6767443640309176,0.8805568001845006,0.8639297527675893,0.8376550353400588,0.6524280523466309,0.6626548025272374
workclass,0.6097743172415668,1.0,0.39386052384972947,0.7319246431331462,0.6938044872034995,0.6991563781104184,0.5000573207517848,0.7028066065887848,0.6568982825661598,0.7319246431331463,0.7285458158714405,0.7020738930921466,0.5176348999851151,0.6717310710864011,0.7319246431331463
fnlwgt,0.9057008380493716,0.39386052384972947,1.0,0.4996604061390476,0.9168391217144718,0.4774566027587249,0.3545202224405807,0.48448934785024456,0.4479127215032097,0.4996604061390475,0.9370489336320303,0.9322655916911475,0.9774307912807746,0.4609950108425058,0.4996604061390476
education,0.646193965079617,0.7319246431331462,0.4996604061390476,1.0,0.8531466218204495,0.9310921534277383,0.5430492728126086,0.9101129318022781,0.8788129343471007,0.9853224811173674,0.9670262856331653,0.952517333897193,0.5247271877384427,0.9103238208649815,0.9262825632325226
education.num,0.9864365187770425,0.6938044872034995,0.9168391217144718,0.8531466218204495,1.0,0.815309550053714,0.533557031763905,0.8168119460083259,0.7773367833371626,0.8596237460571565,0.8575933018336022,0.84802919708536,0.9159250894024574,0.8082633263806789,0.8049109168369558
marital.status,0.565276630702582,0.6991563781104184,0.4774566027587249,0.9310921534277383,0.815309550053714,1.0,0.5958706266218576,0.8889830541146903,0.8485321032537658,0.9362467583407881,0.9333287378650988,0.905471116561694,0.5116296279547092,0.8748209353658747,0.8944349385173354
occupation,0.5165436630103836,0.5000573207517848,0.3545202224405807,0.5430492728126086,0.533557031763905,0.5958706266218576,1.0,0.5712427080892863,0.591268526608308,0.6237571176661908,0.644489733685486,0.6265547890833614,0.40985282498053976,0.6059783971044521,0.6134071740804485
relationship,0.555910001130873,0.7028066065887848,0.48448934785024456,0.9101129318022781,0.8168119460083259,0.8889830541146903,0.5712427080892863,1.0,0.8511704007241511,0.9234966351190903,0.9178348122841763,0.8891517683827274,0.487668814329435,0.8683997097076441,0.8769486235780446
race,0.6406656039674666,0.6568982825661598,0.4479127215032097,0.8788129343471007,0.7773367833371626,0.8485321032537658,0.591268526608308,0.8511704007241511,1.0,0.8816702050112242,0.871289347074651,0.8410093119456877,0.5288102850306164,0.8165333848846638,0.8376511307171848
sex,0.6767443640309176,0.7319246431331463,0.4996604061390475,0.9853224811173674,0.8596237460571565,0.9362467583407881,0.6237571176661908,0.9234966351190903,0.8816702050112242,1.0,0.9878378794253705,0.9538418978307526,0.5166948472005302,0.9145927060495805,0.9398267533373031
capital.gain,0.8805568001845006,0.7285458158714405,0.9370489336320303,0.9670262856331653,0.8575933018336022,0.9333287378650988,0.644489733685486,0.9178348122841763,0.871289347074651,0.9878378794253705,1.0,0.678397791503897,0.8408938177428102,0.904825830886271,0.939611778827138
capital.loss,0.8639297527675893,0.7020738930921466,0.9322655916911475,0.952517333897193,0.84802919708536,0.905471116561694,0.6265547890833614,0.8891517683827274,0.8410093119456877,0.9538418978307526,0.678397791503897,1.0,0.8275928117287306,0.8736244802003712,0.9172544335422977
hours.per.week,0.8376550353400588,0.5176348999851151,0.9774307912807746,0.5247271877384427,0.9159250894024574,0.5116296279547092,0.40985282498053976,0.487668814329435,0.5288102850306164,0.5166948472005302,0.8408938177428102,0.8275928117287306,1.0,0.5293016930629955,0.5347681990670828
native.country,0.6524280523466309,0.6717310710864011,0.4609950108425058,0.9103238208649815,0.8082633263806789,0.8748209353658747,0.6059783971044521,0.8683997097076441,0.8165333848846638,0.9145927060495805,0.904825830886271,0.8736244802003712,0.5293016930629955,1.0,0.8719246322687986
income,0.6626548025272374,0.7319246431331463,0.4996604061390476,0.9262825632325226,0.8049109168369558,0.8944349385173354,0.6134071740804485,0.8769486235780446,0.8376511307171848,0.9398267533373031,0.939611778827138,0.9172544335422977,0.5347681990670828,0.8719246322687986,1.0
