,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,0.0,0.11217386312389943,0.02269664699753149,0.1252619430096904,0.010365671568442147,0.1367757600345022,0.11288230159337509,0.10013925151478997,0.09684955717333243,0.0950421936941046,0.011582268082359404,0.0024837248684587143,0.04055801411681681,0.10648980987172518,0.09847916785071087
workclass,0.11217386312389943,0.0,0.07436693992236709,0.10554253305030803,0.08149095685261232,0.07679672867847787,0.14673078080460766,0.06358895989419211,0.07172911776719915,0.07962720439031912,0.07147874736272675,0.07267734521905056,0.116988749688678,0.08984471987527787,0.06318422521442957
fnlwgt,0.02269664699753149,0.07436693992236709,0.0,0.09618659807098529,0.0057407262353046384,0.06206077243053443,0.07772171849748999,0.05094264400698689,0.05279232940225764,0.06491339179574696,0.00512371079159446,0.005176915271259297,0.00438284643718978,0.06863735449026254,0.045112948136523334
education,0.1252619430096904,0.10554253305030803,0.09618659807098529,0.0,0.22491012600297067,0.09793932293429641,0.12382418237992754,0.08885421200315635,0.08256955647831588,0.09599672095875511,0.075889355701245,0.07762095167145011,0.12074656161687325,0.08838730156617647,0.08264957919023508
education.num,0.010365671568442147,0.08149095685261232,0.0057407262353046384,0.22491012600297067,0.0,0.05228857071891824,0.10029632056000648,0.04075251573216032,0.04718224802384119,0.06813721348385371,0.013678155911541867,0.0063520122930493805,0.0011167016986429745,0.05838805324324137,0.05302013365094349
marital.status,0.1367757600345022,0.07679672867847787,0.06206077243053443,0.09793932293429641,0.05228857071891824,0.0,0.08217959429371557,0.07611419111599493,0.05012927027246372,0.07064067987096867,0.045062066774228304,0.049699853152495366,0.09494611211806259,0.05787048401220307,0.05803255141188579
occupation,0.11288230159337509,0.14673078080460766,0.07772171849748999,0.12382418237992754,0.10029632056000648,0.08217959429371557,0.0,0.07170734757578412,0.0756981016838223,0.12046692537545811,0.06577533444631034,0.0675197186592631,0.13035288963472635,0.08333681709208773,0.08508576584006255
relationship,0.10013925151478997,0.06358895989419211,0.05094264400698689,0.08885421200315635,0.04075251573216032,0.07611419111599493,0.07170734757578412,0.0,0.0373740543877249,0.08286049843168242,0.027811696799803,0.03170303080824988,0.08720676191576204,0.04300573620212167,0.04351347093497615
race,0.09684955717333243,0.07172911776719915,0.05279232940225764,0.08256955647831588,0.04718224802384119,0.05012927027246372,0.0756981016838223,0.0373740543877249,0.0,0.055789089993248275,0.041589907974522555,0.043556483189787,0.10440674093248137,0.05921731231410976,0.047313016293707544
sex,0.0950421936941046,0.07962720439031912,0.06491339179574696,0.09599672095875511,0.06813721348385371,0.07064067987096867,0.12046692537545811,0.08286049843168242,0.055789089993248275,0.0,0.06217602882601192,0.062054163285609976,0.09470521029450374,0.06770511422801695,0.057059045489635474
capital.gain,0.011582268082359404,0.07147874736272675,0.00512371079159446,0.075889355701245,0.013678155911541867,0.045062066774228304,0.06577533444631034,0.027811696799803,0.041589907974522555,0.06217602882601192,0.0,0.023422552838600508,0.015286938256440785,0.044195627490816736,0.023414876374925675
capital.loss,0.0024837248684587143,0.07267734521905056,0.005176915271259297,0.07762095167145011,0.0063520122930493805,0.049699853152495366,0.0675197186592631,0.03170303080824988,0.043556483189787,0.062054163285609976,0.023422552838600508,0.0,0.001929933505251058,0.046776453315697464,0.03474729651455655
hours.per.week,0.04055801411681681,0.116988749688678,0.00438284643718978,0.12074656161687325,0.0011167016986429745,0.09494611211806259,0.13035288963472635,0.08720676191576204,0.10440674093248137,0.09470521029450374,0.015286938256440785,0.001929933505251058,0.0,0.10342104657001938,0.09067008966052015
native.country,0.10648980987172518,0.08984471987527787,0.06863735449026254,0.08838730156617647,0.05838805324324137,0.05787048401220307,0.08333681709208773,0.04300573620212167,0.05921731231410976,0.06770511422801695,0.044195627490816736,0.046776453315697464,0.10342104657001938,0.0,0.04605060171096431
income,0.09847916785071087,0.06318422521442957,0.045112948136523334,0.08264957919023508,0.05302013365094349,0.05803255141188579,0.08508576584006255,0.04351347093497615,0.047313016293707544,0.057059045489635474,0.023414876374925675,0.03474729651455655,0.09067008966052015,0.04605060171096431,0.0
