,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,1.0,0.8878261368761006,0.9773033530024685,0.8747380569903096,0.9896343284315579,0.8632242399654978,0.8871176984066249,0.89986074848521,0.9031504428266676,0.9049578063058954,0.9884177319176406,0.9975162751315413,0.9594419858831832,0.8935101901282748,0.9015208321492891
workclass,0.8878261368761006,1.0,0.9256330600776329,0.894457466949692,0.9185090431473877,0.9232032713215221,0.8532692191953923,0.9364110401058079,0.9282708822328009,0.9203727956096809,0.9285212526372733,0.9273226547809494,0.883011250311322,0.9101552801247221,0.9368157747855704
fnlwgt,0.9773033530024685,0.9256330600776329,1.0,0.9038134019290147,0.9942592737646954,0.9379392275694656,0.92227828150251,0.9490573559930131,0.9472076705977424,0.935086608204253,0.9948762892084055,0.9948230847287407,0.9956171535628102,0.9313626455097375,0.9548870518634767
education,0.8747380569903096,0.894457466949692,0.9038134019290147,1.0,0.7750898739970293,0.9020606770657036,0.8761758176200725,0.9111457879968436,0.9174304435216841,0.9040032790412449,0.924110644298755,0.9223790483285499,0.8792534383831268,0.9116126984338235,0.9173504208097649
education.num,0.9896343284315579,0.9185090431473877,0.9942592737646954,0.7750898739970293,1.0,0.9477114292810818,0.8997036794399935,0.9592474842678397,0.9528177519761588,0.9318627865161463,0.9863218440884581,0.9936479877069506,0.998883298301357,0.9416119467567586,0.9469798663490565
marital.status,0.8632242399654978,0.9232032713215221,0.9379392275694656,0.9020606770657036,0.9477114292810818,1.0,0.9178204057062844,0.9238858088840051,0.9498707297275363,0.9293593201290313,0.9549379332257717,0.9503001468475046,0.9050538878819374,0.9421295159877969,0.9419674485881142
occupation,0.8871176984066249,0.8532692191953923,0.92227828150251,0.8761758176200725,0.8997036794399935,0.9178204057062844,1.0,0.9282926524242159,0.9243018983161777,0.8795330746245419,0.9342246655536897,0.9324802813407369,0.8696471103652736,0.9166631829079123,0.9149142341599374
relationship,0.89986074848521,0.9364110401058079,0.9490573559930131,0.9111457879968436,0.9592474842678397,0.9238858088840051,0.9282926524242159,1.0,0.9626259456122751,0.9171395015683176,0.972188303200197,0.9682969691917501,0.912793238084238,0.9569942637978783,0.9564865290650238
race,0.9031504428266676,0.9282708822328009,0.9472076705977424,0.9174304435216841,0.9528177519761588,0.9498707297275363,0.9243018983161777,0.9626259456122751,1.0,0.9442109100067517,0.9584100920254774,0.956443516810213,0.8955932590675186,0.9407826876858902,0.9526869837062925
sex,0.9049578063058954,0.9203727956096809,0.935086608204253,0.9040032790412449,0.9318627865161463,0.9293593201290313,0.8795330746245419,0.9171395015683176,0.9442109100067517,1.0,0.9378239711739881,0.93794583671439,0.9052947897054963,0.932294885771983,0.9429409545103645
capital.gain,0.9884177319176406,0.9285212526372733,0.9948762892084055,0.924110644298755,0.9863218440884581,0.9549379332257717,0.9342246655536897,0.972188303200197,0.9584100920254774,0.9378239711739881,1.0,0.9765774471613995,0.9847130617435592,0.9558043725091833,0.9765851236250743
capital.loss,0.9975162751315413,0.9273226547809494,0.9948230847287407,0.9223790483285499,0.9936479877069506,0.9503001468475046,0.9324802813407369,0.9682969691917501,0.956443516810213,0.93794583671439,0.9765774471613995,1.0,0.9980700664947489,0.9532235466843025,0.9652527034854435
hours.per.week,0.9594419858831832,0.883011250311322,0.9956171535628102,0.8792534383831268,0.998883298301357,0.9050538878819374,0.8696471103652736,0.912793238084238,0.8955932590675186,0.9052947897054963,0.9847130617435592,0.9980700664947489,1.0,0.8965789534299806,0.9093299103394799
native.country,0.8935101901282748,0.9101552801247221,0.9313626455097375,0.9116126984338235,0.9416119467567586,0.9421295159877969,0.9166631829079123,0.9569942637978783,0.9407826876858902,0.932294885771983,0.9558043725091833,0.9532235466843025,0.8965789534299806,1.0,0.9539493982890357
income,0.9015208321492891,0.9368157747855704,0.9548870518634767,0.9173504208097649,0.9469798663490565,0.9419674485881142,0.9149142341599374,0.9564865290650238,0.9526869837062925,0.9429409545103645,0.9765851236250743,0.9652527034854435,0.9093299103394799,0.9539493982890357,1.0
