column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
year,month,ContingencySimilarity,0.8933054942905024,0.10669450570949757,False,False,
year,day,ContingencySimilarity,0.8091392895403869,0.19086071045961306,False,False,
year,hour,ContingencySimilarity,0.8838545077464447,0.1161454922535553,False,False,
year,pm2.5,ContingencySimilarity,0.7132428144642667,0.28675718553573326,False,True,
year,DEWP,ContingencySimilarity,0.060731469930942805,0.9392685300690572,False,True,
year,TEMP,ContingencySimilarity,0.13149721084876453,0.8685027891512355,False,True,
year,PRES,ContingencySimilarity,0.13798778868754602,0.862012211312454,False,True,
year,cbwd,ContingencySimilarity,0.8126673564954581,0.18733264350454193,False,False,
year,Iws,ContingencySimilarity,0.9368510567211441,0.0631489432788559,False,True,
year,Is,ContingencySimilarity,0.9395247282880227,0.06047527171197731,False,True,
year,Ir,ContingencySimilarity,0.945695794115549,0.05430420588445095,False,True,
month,day,ContingencySimilarity,0.7678612832841256,0.23213871671587438,False,False,
month,hour,ContingencySimilarity,0.8420213671276651,0.15797863287233493,False,False,
month,pm2.5,ContingencySimilarity,0.7039598875306509,0.29604011246934914,False,True,
month,DEWP,ContingencySimilarity,0.0382808476498161,0.9617191523501839,False,True,
month,TEMP,ContingencySimilarity,0.06610484185585563,0.9338951581441444,False,True,
month,PRES,ContingencySimilarity,0.08704102294193972,0.9129589770580603,False,True,
month,cbwd,ContingencySimilarity,0.7566780825997378,0.2433219174002622,False,False,
month,Iws,ContingencySimilarity,0.8740432651509382,0.12595673484906178,False,True,
month,Is,ContingencySimilarity,0.902235694793606,0.09776430520639401,False,True,
month,Ir,ContingencySimilarity,0.9062525246048201,0.09374747539517991,False,True,
day,hour,ContingencySimilarity,0.7416076099980472,0.2583923900019528,False,False,
day,pm2.5,ContingencySimilarity,0.6680833650581787,0.33191663494182133,False,True,
day,DEWP,ContingencySimilarity,0.06073139985832843,0.9392686001416716,False,True,
day,TEMP,ContingencySimilarity,0.12510984360085475,0.8748901563991452,False,True,
day,PRES,ContingencySimilarity,0.1273726857993528,0.8726273142006472,False,True,
day,cbwd,ContingencySimilarity,0.7468772617130739,0.2531227382869261,False,False,
day,Iws,ContingencySimilarity,0.8109248607915145,0.1890751392084855,False,True,
day,Is,ContingencySimilarity,0.8122939968651042,0.18770600313489583,False,True,
day,Ir,ContingencySimilarity,0.816133116155793,0.18386688384420702,False,True,
hour,pm2.5,ContingencySimilarity,0.7071718059599612,0.2928281940400388,False,True,
hour,DEWP,ContingencySimilarity,0.06073139985832854,0.9392686001416715,False,True,
hour,TEMP,ContingencySimilarity,0.11771268538681623,0.8822873146131838,False,True,
hour,PRES,ContingencySimilarity,0.13107112476114313,0.8689288752388569,False,True,
hour,cbwd,ContingencySimilarity,0.7684911978667551,0.23150880213324487,False,False,
hour,Iws,ContingencySimilarity,0.8909195599893373,0.10908044001066275,False,True,
hour,Is,ContingencySimilarity,0.8963004105732848,0.1036995894267152,False,True,
hour,Ir,ContingencySimilarity,0.8990515951922389,0.10094840480776113,False,True,
pm2.5,DEWP,CorrelationSimilarity,0.9230316778781484,0.07696832212185156,True,True,
pm2.5,TEMP,CorrelationSimilarity,0.9652967865234051,0.034703213476594885,True,True,
pm2.5,PRES,CorrelationSimilarity,0.9766737209607991,0.023326279039200926,True,True,
pm2.5,cbwd,ContingencySimilarity,0.691889739543532,0.30811026045646805,True,False,
pm2.5,Iws,CorrelationSimilarity,0.879540486536508,0.12045951346349204,True,True,
pm2.5,Is,CorrelationSimilarity,0.9974813819269188,0.0025186180730811802,True,True,
pm2.5,Ir,CorrelationSimilarity,0.981358530309839,0.018641469690161006,True,True,
DEWP,TEMP,CorrelationSimilarity,0.5936496383764238,0.4063503616235762,True,True,
DEWP,PRES,CorrelationSimilarity,0.6098716975771401,0.3901283024228599,True,True,
DEWP,cbwd,ContingencySimilarity,0.05892622738586328,0.9410737726141367,True,False,
DEWP,Iws,CorrelationSimilarity,0.861664384793587,0.13833561520641302,True,True,
DEWP,Is,CorrelationSimilarity,0.9910503311013956,0.00894966889860438,True,True,
DEWP,Ir,CorrelationSimilarity,0.9320160234389817,0.06798397656101829,True,True,
TEMP,PRES,CorrelationSimilarity,0.5928166637141742,0.4071833362858258,True,True,
TEMP,cbwd,ContingencySimilarity,0.12085458853379905,0.879145411466201,True,False,
TEMP,Iws,CorrelationSimilarity,0.9303938971081259,0.06960610289187408,True,True,
TEMP,Is,CorrelationSimilarity,0.9560813222952694,0.04391867770473057,True,True,
TEMP,Ir,CorrelationSimilarity,0.9770183348799419,0.02298166512005806,True,True,
PRES,cbwd,ContingencySimilarity,0.12756097728466254,0.8724390227153375,True,False,
PRES,Iws,CorrelationSimilarity,0.9160025845586796,0.08399741544132044,True,True,
PRES,Is,CorrelationSimilarity,0.9686767050802371,0.031323294919762934,True,True,
PRES,Ir,CorrelationSimilarity,0.9563820018486415,0.04361799815135847,True,True,
cbwd,Iws,ContingencySimilarity,0.8007508204197256,0.19924917958027444,False,True,
cbwd,Is,ContingencySimilarity,0.8046084197699206,0.1953915802300794,False,True,
cbwd,Ir,ContingencySimilarity,0.8056455199449785,0.19435448005502154,False,True,
Iws,Is,CorrelationSimilarity,0.9948664850852738,0.005133514914726245,True,True,
Iws,Ir,CorrelationSimilarity,0.9933082673733912,0.006691732626608826,True,True,
Is,Ir,CorrelationSimilarity,0.9838814802596221,0.016118519740377923,True,True,
