,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,1.0,0.8933054942905024,0.8091392895403869,0.8838545077464447,0.7132428144642667,0.060731469930942805,0.13149721084876453,0.13798778868754602,0.8126673564954581,0.9368510567211441,0.9395247282880227,0.945695794115549
month,0.8933054942905024,1.0,0.7678612832841256,0.8420213671276651,0.7039598875306509,0.0382808476498161,0.06610484185585563,0.08704102294193972,0.7566780825997378,0.8740432651509382,0.902235694793606,0.9062525246048201
day,0.8091392895403869,0.7678612832841256,1.0,0.7416076099980472,0.6680833650581787,0.06073139985832843,0.12510984360085475,0.1273726857993528,0.7468772617130739,0.8109248607915145,0.8122939968651042,0.816133116155793
hour,0.8838545077464447,0.8420213671276651,0.7416076099980472,1.0,0.7071718059599612,0.06073139985832854,0.11771268538681623,0.13107112476114313,0.7684911978667551,0.8909195599893373,0.8963004105732848,0.8990515951922389
pm2.5,0.7132428144642667,0.7039598875306509,0.6680833650581787,0.7071718059599612,1.0,0.9230316778781484,0.9652967865234051,0.9766737209607991,0.691889739543532,0.879540486536508,0.9974813819269188,0.981358530309839
DEWP,0.060731469930942805,0.0382808476498161,0.06073139985832843,0.06073139985832854,0.9230316778781484,1.0,0.5936496383764238,0.6098716975771401,0.05892622738586328,0.861664384793587,0.9910503311013956,0.9320160234389817
TEMP,0.13149721084876453,0.06610484185585563,0.12510984360085475,0.11771268538681623,0.9652967865234051,0.5936496383764238,1.0,0.5928166637141742,0.12085458853379905,0.9303938971081259,0.9560813222952694,0.9770183348799419
PRES,0.13798778868754602,0.08704102294193972,0.1273726857993528,0.13107112476114313,0.9766737209607991,0.6098716975771401,0.5928166637141742,1.0,0.12756097728466254,0.9160025845586796,0.9686767050802371,0.9563820018486415
cbwd,0.8126673564954581,0.7566780825997378,0.7468772617130739,0.7684911978667551,0.691889739543532,0.05892622738586328,0.12085458853379905,0.12756097728466254,1.0,0.8007508204197256,0.8046084197699206,0.8056455199449785
Iws,0.9368510567211441,0.8740432651509382,0.8109248607915145,0.8909195599893373,0.879540486536508,0.861664384793587,0.9303938971081259,0.9160025845586796,0.8007508204197256,1.0,0.9948664850852738,0.9933082673733912
Is,0.9395247282880227,0.902235694793606,0.8122939968651042,0.8963004105732848,0.9974813819269188,0.9910503311013956,0.9560813222952694,0.9686767050802371,0.8046084197699206,0.9948664850852738,1.0,0.9838814802596221
Ir,0.945695794115549,0.9062525246048201,0.816133116155793,0.8990515951922389,0.981358530309839,0.9320160234389817,0.9770183348799419,0.9563820018486415,0.8056455199449785,0.9933082673733912,0.9838814802596221,1.0
