column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
year,month,ContingencySimilarity,0.952789098362547,0.04721090163745301,False,False,
year,day,ContingencySimilarity,0.9201202581113288,0.0798797418886712,False,False,
year,hour,ContingencySimilarity,0.9282808638302198,0.0717191361697802,False,False,
year,pm2.5,ContingencySimilarity,0.955731447444004,0.044268552555996044,False,True,
year,DEWP,ContingencySimilarity,0.9033324267635752,0.09666757323642483,False,True,
year,TEMP,ContingencySimilarity,0.9025367840774942,0.09746321592250584,False,True,
year,PRES,ContingencySimilarity,0.915043892147952,0.08495610785204799,False,True,
year,cbwd,ContingencySimilarity,0.9599962132759142,0.04000378672408578,False,False,
year,Iws,ContingencySimilarity,0.9547768418468863,0.04522315815311373,False,True,
year,Is,ContingencySimilarity,0.9820522757756921,0.017947724224307904,False,True,
year,Ir,ContingencySimilarity,0.9812565821277096,0.01874341787229039,False,True,
month,day,ContingencySimilarity,0.8697420105976039,0.13025798940239608,False,False,
month,hour,ContingencySimilarity,0.8955226172931797,0.10447738270682028,False,False,
month,pm2.5,ContingencySimilarity,0.9352134023889181,0.06478659761108185,False,True,
month,DEWP,ContingencySimilarity,0.7515542583656541,0.24844574163434585,False,True,
month,TEMP,ContingencySimilarity,0.7540176165355674,0.24598238346443257,False,True,
month,PRES,ContingencySimilarity,0.7719189080974346,0.22808109190256542,False,True,
month,cbwd,ContingencySimilarity,0.9165415477667113,0.08345845223328874,False,False,
month,Iws,ContingencySimilarity,0.9390924949210413,0.0609075050789587,False,True,
month,Is,ContingencySimilarity,0.9802176473242001,0.019782352675799864,False,True,
month,Ir,ContingencySimilarity,0.9778005816714986,0.022199418328501364,False,True,
day,hour,ContingencySimilarity,0.8292817199009805,0.17071828009901946,False,False,
day,pm2.5,ContingencySimilarity,0.9163971918106721,0.08360280818932786,False,True,
day,DEWP,ContingencySimilarity,0.8568244426325506,0.14317555736744936,False,True,
day,TEMP,ContingencySimilarity,0.8660337805805012,0.13396621941949882,False,True,
day,PRES,ContingencySimilarity,0.8572219582041826,0.14277804179581743,False,True,
day,cbwd,ContingencySimilarity,0.9264654798667555,0.07353452013324446,False,False,
day,Iws,ContingencySimilarity,0.9323557137662123,0.06764428623378771,False,True,
day,Is,ContingencySimilarity,0.9607456653685863,0.0392543346314137,False,True,
day,Ir,ContingencySimilarity,0.9549990038859342,0.04500099611406583,False,True,
hour,pm2.5,ContingencySimilarity,0.9324587141392406,0.06754128586075936,False,True,
hour,DEWP,ContingencySimilarity,0.8740467178197602,0.12595328218023982,False,True,
hour,TEMP,ContingencySimilarity,0.8557247357615856,0.1442752642384144,False,True,
hour,PRES,ContingencySimilarity,0.8878693245625523,0.1121306754374477,False,True,
hour,cbwd,ContingencySimilarity,0.8841211531552036,0.11587884684479643,False,False,
hour,Iws,ContingencySimilarity,0.9409861818460533,0.059013818153946684,False,True,
hour,Is,ContingencySimilarity,0.9677698334260564,0.03223016657394362,False,True,
hour,Ir,ContingencySimilarity,0.9625165404813889,0.037483459518611095,False,True,
pm2.5,DEWP,CorrelationSimilarity,0.9465729774590648,0.05342702254093523,True,True,
pm2.5,TEMP,CorrelationSimilarity,0.9662019087366163,0.033798091263383734,True,True,
pm2.5,PRES,CorrelationSimilarity,0.9777335381075715,0.022266461892428535,True,True,
pm2.5,cbwd,ContingencySimilarity,0.9262651167810445,0.0737348832189555,True,False,
pm2.5,Iws,CorrelationSimilarity,0.9324663032083483,0.06753369679165167,True,True,
pm2.5,Is,CorrelationSimilarity,0.991878611924884,0.008121388075115976,True,True,
pm2.5,Ir,CorrelationSimilarity,0.9818430490140799,0.018156950985920073,True,True,
DEWP,TEMP,CorrelationSimilarity,0.994327521316527,0.005672478683472981,True,True,
DEWP,PRES,CorrelationSimilarity,0.9865115109790195,0.013488489020980543,True,True,
DEWP,cbwd,ContingencySimilarity,0.9047517857910243,0.09524821420897567,True,False,
DEWP,Iws,CorrelationSimilarity,0.9560405599082542,0.043959440091745794,True,True,
DEWP,Is,CorrelationSimilarity,0.9989002524037873,0.0010997475962126746,True,True,
DEWP,Ir,CorrelationSimilarity,0.9535220111931852,0.04647798880681475,True,True,
TEMP,PRES,CorrelationSimilarity,0.9735267170915773,0.026473282908422657,True,True,
TEMP,cbwd,ContingencySimilarity,0.8913059021640806,0.10869409783591943,True,False,
TEMP,Iws,CorrelationSimilarity,0.9885043463097007,0.011495653690299257,True,True,
TEMP,Is,CorrelationSimilarity,0.9700965790750607,0.02990342092493925,True,True,
TEMP,Ir,CorrelationSimilarity,0.9987947479243235,0.001205252075676455,True,True,
PRES,cbwd,ContingencySimilarity,0.919089343437057,0.08091065656294305,True,False,
PRES,Iws,CorrelationSimilarity,0.9747152453146845,0.025284754685315547,True,True,
PRES,Is,CorrelationSimilarity,0.9705734691644609,0.029426530835539144,True,True,
PRES,Ir,CorrelationSimilarity,0.9749839753432685,0.025016024656731473,True,True,
cbwd,Iws,ContingencySimilarity,0.9291701044185153,0.07082989558148467,False,True,
cbwd,Is,ContingencySimilarity,0.9899128178189613,0.010087182181038656,False,True,
cbwd,Ir,ContingencySimilarity,0.9841648950292488,0.015835104970751246,False,True,
Iws,Is,CorrelationSimilarity,0.984460179796159,0.015539820203841037,True,True,
Iws,Ir,CorrelationSimilarity,0.9867043327553714,0.013295667244628606,True,True,
Is,Ir,CorrelationSimilarity,0.9978539602592573,0.002146039740742678,True,True,
