,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,0.0,0.07020455482950838,0.14749000468301654,0.0943396909112264,0.04822733039124327,0.06421246082956777,0.0623004148795655,0.07731206470653007,0.045729496495012456,0.03577442667319419,0.02698959499392073,0.03010320791537191
month,0.07020455482950838,0.0,0.18695716258504091,0.1231043717450554,0.06727143622244802,0.07380118465271635,0.06772891484135046,0.10333637121474581,0.06653195355174324,0.047773253479261424,0.03448451724561574,0.03627257288943797
day,0.14749000468301654,0.18695716258504091,0.0,0.22382222491074566,0.14748411858340127,0.165251157386188,0.16006754847148885,0.17730662197545732,0.13998248847143047,0.1389376293468798,0.12786142317454496,0.132464690696231
hour,0.0943396909112264,0.1231043717450554,0.22382222491074566,0.0,0.08907441554948514,0.0992292751356233,0.10851689693440847,0.10304430855764868,0.10990700383043661,0.07587765917768363,0.057166589372326104,0.06126721966020465
pm2.5,0.04822733039124327,0.06727143622244802,0.14748411858340127,0.08907441554948514,0.0,0.004320271785713703,0.008622830220441302,0.0008970928329778971,0.049671304017083306,0.0011795605155282551,0.019222167368074805,0.01590684641026685
DEWP,0.06421246082956777,0.07380118465271635,0.165251157386188,0.0992292751356233,0.004320271785713703,0.0,0.0038078613252606752,0.003802672710112809,0.04850930259185737,0.005492071989826153,0.0006713267176194915,0.03491308280975958
TEMP,0.0623004148795655,0.06772891484135046,0.16006754847148885,0.10851689693440847,0.008622830220441302,0.0038078613252606752,0.0,0.005496046456701764,0.05046258309035445,0.010145143194706496,0.018396073903803156,0.007415283915338966
PRES,0.07731206470653007,0.10333637121474581,0.17730662197545732,0.10304430855764868,0.0008970928329778971,0.003802672710112809,0.005496046456701764,0.0,0.054731712535074695,0.009011627585365667,0.018338002028256417,0.017809201512517747
cbwd,0.045729496495012456,0.06653195355174324,0.13998248847143047,0.10990700383043661,0.049671304017083306,0.04850930259185737,0.05046258309035445,0.054731712535074695,0.0,0.04810707304434303,0.03245167247851055,0.03478082885124478
Iws,0.03577442667319419,0.047773253479261424,0.1389376293468798,0.07587765917768363,0.0011795605155282551,0.005492071989826153,0.010145143194706496,0.009011627585365667,0.04810707304434303,0.0,0.02038864551112818,0.01287797438014815
Is,0.02698959499392073,0.03448451724561574,0.12786142317454496,0.057166589372326104,0.019222167368074805,0.0006713267176194915,0.018396073903803156,0.018338002028256417,0.03245167247851055,0.02038864551112818,0.0,0.0022325407798088337
Ir,0.03010320791537191,0.03627257288943797,0.132464690696231,0.06126721966020465,0.01590684641026685,0.03491308280975958,0.007415283915338966,0.017809201512517747,0.03478082885124478,0.01287797438014815,0.0022325407798088337,0.0
