column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
year,month,ContingencySimilarity,0.9297954451704916,0.07020455482950838,False,False,
year,day,ContingencySimilarity,0.8525099953169835,0.14749000468301654,False,False,
year,hour,ContingencySimilarity,0.9056603090887736,0.0943396909112264,False,False,
year,pm2.5,ContingencySimilarity,0.9517726696087567,0.04822733039124327,False,True,
year,DEWP,ContingencySimilarity,0.9357875391704322,0.06421246082956777,False,True,
year,TEMP,ContingencySimilarity,0.9376995851204345,0.0623004148795655,False,True,
year,PRES,ContingencySimilarity,0.9226879352934699,0.07731206470653007,False,True,
year,cbwd,ContingencySimilarity,0.9542705035049875,0.045729496495012456,False,False,
year,Iws,ContingencySimilarity,0.9642255733268058,0.03577442667319419,False,True,
year,Is,ContingencySimilarity,0.9730104050060793,0.02698959499392073,False,True,
year,Ir,ContingencySimilarity,0.9698967920846281,0.03010320791537191,False,True,
month,day,ContingencySimilarity,0.8130428374149591,0.18695716258504091,False,False,
month,hour,ContingencySimilarity,0.8768956282549446,0.1231043717450554,False,False,
month,pm2.5,ContingencySimilarity,0.932728563777552,0.06727143622244802,False,True,
month,DEWP,ContingencySimilarity,0.9261988153472837,0.07380118465271635,False,True,
month,TEMP,ContingencySimilarity,0.9322710851586495,0.06772891484135046,False,True,
month,PRES,ContingencySimilarity,0.8966636287852542,0.10333637121474581,False,True,
month,cbwd,ContingencySimilarity,0.9334680464482568,0.06653195355174324,False,False,
month,Iws,ContingencySimilarity,0.9522267465207386,0.047773253479261424,False,True,
month,Is,ContingencySimilarity,0.9655154827543843,0.03448451724561574,False,True,
month,Ir,ContingencySimilarity,0.963727427110562,0.03627257288943797,False,True,
day,hour,ContingencySimilarity,0.7761777750892543,0.22382222491074566,False,False,
day,pm2.5,ContingencySimilarity,0.8525158814165987,0.14748411858340127,False,True,
day,DEWP,ContingencySimilarity,0.834748842613812,0.165251157386188,False,True,
day,TEMP,ContingencySimilarity,0.8399324515285111,0.16006754847148885,False,True,
day,PRES,ContingencySimilarity,0.8226933780245427,0.17730662197545732,False,True,
day,cbwd,ContingencySimilarity,0.8600175115285695,0.13998248847143047,False,False,
day,Iws,ContingencySimilarity,0.8610623706531202,0.1389376293468798,False,True,
day,Is,ContingencySimilarity,0.872138576825455,0.12786142317454496,False,True,
day,Ir,ContingencySimilarity,0.867535309303769,0.132464690696231,False,True,
hour,pm2.5,ContingencySimilarity,0.9109255844505149,0.08907441554948514,False,True,
hour,DEWP,ContingencySimilarity,0.9007707248643767,0.0992292751356233,False,True,
hour,TEMP,ContingencySimilarity,0.8914831030655915,0.10851689693440847,False,True,
hour,PRES,ContingencySimilarity,0.8969556914423513,0.10304430855764868,False,True,
hour,cbwd,ContingencySimilarity,0.8900929961695634,0.10990700383043661,False,False,
hour,Iws,ContingencySimilarity,0.9241223408223164,0.07587765917768363,False,True,
hour,Is,ContingencySimilarity,0.9428334106276739,0.057166589372326104,False,True,
hour,Ir,ContingencySimilarity,0.9387327803397953,0.06126721966020465,False,True,
pm2.5,DEWP,CorrelationSimilarity,0.9956797282142863,0.004320271785713703,True,True,
pm2.5,TEMP,CorrelationSimilarity,0.9913771697795587,0.008622830220441302,True,True,
pm2.5,PRES,CorrelationSimilarity,0.9991029071670221,0.0008970928329778971,True,True,
pm2.5,cbwd,ContingencySimilarity,0.9503286959829167,0.049671304017083306,True,False,
pm2.5,Iws,CorrelationSimilarity,0.9988204394844717,0.0011795605155282551,True,True,
pm2.5,Is,CorrelationSimilarity,0.9807778326319252,0.019222167368074805,True,True,
pm2.5,Ir,CorrelationSimilarity,0.9840931535897331,0.01590684641026685,True,True,
DEWP,TEMP,CorrelationSimilarity,0.9961921386747393,0.0038078613252606752,True,True,
DEWP,PRES,CorrelationSimilarity,0.9961973272898872,0.003802672710112809,True,True,
DEWP,cbwd,ContingencySimilarity,0.9514906974081426,0.04850930259185737,True,False,
DEWP,Iws,CorrelationSimilarity,0.9945079280101738,0.005492071989826153,True,True,
DEWP,Is,CorrelationSimilarity,0.9993286732823805,0.0006713267176194915,True,True,
DEWP,Ir,CorrelationSimilarity,0.9650869171902404,0.03491308280975958,True,True,
TEMP,PRES,CorrelationSimilarity,0.9945039535432982,0.005496046456701764,True,True,
TEMP,cbwd,ContingencySimilarity,0.9495374169096455,0.05046258309035445,True,False,
TEMP,Iws,CorrelationSimilarity,0.9898548568052935,0.010145143194706496,True,True,
TEMP,Is,CorrelationSimilarity,0.9816039260961968,0.018396073903803156,True,True,
TEMP,Ir,CorrelationSimilarity,0.992584716084661,0.007415283915338966,True,True,
PRES,cbwd,ContingencySimilarity,0.9452682874649253,0.054731712535074695,True,False,
PRES,Iws,CorrelationSimilarity,0.9909883724146343,0.009011627585365667,True,True,
PRES,Is,CorrelationSimilarity,0.9816619979717436,0.018338002028256417,True,True,
PRES,Ir,CorrelationSimilarity,0.9821907984874823,0.017809201512517747,True,True,
cbwd,Iws,ContingencySimilarity,0.951892926955657,0.04810707304434303,False,True,
cbwd,Is,ContingencySimilarity,0.9675483275214894,0.03245167247851055,False,True,
cbwd,Ir,ContingencySimilarity,0.9652191711487552,0.03478082885124478,False,True,
Iws,Is,CorrelationSimilarity,0.9796113544888718,0.02038864551112818,True,True,
Iws,Ir,CorrelationSimilarity,0.9871220256198519,0.01287797438014815,True,True,
Is,Ir,CorrelationSimilarity,0.9977674592201912,0.0022325407798088337,True,True,
