,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,1.0,0.9297954451704916,0.8525099953169835,0.9056603090887736,0.9517726696087567,0.9357875391704322,0.9376995851204345,0.9226879352934699,0.9542705035049875,0.9642255733268058,0.9730104050060793,0.9698967920846281
month,0.9297954451704916,1.0,0.8130428374149591,0.8768956282549446,0.932728563777552,0.9261988153472837,0.9322710851586495,0.8966636287852542,0.9334680464482568,0.9522267465207386,0.9655154827543843,0.963727427110562
day,0.8525099953169835,0.8130428374149591,1.0,0.7761777750892543,0.8525158814165987,0.834748842613812,0.8399324515285111,0.8226933780245427,0.8600175115285695,0.8610623706531202,0.872138576825455,0.867535309303769
hour,0.9056603090887736,0.8768956282549446,0.7761777750892543,1.0,0.9109255844505149,0.9007707248643767,0.8914831030655915,0.8969556914423513,0.8900929961695634,0.9241223408223164,0.9428334106276739,0.9387327803397953
pm2.5,0.9517726696087567,0.932728563777552,0.8525158814165987,0.9109255844505149,1.0,0.9956797282142863,0.9913771697795587,0.9991029071670221,0.9503286959829167,0.9988204394844717,0.9807778326319252,0.9840931535897331
DEWP,0.9357875391704322,0.9261988153472837,0.834748842613812,0.9007707248643767,0.9956797282142863,1.0,0.9961921386747393,0.9961973272898872,0.9514906974081426,0.9945079280101738,0.9993286732823805,0.9650869171902404
TEMP,0.9376995851204345,0.9322710851586495,0.8399324515285111,0.8914831030655915,0.9913771697795587,0.9961921386747393,1.0,0.9945039535432982,0.9495374169096455,0.9898548568052935,0.9816039260961968,0.992584716084661
PRES,0.9226879352934699,0.8966636287852542,0.8226933780245427,0.8969556914423513,0.9991029071670221,0.9961973272898872,0.9945039535432982,1.0,0.9452682874649253,0.9909883724146343,0.9816619979717436,0.9821907984874823
cbwd,0.9542705035049875,0.9334680464482568,0.8600175115285695,0.8900929961695634,0.9503286959829167,0.9514906974081426,0.9495374169096455,0.9452682874649253,1.0,0.951892926955657,0.9675483275214894,0.9652191711487552
Iws,0.9642255733268058,0.9522267465207386,0.8610623706531202,0.9241223408223164,0.9988204394844717,0.9945079280101738,0.9898548568052935,0.9909883724146343,0.951892926955657,1.0,0.9796113544888718,0.9871220256198519
Is,0.9730104050060793,0.9655154827543843,0.872138576825455,0.9428334106276739,0.9807778326319252,0.9993286732823805,0.9816039260961968,0.9816619979717436,0.9675483275214894,0.9796113544888718,1.0,0.9977674592201912
Ir,0.9698967920846281,0.963727427110562,0.867535309303769,0.9387327803397953,0.9840931535897331,0.9650869171902404,0.992584716084661,0.9821907984874823,0.9652191711487552,0.9871220256198519,0.9977674592201912,1.0
