,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,1.0,0.6744128881350995,0.6990538232870069,0.7780523043557658,0.9623090245434601,0.7658924624720169,0.7771978183734688,0.7764576974397421,0.7769767891277701,0.780571321972463,0.7804966582685837,0.9296223493832433,0.916844863942925,0.9059157873689172,0.9059452432672914,0.9105645622972487,0.905140111332146,0.9188534017045595,0.9403768782715983,0.9186722865011547,0.9034948242393761,0.9427082373355599,0.7713355051751625,0.7507801338913966
SEX,0.6744128881350995,1.0,0.6605194537761391,0.7346722604631339,0.5464523689195067,0.7266228837884379,0.7347092961284796,0.7374127022409884,0.7385243645745482,0.7384873289092024,0.7380055690731141,0.7418571795402051,0.7421905005283167,0.7422275361936623,0.7418571795402051,0.7419681878073776,0.7420053222015881,0.7418192553150776,0.7420793935322795,0.7421164291976252,0.7409682248430429,0.7410036808465545,0.733338877781823,0.7041291039845847
EDUCATION,0.6990538232870069,0.6605194537761391,1.0,0.816383415816569,0.6132567985529211,0.772667311209832,0.7608585615098289,0.7712256846695584,0.782627436966217,0.7924585734609579,0.7893109368220297,0.8374986691657575,0.8244580670806112,0.825596990921918,0.8329404191911586,0.8227849460349876,0.851965422041646,0.8556306694356328,0.8544466141620806,0.8538914740973531,0.8558540681740829,0.854037444723714,0.8469937202641773,0.7927777638803188
MARRIAGE,0.7780523043557658,0.7346722604631339,0.816383415816569,1.0,0.6666360524912248,0.9167103675588009,0.9427648285478856,0.942572023416364,0.948173923877898,0.9437220295727258,0.9428812792437211,0.9492707645406545,0.9463478101154164,0.9504849444590282,0.9456054184178031,0.9474717024870826,0.949812366409819,0.9487810076665308,0.9503368017976453,0.9494113050794606,0.9492615827562436,0.9478540300153766,0.9438555603621429,0.886932199346758
AGE,0.9623090245434601,0.5464523689195067,0.6132567985529211,0.6666360524912248,1.0,0.6470526885468013,0.6537526884641158,0.6534196636625982,0.6571584887429534,0.6616879962768358,0.6641816282342141,0.9958091677614032,0.9977631505810073,0.9971511814373833,0.9955024329791232,0.9958752729659135,0.9974461088526084,0.9963865140969135,0.9989483728654891,0.9964511489787434,0.9827974799717527,0.9838882001519691,0.9397312205158802,0.652861759189661
PAY_0,0.7658924624720169,0.7266228837884379,0.772667311209832,0.9167103675588009,0.6470526885468013,1.0,0.9138560420355912,0.8740676925327941,0.9077529691749603,0.9174488101018289,0.9185981992027866,0.9313211905304062,0.9354343090776958,0.935707590575002,0.9367737142197493,0.9351432563847556,0.934955906023005,0.9364801933051932,0.9378512040250376,0.9378875485883309,0.93729478048507,0.9346636685836891,0.9272587075495655,0.8751282009733654
PAY_2,0.7771978183734688,0.7347092961284796,0.7608585615098289,0.9427648285478856,0.6537526884641158,0.9138560420355912,1.0,0.9390108732690254,0.9445803536396352,0.9578637176618078,0.9538885480206276,0.9678403311385866,0.9699414171301812,0.9797433051987744,0.9735927314131466,0.9752022340466218,0.9752982355263701,0.9813693942815082,0.9829627177222915,0.9835553870966878,0.9813695917392374,0.9786275702995486,0.9711483404770043,0.8756823414083383
PAY_3,0.7764576974397421,0.7374127022409884,0.7712256846695584,0.942572023416364,0.6534196636625982,0.8740676925327941,0.9390108732690254,1.0,0.9585182036465728,0.9556866104444451,0.9618309766527091,0.9635878567988664,0.9738028140959791,0.975391867513367,0.971933938394003,0.969555337905031,0.970003221399442,0.9778286193036083,0.9789410714680851,0.979162298171513,0.9776073926001803,0.9751617552121219,0.970405961120499,0.8839737889180083
PAY_4,0.7769767891277701,0.7385243645745482,0.782627436966217,0.948173923877898,0.6571584887429534,0.9077529691749603,0.9445803536396352,0.9585182036465728,1.0,0.9570812173629369,0.9400641745024784,0.9667744049515685,0.9732905964051513,0.9765438235648054,0.973999704134275,0.9691442926182365,0.9752190179536095,0.9774839198138477,0.9794473037214945,0.9791875604197512,0.9780402446249506,0.9738911640887182,0.9678924723202212,0.8862699014405788
PAY_5,0.780571321972463,0.7384873289092024,0.7924585734609579,0.9437220295727258,0.6616879962768358,0.9174488101018289,0.9578637176618078,0.9556866104444451,0.9570812173629369,1.0,0.961227434762095,0.9715525981543552,0.9767122179845462,0.9828669260413806,0.9759507592749506,0.9773845738938101,0.9796002964383526,0.9836589906990129,0.9854196348831342,0.9847698632016554,0.9832147601725933,0.9793093424742769,0.9735490438905462,0.8900591893118698
PAY_6,0.7804966582685837,0.7380055690731141,0.7893109368220297,0.9428812792437211,0.6641816282342141,0.9185981992027866,0.9538885480206276,0.9618309766527091,0.9400641745024784,0.961227434762095,1.0,0.9698859808726894,0.9743295696121242,0.9726813529226046,0.9736656920441109,0.9706523883666248,0.9768836483168747,0.9801115762049664,0.9821490314433046,0.98148278438254,0.9790003087868653,0.9758509937572382,0.9702979147192655,0.8833436889628078
BILL_AMT1,0.9296223493832433,0.7418571795402051,0.8374986691657575,0.9492707645406545,0.9958091677614032,0.9313211905304062,0.9678403311385866,0.9635878567988664,0.9667744049515685,0.9715525981543552,0.9698859808726894,1.0,0.9889597019850314,0.9694958018044666,0.9762372509194908,0.9795812908552068,0.9706771576638171,0.9442637565299048,0.9839455630765142,0.9891163246773165,0.9657244753784088,0.9965936317586761,0.8810481923131507,0.8942523399450532
BILL_AMT2,0.916844863942925,0.7421905005283167,0.8244580670806112,0.9463478101154164,0.9977631505810073,0.9354343090776958,0.9699414171301812,0.9738028140959791,0.9732905964051513,0.9767122179845462,0.9743295696121242,0.9889597019850314,1.0,0.9851393477094131,0.9851925063457156,0.9880083406576015,0.980312562882763,0.9660537440813537,0.9695981970030384,0.9741163491722588,0.9523280462371526,0.9918697703397602,0.8557178934767893,0.8959278181423199
