,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,0.0,0.06185168379795525,0.07930943996903073,0.06830489857700972,0.037931545978054815,0.0776772790611221,0.07357096046438405,0.06774263769292066,0.0657249282275092,0.06580087540662871,0.07013108638613985,0.01578890470208716,0.02544266839831122,0.03305776886490164,0.03351248934983664,0.028196235522075286,0.03475794252217923,0.007559286842905633,0.008595400033644673,0.006533320237981144,0.034955730208150015,0.027911886479104142,0.07726711416754783,0.063912278613942
SEX,0.06185168379795525,0.0,0.024754115454102,0.022181253582855165,0.05702522452147074,0.030815611121614128,0.01949651956687004,0.010162248424506415,0.01223190161382326,0.016310465058491097,0.028409477620517376,0.01784778455081104,0.016491027810798142,0.018406478854665176,0.01304734033015742,0.012758175826753315,0.008639343346423023,0.00978211761345038,0.007485906362015293,0.009226780090993758,0.011708169669157442,0.012264593209125096,0.009154189693271753,0.014134863456314095
EDUCATION,0.07930943996903073,0.024754115454102,0.0,0.08325207844931415,0.09536018640799471,0.047045007441132825,0.040591348382187475,0.044589225662233445,0.03476669091982365,0.03586550615987283,0.05176525914148766,0.040418029860322946,0.044501603794871,0.03721804224092262,0.045191360666526514,0.043208835700248915,0.03375040066950019,0.02571221737983198,0.02378596786639564,0.025305121247622853,0.029415783914404692,0.03271264923222694,0.027083524286270144,0.02602290477572622
MARRIAGE,0.06830489857700972,0.022181253582855165,0.08325207844931415,0.0,0.21532915938135067,0.024415253308462836,0.029122731961955695,0.016247253902909375,0.016002036085375315,0.019817499446902365,0.03463107448314118,0.021548413901660957,0.02045370825060222,0.018072071849042692,0.015521152467960597,0.023960248994690292,0.022966209762233625,0.007817388525023006,0.006914266235785949,0.0073362210621223944,0.012187597035818842,0.013522263192369932,0.01102463271597387,0.015803442974164583
AGE,0.037931545978054815,0.05702522452147074,0.09536018640799471,0.21532915938135067,0.0,0.0546400215396764,0.0473825120648832,0.04861069914092686,0.03865611454206941,0.04517152850584316,0.04880457794885129,0.026304841721554895,0.02405372536301964,0.021175452478126355,0.01923955905122865,0.018679259971381867,0.01728737677172687,0.012373802053120664,0.005916822020491597,0.01729830171385971,0.011876579101317009,0.005128724535318097,0.014616746065449271,0.03744004643415966
PAY_0,0.0776772790611221,0.030815611121614128,0.047045007441132825,0.024415253308462836,0.0546400215396764,0.0,0.24695908617846374,0.15192408796835633,0.1130337762182676,0.09750309641486987,0.1003228421532415,0.041862803383156844,0.040413266192604436,0.04084443982667607,0.03049403886839397,0.03232892715871993,0.03551785714528133,0.021380957406134105,0.02093633196425604,0.0215291987963816,0.022751079566196708,0.02334394639832227,0.02478754751588863,0.06853251797442284
PAY_2,0.07357096046438405,0.01949651956687004,0.040591348382187475,0.029122731961955695,0.0473825120648832,0.24695908617846374,0.0,0.20081027766493542,0.1464713544801759,0.1150648140804047,0.10738568298919315,0.0440876953710021,0.06269273031355382,0.05731119267788232,0.04612959340824885,0.039293890666495246,0.03848306752458264,0.015855386698069962,0.013484709200484946,0.014670640322465234,0.0181516966783698,0.01837499668795517,0.01682329980472297,0.041285128455076814
PAY_3,0.06774263769292066,0.010162248424506415,0.044589225662233445,0.016247253902909375,0.04861069914092686,0.15192408796835633,0.20081027766493542,0.0,0.18111095666899968,0.12843962571344414,0.12103041933814118,0.039408465513902646,0.06533440620345055,0.06627451479360102,0.04548744853156306,0.04501416703672512,0.041519893354067694,0.010042181784003734,0.007301345090690581,0.0084501418184606,0.011894359966748591,0.013892521116962597,0.009857879675948644,0.028886967433210287
PAY_4,0.0657249282275092,0.01223190161382326,0.03476669091982365,0.016002036085375315,0.03865611454206941,0.1130337762182676,0.1464713544801759,0.18111095666899968,0.0,0.18470390985185847,0.13695506433475169,0.036086708181084726,0.05108199369268185,0.07133270305648898,0.047316413090011,0.04501643780061171,0.03507075114067937,0.014894347588617185,0.012005368233921176,0.014375552087183108,0.017227791963127403,0.019080463790195457,0.013302603809667968,0.02985101777303445
PAY_5,0.06580087540662871,0.016310465058491097,0.03586550615987283,0.019817499446902365,0.04517152850584316,0.09750309641486987,0.1150648140804047,0.12843962571344414,0.18470390985185847,0.0,0.20536359119630276,0.03212349707363327,0.03810302310128322,0.05282721149170422,0.04660315874857268,0.05157402133069211,0.03347920481945943,0.015302628467201873,0.012376613447160123,0.014858496669647114,0.01893222239994785,0.018192891297138303,0.01478452406782027,0.02371464860280581
PAY_6,0.07013108638613985,0.028409477620517376,0.05176525914148766,0.03463107448314118,0.04880457794885129,0.1003228421532415,0.10738568298919315,0.12103041933814118,0.13695506433475169,0.20536359119630276,0.0,0.05417758787884008,0.05890708306914616,0.05527511964364906,0.06680339298033577,0.0769428597193279,0.058632147863357464,0.02935690448775874,0.027393718037841297,0.02965318981052467,0.03191246412547866,0.02891297014793326,0.028393681002175986,0.0401354678497412
BILL_AMT1,0.01578890470208716,0.01784778455081104,0.040418029860322946,0.021548413901660957,0.026304841721554895,0.041862803383156844,0.0440876953710021,0.039408465513902646,0.036086708181084726,0.03212349707363327,0.05417758787884008,0.0,8.77667054990372e-05,0.01822578893850957,0.018138253534227156,0.021717827093566844,0.020164579853399367,0.011547482858030755,0.02009345476434221,0.01109764562152682,0.01997727864620824,0.009483502455654103,0.056196249481706984,0.02570133252250606
BILL_AMT2,0.02544266839831122,0.016491027810798142,0.044501603794871,0.02045370825060222,0.02405372536301964,0.040413266192604436,0.06269273031355382,0.06533440620345055,0.05108199369268185,0.03810302310128322,0.05890708306914616,8.77667054990372e-05,0.0,0.010193021157340665,0.01143986501560934,0.013747297642065393,0.013956791219530085,0.05593105517001107,0.022595098781354128,0.0034241277209915433,0.01967492085249234,0.005193071297838192,0.05743569144585392,0.017362100242353407
