,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,0.0,0.038028198962998916,0.079036232518373,0.044737281935859796,0.012251282180520295,0.05470292416755618,0.048535257947238564,0.04911983155473487,0.04649138533269925,0.050766480923528534,0.0530804633705978,0.005528743006200099,0.005805058099827676,0.0083161681972167,0.008068285887443682,0.002967330681607039,0.0032311050813337294,0.002672314795166164,0.015190721279940367,0.00997742214248154,0.0092773399298548,0.002474770488634759,0.0247864535357869,0.05758805309653148
SEX,0.038028198962998916,0.0,0.029929803407012123,0.01670175223125081,0.06966731988563102,0.02737326882175406,0.015577378556369537,0.01926047119263885,0.017654806643776277,0.01043549289848833,0.026189114819337056,0.017856114798764477,0.02164488434351619,0.015569418541658386,0.01631904212860613,0.029384252383262366,0.011952486585801725,0.006732531078211368,0.007805676813455786,0.007731605482764303,0.0073974946637357375,0.00806690104816854,0.00928868308911912,0.01412829798681603
EDUCATION,0.079036232518373,0.029929803407012123,0.0,0.06911097039231184,0.08237221914880632,0.04907556400005475,0.03159276772068653,0.032030408095391705,0.030903331717841098,0.027935332248113842,0.0411196341957345,0.024855954277971604,0.019102196481522893,0.01696349479250281,0.018974984339442336,0.02247283694344271,0.021975058349067544,0.016148833565977627,0.015592410026009973,0.015593002399197808,0.016370356455999602,0.02007678612764674,0.02214949991176729,0.024288769291758938
MARRIAGE,0.044737281935859796,0.01670175223125081,0.06911097039231184,0.0,0.18915254610449783,0.031102332085618523,0.027221004230272627,0.025998629816134433,0.02270186322717682,0.02502125107958475,0.03660463980495321,0.018807787007185106,0.01417404647446574,0.01899273085286035,0.01651548788701107,0.029541379371326948,0.015528359675078818,0.009187017040762413,0.008001875749699239,0.008001382105376043,0.008965790337334467,0.012189867799705434,0.013337381052235253,0.01654851269223112
AGE,0.012251282180520295,0.06966731988563102,0.08237221914880632,0.18915254610449783,0.0,0.07242127517683239,0.0654671595030587,0.06840117156113579,0.06467252789494593,0.062540552109829,0.06703560326995428,0.011858496425194653,0.013974845544704406,0.015808079225337,0.008231749799118226,0.01050591579870408,0.012539505198137624,0.00653177056502563,0.009102120881890885,0.004497824689841501,0.008248224001303095,0.0072325532252409674,0.016413896289853347,0.05398562194266787
PAY_0,0.05470292416755618,0.02737326882175406,0.04907556400005475,0.031102332085618523,0.07242127517683239,0.0,0.058135640403114364,0.03955859509368631,0.03321622814739933,0.028197543771472988,0.04060607132412597,0.04097492236239764,0.03391276028739032,0.02966069320423681,0.031682030955423546,0.027590151455138212,0.02841392041942592,0.02267291098762292,0.022562001449315083,0.02289463133537417,0.023042872725621777,0.025007737566237975,0.02626606162821099,0.0640589897067877
PAY_2,0.048535257947238564,0.015577378556369537,0.03159276772068653,0.027221004230272627,0.0654671595030587,0.058135640403114364,0.0,0.028841873024288867,0.05108489385308046,0.04325575659316605,0.045660791735643635,0.0265386396823567,0.022036480043977846,0.017664296955889225,0.0191365294441993,0.025899246872772452,0.019740157722569984,0.014040244180670847,0.013632555675273883,0.013039787572012962,0.014299592566955566,0.016264457407571764,0.01670779937420952,0.028305602513814643
PAY_3,0.04911983155473487,0.01926047119263885,0.032030408095391705,0.025998629816134433,0.06840117156113579,0.03955859509368631,0.028841873024288867,0.0,0.027843884637246852,0.037938516130587296,0.037852992251598216,0.03345017853325705,0.025688880344454157,0.01798341332860154,0.021322534600487053,0.026599765190673086,0.020500555096870876,0.0160770206580646,0.016039491348395774,0.01585391810620862,0.016595803818390653,0.01989238529072712,0.020410489690108613,0.028517931278317477
PAY_4,0.04649138533269925,0.017654806643776277,0.030903331717841098,0.02270186322717682,0.06467252789494593,0.03321622814739933,0.05108489385308046,0.027843884637246852,0.0,0.020046587436176933,0.03402143608513597,0.025390040412315962,0.030934616426821937,0.023774688093611163,0.029140108242131202,0.035676859981773945,0.020261223987890542,0.012969381550421044,0.012968492990639291,0.013265271957728308,0.013264975771134502,0.016747414331143906,0.016266148139378656,0.01845676887008796
PAY_5,0.050766480923528534,0.01043549289848833,0.027935332248113842,0.02502125107958475,0.062540552109829,0.028197543771472988,0.04325575659316605,0.037938516130587296,0.020046587436176933,0.0,0.030167147597591648,0.024868455820455937,0.020702085391804403,0.018769739370976923,0.01754822883440421,0.01621625303941443,0.015159792482293044,0.008766752946232859,0.009618474520319942,0.009321794282095563,0.009320412077990725,0.01661703052428698,0.01572896438690652,0.014579168029382084
PAY_6,0.0530804633705978,0.026189114819337056,0.0411196341957345,0.03660463980495321,0.06703560326995428,0.04060607132412597,0.045660791735643635,0.037852992251598216,0.03402143608513597,0.030167147597591648,0.0,0.03117537910433943,0.026995803690043174,0.026181611425624918,0.02783329596651485,0.02827120784559778,0.029375169327716,0.02279575437744341,0.02283209894073679,0.02305391801735257,0.024313328096836617,0.026498827267693037,0.02810045627421376,0.03139821015181765
BILL_AMT1,0.005528743006200099,0.017856114798764477,0.024855954277971604,0.018807787007185106,0.011858496425194653,0.04097492236239764,0.0265386396823567,0.03345017853325705,0.025390040412315962,0.024868455820455937,0.03117537910433943,0.0,0.004920899590338812,0.004541095450344201,0.006958250961797807,0.009172871857526799,0.006408211859833646,0.017307273338218243,0.01606033901266135,0.020507506626862404,0.008010567090265708,0.012704846700952954,0.028863446575265184,0.015663679925167484
BILL_AMT2,0.005805058099827676,0.02164488434351619,0.019102196481522893,0.01417404647446574,0.013974845544704406,0.03391276028739032,0.022036480043977846,0.025688880344454157,0.030934616426821937,0.020702085391804403,0.026995803690043174,0.004920899590338812,0.0,0.0014712030070224147,0.003190427475282087,0.007243981591855131,0.008442967185643635,0.0010449015738686063,0.017529837417622485,0.0016330742427761447,0.026029418666214554,0.0014319668732503121,0.01469215804815438,0.012612723526931768
BILL_AMT3,0.0083161681972167,0.015569418541658386,0.01696349479250281,0.01899273085286035,0.015808079225337,0.02966069320423681,0.017664296955889225,0.01798341332860154,0.023774688093611163,0.018769739370976923,0.026181611425624918,0.004541095450344201,0.0014712030070224147,0.0,0.001888214815397471,0.004380134242363942,0.0009992254163559977,0.014211252087284576,0.0693541050700408,0.0010070113348250587,0.027710408200968706,0.022557758525017624,0.024824632942503033,0.014672775334163002
BILL_AMT4,0.008068285887443682,0.01631904212860613,0.018974984339442336,0.01651548788701107,0.008231749799118226,0.031682030955423546,0.0191365294441993,0.021322534600487053,0.029140108242131202,0.01754822883440421,0.02783329596651485,0.006958250961797807,0.003190427475282087,0.001888214815397471,0.0,0.004199267220132752,0.0011279062259299533,0.014221300351399346,0.009630835174305963,0.020716082758078902,0.039816807359728146,0.012440645403680062,0.020665414948270677,0.01206165602787046
BILL_AMT5,0.002967330681607039,0.029384252383262366,0.02247283694344271,0.029541379371326948,0.01050591579870408,0.027590151455138212,0.025899246872772452,0.026599765190673086,0.035676859981773945,0.01621625303941443,0.02827120784559778,0.009172871857526799,0.007243981591855131,0.004380134242363942,0.004199267220132752,0.0,0.0031047712435503527,0.015174169616844702,0.007034202040082205,0.002534681421836771,0.016584189539491256,0.007405933545146071,0.015431379315952176,0.01662786601718047
BILL_AMT6,0.0032311050813337294,0.011952486585801725,0.021975058349067544,0.015528359675078818,0.012539505198137624,0.02841392041942592,0.019740157722569984,0.020500555096870876,0.020261223987890542,0.015159792482293044,0.029375169327716,0.006408211859833646,0.008442967185643635,0.0009992254163559977,0.0011279062259299533,0.0031047712435503527,0.0,0.02396594291617249,0.0012585921761059105,0.0029442471491307742,0.011171516911166801,0.017096882965704885,0.007645829248190683,0.01155174612425336
PAY_AMT1,0.002672314795166164,0.006732531078211368,0.016148833565977627,0.009187017040762413,0.00653177056502563,0.02267291098762292,0.014040244180670847,0.0160770206580646,0.012969381550421044,0.008766752946232859,0.02279575437744341,0.017307273338218243,0.0010449015738686063,0.014211252087284576,0.014221300351399346,0.015174169616844702,0.02396594291617249,0.0,0.09878399348551181,0.060684668714290124,0.01614172186584717,0.0038584793630669356,0.03157355090370639,0.012174243956877162
