,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,1.0,0.9619718010370011,0.920963767481627,0.9552627180641402,0.9877487178194797,0.9452970758324438,0.9514647420527614,0.9508801684452651,0.9535086146673007,0.9492335190764715,0.9469195366294022,0.9944712569937999,0.9941949419001723,0.9916838318027833,0.9919317141125563,0.997032669318393,0.9967688949186663,0.9973276852048338,0.9848092787200596,0.9900225778575185,0.9907226600701452,0.9975252295113652,0.9752135464642131,0.9424119469034685
SEX,0.9619718010370011,1.0,0.9700701965929879,0.9832982477687492,0.930332680114369,0.9726267311782459,0.9844226214436305,0.9807395288073611,0.9823451933562237,0.9895645071015117,0.9738108851806629,0.9821438852012355,0.9783551156564838,0.9844305814583416,0.9836809578713939,0.9706157476167376,0.9880475134141983,0.9932674689217886,0.9921943231865442,0.9922683945172357,0.9926025053362643,0.9919330989518315,0.9907113169108809,0.985871702013184
EDUCATION,0.920963767481627,0.9700701965929879,1.0,0.9308890296076882,0.9176277808511937,0.9509244359999453,0.9684072322793135,0.9679695919046083,0.9690966682821589,0.9720646677518862,0.9588803658042655,0.9751440457220284,0.9808978035184771,0.9830365052074972,0.9810250156605577,0.9775271630565573,0.9780249416509325,0.9838511664340224,0.98440758997399,0.9844069976008022,0.9836296435440004,0.9799232138723533,0.9778505000882327,0.9757112307082411
MARRIAGE,0.9552627180641402,0.9832982477687492,0.9308890296076882,1.0,0.8108474538955022,0.9688976679143815,0.9727789957697274,0.9740013701838656,0.9772981367728232,0.9749787489204153,0.9633953601950468,0.9811922129928149,0.9858259535255343,0.9810072691471396,0.9834845121129889,0.970458620628673,0.9844716403249212,0.9908129829592376,0.9919981242503008,0.991998617894624,0.9910342096626655,0.9878101322002946,0.9866626189477647,0.9834514873077689
AGE,0.9877487178194797,0.930332680114369,0.9176277808511937,0.8108474538955022,1.0,0.9275787248231676,0.9345328404969413,0.9315988284388642,0.9353274721050541,0.937459447890171,0.9329643967300457,0.9881415035748053,0.9860251544552956,0.984191920774663,0.9917682502008818,0.9894940842012959,0.9874604948018624,0.9934682294349744,0.9908978791181091,0.9955021753101585,0.9917517759986969,0.992767446774759,0.9835861037101467,0.9460143780573321
PAY_0,0.9452970758324438,0.9726267311782459,0.9509244359999453,0.9688976679143815,0.9275787248231676,1.0,0.9418643595968856,0.9604414049063137,0.9667837718526007,0.971802456228527,0.959393928675874,0.9590250776376024,0.9660872397126097,0.9703393067957632,0.9683179690445765,0.9724098485448618,0.9715860795805741,0.9773270890123771,0.9774379985506849,0.9771053686646258,0.9769571272743782,0.974992262433762,0.973733938371789,0.9359410102932123
PAY_2,0.9514647420527614,0.9844226214436305,0.9684072322793135,0.9727789957697274,0.9345328404969413,0.9418643595968856,1.0,0.9711581269757111,0.9489151061469195,0.956744243406834,0.9543392082643564,0.9734613603176433,0.9779635199560222,0.9823357030441108,0.9808634705558007,0.9741007531272275,0.98025984227743,0.9859597558193292,0.9863674443247261,0.986960212427987,0.9857004074330444,0.9837355425924282,0.9832922006257905,0.9716943974861854
PAY_3,0.9508801684452651,0.9807395288073611,0.9679695919046083,0.9740013701838656,0.9315988284388642,0.9604414049063137,0.9711581269757111,1.0,0.9721561153627531,0.9620614838694127,0.9621470077484018,0.966549821466743,0.9743111196555458,0.9820165866713985,0.978677465399513,0.9734002348093269,0.9794994449031291,0.9839229793419354,0.9839605086516042,0.9841460818937914,0.9834041961816093,0.9801076147092729,0.9795895103098914,0.9714820687216825
PAY_4,0.9535086146673007,0.9823451933562237,0.9690966682821589,0.9772981367728232,0.9353274721050541,0.9667837718526007,0.9489151061469195,0.9721561153627531,1.0,0.9799534125638231,0.965978563914864,0.974609959587684,0.9690653835731781,0.9762253119063888,0.9708598917578688,0.964323140018226,0.9797387760121095,0.987030618449579,0.9870315070093607,0.9867347280422717,0.9867350242288655,0.9832525856688561,0.9837338518606213,0.981543231129912
PAY_5,0.9492335190764715,0.9895645071015117,0.9720646677518862,0.9749787489204153,0.937459447890171,0.971802456228527,0.956744243406834,0.9620614838694127,0.9799534125638231,1.0,0.9698328524024084,0.9751315441795441,0.9792979146081956,0.9812302606290231,0.9824517711655958,0.9837837469605856,0.984840207517707,0.9912332470537671,0.9903815254796801,0.9906782057179044,0.9906795879220093,0.983382969475713,0.9842710356130935,0.9854208319706179
