column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
Length,Width,CorrelationSimilarity,0.9545324146313552,0.045467585368644814,True,True,
Length,Size,CorrelationSimilarity,0.9692937940909534,0.030706205909046602,True,True,
Length,Conc,CorrelationSimilarity,0.9897508271922726,0.010249172807727414,True,True,
Length,Conc1,CorrelationSimilarity,0.9808626861960501,0.019137313803949896,True,True,
Length,Asym,CorrelationSimilarity,0.8389678835535255,0.16103211644647453,True,True,
Length,M3Long,CorrelationSimilarity,0.9830325533125047,0.01696744668749528,True,True,
Length,M3Trans,CorrelationSimilarity,0.7428766782511542,0.2571233217488458,True,True,
Length,Alpha,CorrelationSimilarity,0.9969159702051008,0.00308402979489919,True,True,
Length,Dist,CorrelationSimilarity,0.86781489242858,0.13218510757142,True,True,
Length,class,ContingencySimilarity,0.9315528141133071,0.06844718588669285,True,False,
Width,Size,CorrelationSimilarity,0.9672585893512581,0.03274141064874192,True,True,
Width,Conc,CorrelationSimilarity,0.981860018224292,0.01813998177570797,True,True,
Width,Conc1,CorrelationSimilarity,0.9746359039606927,0.025364096039307338,True,True,
Width,Asym,CorrelationSimilarity,0.8400781208666317,0.1599218791333683,True,True,
Width,M3Long,CorrelationSimilarity,0.9595119463512932,0.04048805364870678,True,True,
Width,M3Trans,CorrelationSimilarity,0.7034723162188969,0.29652768378110306,True,True,
Width,Alpha,CorrelationSimilarity,0.9905776034018501,0.009422396598149918,True,True,
Width,Dist,CorrelationSimilarity,0.88388322388981,0.11611677611019,True,True,
Width,class,ContingencySimilarity,0.9413075215850512,0.058692478414948845,True,False,
Size,Conc,CorrelationSimilarity,0.9747884225698529,0.025211577430147125,True,True,
Size,Conc1,CorrelationSimilarity,0.9588383352349132,0.04116166476508676,True,True,
Size,Asym,CorrelationSimilarity,0.9066439336364082,0.09335606636359184,True,True,
Size,M3Long,CorrelationSimilarity,0.9688042931427006,0.031195706857299443,True,True,
Size,M3Trans,CorrelationSimilarity,0.8317092089009059,0.16829079109909406,True,True,
Size,Alpha,CorrelationSimilarity,0.9488383312871391,0.051161668712860875,True,True,
Size,Dist,CorrelationSimilarity,0.8739738904107393,0.12602610958926075,True,True,
Size,class,ContingencySimilarity,0.905840987385817,0.09415901261418302,True,False,
Conc,Conc1,CorrelationSimilarity,0.9951822485737444,0.004817751426255623,True,True,
Conc,Asym,CorrelationSimilarity,0.9389694725946902,0.06103052740530979,True,True,
Conc,M3Long,CorrelationSimilarity,0.9598984015250926,0.04010159847490735,True,True,
Conc,M3Trans,CorrelationSimilarity,0.8771244913470838,0.12287550865291619,True,True,
Conc,Alpha,CorrelationSimilarity,0.9302765299031698,0.06972347009683022,True,True,
Conc,Dist,CorrelationSimilarity,0.8847755419567989,0.11522445804320114,True,True,
Conc,class,ContingencySimilarity,0.9382686784083549,0.06173132159164507,True,False,
Conc1,Asym,CorrelationSimilarity,0.9385293789437138,0.0614706210562862,True,True,
Conc1,M3Long,CorrelationSimilarity,0.9567496116402738,0.043250388359726166,True,True,
Conc1,M3Trans,CorrelationSimilarity,0.8802703081997089,0.11972969180029114,True,True,
Conc1,Alpha,CorrelationSimilarity,0.9227421647627044,0.07725783523729557,True,True,
Conc1,Dist,CorrelationSimilarity,0.8786887462846245,0.12131125371537554,True,True,
Conc1,class,ContingencySimilarity,0.9358874756205221,0.0641125243794779,True,False,
Asym,M3Long,CorrelationSimilarity,0.8693327040359276,0.13066729596407245,True,True,
Asym,M3Trans,CorrelationSimilarity,0.8383165900277244,0.1616834099722756,True,True,
Asym,Alpha,CorrelationSimilarity,0.9403234979947424,0.05967650200525765,True,True,
Asym,Dist,CorrelationSimilarity,0.8681735544088227,0.1318264455911773,True,True,
Asym,class,ContingencySimilarity,0.8538536290127253,0.14614637098727468,True,False,
M3Long,M3Trans,CorrelationSimilarity,0.8554773953131966,0.14452260468680345,True,True,
M3Long,Alpha,CorrelationSimilarity,0.8525879027784999,0.14741209722150006,True,True,
M3Long,Dist,CorrelationSimilarity,0.9844682407974028,0.015531759202597195,True,True,
M3Long,class,ContingencySimilarity,0.8585925507207031,0.14140744927929694,True,False,
M3Trans,Alpha,CorrelationSimilarity,0.9176572817505376,0.08234271824946238,True,True,
M3Trans,Dist,CorrelationSimilarity,0.9018391637569666,0.0981608362430334,True,True,
M3Trans,class,ContingencySimilarity,0.7645753008529034,0.23542469914709663,True,False,
Alpha,Dist,CorrelationSimilarity,0.9437984873577753,0.05620151264222473,True,True,
Alpha,class,ContingencySimilarity,0.6221438014530773,0.37785619854692265,True,False,
Dist,class,ContingencySimilarity,0.6264164532704495,0.3735835467295505,True,False,
