,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,1.0,0.9916983216443073,0.9984678865302046,0.9976562522292788,0.9901857530059492,0.9782897092906194,0.9681315312166269,0.9806902833205875,0.9755349880327139,0.9862736642571748,0.9674432858455762
Width,0.9916983216443073,1.0,0.9864845799985975,0.9914689429561918,0.9991928056332449,0.9542820882854095,0.9780996205251895,0.9653523751806429,0.9959314851121588,0.9964761481344075,0.951029474433497
Size,0.9984678865302046,0.9864845799985975,1.0,0.9986853649800161,0.9797888773275163,0.9726824254567606,0.9921567070784049,0.9985627057273826,0.9693954077077367,0.9949931811706312,0.9406406104405776
Conc,0.9976562522292788,0.9914689429561918,0.9986853649800161,1.0,0.9960699201180336,0.9817434579046932,0.9886573668241493,0.9935346717496653,0.9877926264123518,0.9871212635025151,0.9445055638961658
Conc1,0.9901857530059492,0.9991928056332449,0.9797888773275163,0.9960699201180336,1.0,0.9788214069242787,0.9935178394444382,0.9927104245795579,0.9902851200313264,0.9832843963039494,0.9443037868212464
Asym,0.9782897092906194,0.9542820882854095,0.9726824254567606,0.9817434579046932,0.9788214069242787,1.0,0.971325302912981,0.9753950124396895,0.9834956039219127,0.9912668404199325,0.9632746077012229
M3Long,0.9681315312166269,0.9780996205251895,0.9921567070784049,0.9886573668241493,0.9935178394444382,0.971325302912981,1.0,0.9958746970418796,0.9863896769335015,0.9995174798075473,0.9679337149569275
M3Trans,0.9806902833205875,0.9653523751806429,0.9985627057273826,0.9935346717496653,0.9927104245795579,0.9753950124396895,0.9958746970418796,1.0,0.9972560608702445,0.9861905350156266,0.9573763503761133
Alpha,0.9755349880327139,0.9959314851121588,0.9693954077077367,0.9877926264123518,0.9902851200313264,0.9834956039219127,0.9863896769335015,0.9972560608702445,1.0,0.9510091742496578,0.8972023929355123
Dist,0.9862736642571748,0.9964761481344075,0.9949931811706312,0.9871212635025151,0.9832843963039494,0.9912668404199325,0.9995174798075473,0.9861905350156266,0.9510091742496578,1.0,0.9600610629676475
class,0.9674432858455762,0.951029474433497,0.9406406104405776,0.9445055638961658,0.9443037868212464,0.9632746077012229,0.9679337149569275,0.9573763503761133,0.8972023929355123,0.9600610629676475,1.0
