,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,0.0,0.021973107793263225,0.006176764095148224,0.011962140797122212,0.008440679357768266,0.04373743823838128,0.1033853335752678,0.00020348895730515348,0.023463250882244546,0.010524243118329113,0.04821661666905186
Width,0.021973107793263225,0.0,0.03750876614532417,0.04342727603125707,0.04782640067280641,0.013420581350941263,0.13458680510495236,0.014591501312141819,0.07454671437841864,0.042320828816054146,0.05789838601056485
Size,0.006176764095148224,0.03750876614532417,0.0,0.020205235560124546,0.0018656627670623482,0.004492465686290803,0.0697376011739792,0.005354602194117097,0.005911660820494324,0.01085546451567132,0.08392854961115936
Conc,0.011962140797122212,0.04342727603125707,0.020205235560124546,0.0,0.007312843520795864,0.0039458240109808695,0.04785706878500662,0.003559484038753835,0.023455189285298217,0.027723739912777212,0.11043032453108848
Conc1,0.008440679357768266,0.04782640067280641,0.0018656627670623482,0.007312843520795864,0.0,0.00030374219553941373,0.04445937451807502,0.003336655402793043,0.02037218434757848,0.028345699343577335,0.07384129215423318
Asym,0.04373743823838128,0.013420581350941263,0.004492465686290803,0.0039458240109808695,0.00030374219553941373,0.0,0.12120668918347277,0.025566919494474538,0.036749018802395894,0.024883106678702527,0.05301364943785758
M3Long,0.1033853335752678,0.13458680510495236,0.0697376011739792,0.04785706878500662,0.04445937451807502,0.12120668918347277,0.0,0.014441519186921381,0.0019272977888414866,0.05199944219659669,0.05425577720028951
M3Trans,0.00020348895730515348,0.014591501312141819,0.005354602194117097,0.003559484038753835,0.003336655402793043,0.025566919494474538,0.014441519186921381,0.0,0.004689096120176983,0.021240763457905598,0.09669637544767462
Alpha,0.023463250882244546,0.07454671437841864,0.005911660820494324,0.023455189285298217,0.02037218434757848,0.036749018802395894,0.0019272977888414866,0.004689096120176983,0.0,0.022727492502464863,0.28061960204882475
Dist,0.010524243118329113,0.042320828816054146,0.01085546451567132,0.027723739912777212,0.028345699343577335,0.024883106678702527,0.05199944219659669,0.021240763457905598,0.022727492502464863,0.0,0.07335571330575064
class,0.04821661666905186,0.05789838601056485,0.08392854961115936,0.11043032453108848,0.07384129215423318,0.05301364943785758,0.05425577720028951,0.09669637544767462,0.28061960204882475,0.07335571330575064,0.0
