column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
Length,Width,CorrelationSimilarity,0.9780268922067368,0.021973107793263225,True,True,
Length,Size,CorrelationSimilarity,0.9938232359048518,0.006176764095148224,True,True,
Length,Conc,CorrelationSimilarity,0.9880378592028778,0.011962140797122212,True,True,
Length,Conc1,CorrelationSimilarity,0.9915593206422317,0.008440679357768266,True,True,
Length,Asym,CorrelationSimilarity,0.9562625617616187,0.04373743823838128,True,True,
Length,M3Long,CorrelationSimilarity,0.8966146664247322,0.1033853335752678,True,True,
Length,M3Trans,CorrelationSimilarity,0.9997965110426948,0.00020348895730515348,True,True,
Length,Alpha,CorrelationSimilarity,0.9765367491177555,0.023463250882244546,True,True,
Length,Dist,CorrelationSimilarity,0.9894757568816709,0.010524243118329113,True,True,
Length,class,ContingencySimilarity,0.9517833833309481,0.04821661666905186,True,False,
Width,Size,CorrelationSimilarity,0.9624912338546758,0.03750876614532417,True,True,
Width,Conc,CorrelationSimilarity,0.9565727239687429,0.04342727603125707,True,True,
Width,Conc1,CorrelationSimilarity,0.9521735993271936,0.04782640067280641,True,True,
Width,Asym,CorrelationSimilarity,0.9865794186490587,0.013420581350941263,True,True,
Width,M3Long,CorrelationSimilarity,0.8654131948950476,0.13458680510495236,True,True,
Width,M3Trans,CorrelationSimilarity,0.9854084986878582,0.014591501312141819,True,True,
Width,Alpha,CorrelationSimilarity,0.9254532856215814,0.07454671437841864,True,True,
Width,Dist,CorrelationSimilarity,0.9576791711839459,0.042320828816054146,True,True,
Width,class,ContingencySimilarity,0.9421016139894351,0.05789838601056485,True,False,
Size,Conc,CorrelationSimilarity,0.9797947644398755,0.020205235560124546,True,True,
Size,Conc1,CorrelationSimilarity,0.9981343372329377,0.0018656627670623482,True,True,
Size,Asym,CorrelationSimilarity,0.9955075343137092,0.004492465686290803,True,True,
Size,M3Long,CorrelationSimilarity,0.9302623988260208,0.0697376011739792,True,True,
Size,M3Trans,CorrelationSimilarity,0.9946453978058829,0.005354602194117097,True,True,
Size,Alpha,CorrelationSimilarity,0.9940883391795057,0.005911660820494324,True,True,
Size,Dist,CorrelationSimilarity,0.9891445354843287,0.01085546451567132,True,True,
Size,class,ContingencySimilarity,0.9160714503888406,0.08392854961115936,True,False,
Conc,Conc1,CorrelationSimilarity,0.9926871564792041,0.007312843520795864,True,True,
Conc,Asym,CorrelationSimilarity,0.9960541759890191,0.0039458240109808695,True,True,
Conc,M3Long,CorrelationSimilarity,0.9521429312149934,0.04785706878500662,True,True,
Conc,M3Trans,CorrelationSimilarity,0.9964405159612462,0.003559484038753835,True,True,
Conc,Alpha,CorrelationSimilarity,0.9765448107147018,0.023455189285298217,True,True,
Conc,Dist,CorrelationSimilarity,0.9722762600872228,0.027723739912777212,True,True,
Conc,class,ContingencySimilarity,0.8895696754689115,0.11043032453108848,True,False,
Conc1,Asym,CorrelationSimilarity,0.9996962578044606,0.00030374219553941373,True,True,
Conc1,M3Long,CorrelationSimilarity,0.955540625481925,0.04445937451807502,True,True,
Conc1,M3Trans,CorrelationSimilarity,0.996663344597207,0.003336655402793043,True,True,
Conc1,Alpha,CorrelationSimilarity,0.9796278156524215,0.02037218434757848,True,True,
Conc1,Dist,CorrelationSimilarity,0.9716543006564227,0.028345699343577335,True,True,
Conc1,class,ContingencySimilarity,0.9261587078457668,0.07384129215423318,True,False,
Asym,M3Long,CorrelationSimilarity,0.8787933108165272,0.12120668918347277,True,True,
Asym,M3Trans,CorrelationSimilarity,0.9744330805055255,0.025566919494474538,True,True,
Asym,Alpha,CorrelationSimilarity,0.9632509811976041,0.036749018802395894,True,True,
Asym,Dist,CorrelationSimilarity,0.9751168933212975,0.024883106678702527,True,True,
Asym,class,ContingencySimilarity,0.9469863505621424,0.05301364943785758,True,False,
M3Long,M3Trans,CorrelationSimilarity,0.9855584808130786,0.014441519186921381,True,True,
M3Long,Alpha,CorrelationSimilarity,0.9980727022111585,0.0019272977888414866,True,True,
M3Long,Dist,CorrelationSimilarity,0.9480005578034033,0.05199944219659669,True,True,
M3Long,class,ContingencySimilarity,0.9457442227997105,0.05425577720028951,True,False,
M3Trans,Alpha,CorrelationSimilarity,0.995310903879823,0.004689096120176983,True,True,
M3Trans,Dist,CorrelationSimilarity,0.9787592365420944,0.021240763457905598,True,True,
M3Trans,class,ContingencySimilarity,0.9033036245523254,0.09669637544767462,True,False,
Alpha,Dist,CorrelationSimilarity,0.9772725074975351,0.022727492502464863,True,True,
Alpha,class,ContingencySimilarity,0.7193803979511753,0.28061960204882475,True,False,
Dist,class,ContingencySimilarity,0.9266442866942494,0.07335571330575064,True,False,
