,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,1.0,0.9780268922067368,0.9938232359048518,0.9880378592028778,0.9915593206422317,0.9562625617616187,0.8966146664247322,0.9997965110426948,0.9765367491177555,0.9894757568816709,0.9517833833309481
Width,0.9780268922067368,1.0,0.9624912338546758,0.9565727239687429,0.9521735993271936,0.9865794186490587,0.8654131948950476,0.9854084986878582,0.9254532856215814,0.9576791711839459,0.9421016139894351
Size,0.9938232359048518,0.9624912338546758,1.0,0.9797947644398755,0.9981343372329377,0.9955075343137092,0.9302623988260208,0.9946453978058829,0.9940883391795057,0.9891445354843287,0.9160714503888406
Conc,0.9880378592028778,0.9565727239687429,0.9797947644398755,1.0,0.9926871564792041,0.9960541759890191,0.9521429312149934,0.9964405159612462,0.9765448107147018,0.9722762600872228,0.8895696754689115
Conc1,0.9915593206422317,0.9521735993271936,0.9981343372329377,0.9926871564792041,1.0,0.9996962578044606,0.955540625481925,0.996663344597207,0.9796278156524215,0.9716543006564227,0.9261587078457668
Asym,0.9562625617616187,0.9865794186490587,0.9955075343137092,0.9960541759890191,0.9996962578044606,1.0,0.8787933108165272,0.9744330805055255,0.9632509811976041,0.9751168933212975,0.9469863505621424
M3Long,0.8966146664247322,0.8654131948950476,0.9302623988260208,0.9521429312149934,0.955540625481925,0.8787933108165272,1.0,0.9855584808130786,0.9980727022111585,0.9480005578034033,0.9457442227997105
M3Trans,0.9997965110426948,0.9854084986878582,0.9946453978058829,0.9964405159612462,0.996663344597207,0.9744330805055255,0.9855584808130786,1.0,0.995310903879823,0.9787592365420944,0.9033036245523254
Alpha,0.9765367491177555,0.9254532856215814,0.9940883391795057,0.9765448107147018,0.9796278156524215,0.9632509811976041,0.9980727022111585,0.995310903879823,1.0,0.9772725074975351,0.7193803979511753
Dist,0.9894757568816709,0.9576791711839459,0.9891445354843287,0.9722762600872228,0.9716543006564227,0.9751168933212975,0.9480005578034033,0.9787592365420944,0.9772725074975351,1.0,0.9266442866942494
class,0.9517833833309481,0.9421016139894351,0.9160714503888406,0.8895696754689115,0.9261587078457668,0.9469863505621424,0.9457442227997105,0.9033036245523254,0.7193803979511753,0.9266442866942494,1.0
