,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,0.0,0.10843469321774857,0.040657920179578144,0.019058146479737914,0.035332649486337075,0.02364057046132495,0.008629274489054706,0.0018048680403500716,0.029199038564276858,0.053831298539188,0.17036214564628716,0.16422615314920874,0.17674392249629278,0.20777496376031657,0.22442462656988726,0.15421325202636993,0.15024798954825047,0.1503369275583113
Administrative_Duration,0.10843469321774857,0.0,0.08433837318337312,0.04600092182448556,0.01429401307054301,0.07782182096496937,0.006529623798244177,0.0021388029369080463,0.027257161400903174,0.047869089598372994,0.08254002283472461,0.06139234572322083,0.06584464968500758,0.11678582996980191,0.15750658710828214,0.03498213791788085,0.05845008941994012,0.02615814375712122
Informational,0.040657920179578144,0.08433837318337312,0.0,0.06654216480349995,0.05249137277227944,0.05104117932916641,0.0048140096077131656,0.008405920669952938,0.0319980870773221,0.031090495375936777,0.10902544094413902,0.0915208633383503,0.09980363538862402,0.15380959905459912,0.17946697362206687,0.07659431970892594,0.08178120198041139,0.062087931506341176
Informational_Duration,0.019058146479737914,0.04600092182448556,0.06654216480349995,0.0,0.005785760636990767,0.05344463242107389,0.004482843144014814,0.004128206718458705,0.014647173853314488,0.05187768773037471,0.08361779379408385,0.07202313965487384,0.07457561673179536,0.12686839189855048,0.16128813198926428,0.047401038573977594,0.056822333984571816,0.035968634236372976
ProductRelated,0.035332649486337075,0.01429401307054301,0.05249137277227944,0.005785760636990767,0.0,0.06606888664541133,0.019775046081119574,0.021251271434555075,0.01169373464046819,0.01102949702995315,0.07936585592392864,0.06327698450784569,0.05897962837639503,0.11823395691194383,0.1486697414780883,0.027029999126684245,0.04086533616961374,0.01972320855627474
ProductRelated_Duration,0.02364057046132495,0.07782182096496937,0.05104117932916641,0.05344463242107389,0.06606888664541133,0.0,0.02696738909537766,0.033866016415230904,0.015454188911655065,0.02928626874602691,0.07144759827942193,0.05833165144595098,0.05537829614634093,0.10956388830554253,0.14471207305008893,0.026141787341477873,0.03834586400282969,0.016510341197751077
BounceRates,0.008629274489054706,0.006529623798244177,0.0048140096077131656,0.004482843144014814,0.019775046081119574,0.02696738909537766,0.0,0.060586965890505606,0.024248537694098182,0.04663968671771268,0.10625726363592025,0.08796042214740463,0.09838953563259745,0.1444887787686715,0.1669708181099403,0.0824265502011986,0.0819232983413134,0.06523668755711964
ExitRates,0.0018048680403500716,0.0021388029369080463,0.008405920669952938,0.004128206718458705,0.021251271434555075,0.033866016415230904,0.060586965890505606,0.0,0.0302256469900547,0.047896329845907415,0.1174250445347228,0.11741847276058037,0.1166432954906238,0.1380360267579277,0.18678778397731366,0.09276628755805438,0.0893580194483623,0.07638329273924105
PageValues,0.029199038564276858,0.027257161400903174,0.0319980870773221,0.014647173853314488,0.01169373464046819,0.015454188911655065,0.024248537694098182,0.0302256469900547,0.0,0.022942537209338698,0.08515427458858504,0.06914674713244284,0.07377108553733602,0.12309327275228532,0.1612922210931752,0.04091922471758169,0.0635797242366738,0.03190640157979607
SpecialDay,0.053831298539188,0.047869089598372994,0.031090495375936777,0.05187768773037471,0.01102949702995315,0.02928626874602691,0.04663968671771268,0.047896329845907415,0.022942537209338698,0.0,0.15686488987312974,0.10783887061286612,0.1166162781969271,0.16921894902435441,0.2016319613708195,0.1030896684992667,0.1192642650580521,0.0913020962791199
