,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,1.0,0.8915653067822514,0.9593420798204219,0.9809418535202621,0.9646673505136629,0.976359429538675,0.9913707255109453,0.9981951319596499,0.9708009614357231,0.946168701460812,0.8296378543537128,0.8357738468507913,0.8232560775037072,0.7922250362396834,0.7755753734301127,0.8457867479736301,0.8497520104517495,0.8496630724416887
Administrative_Duration,0.8915653067822514,1.0,0.9156616268166269,0.9539990781755144,0.985705986929457,0.9221781790350306,0.9934703762017558,0.997861197063092,0.9727428385990968,0.952130910401627,0.9174599771652754,0.9386076542767792,0.9341553503149924,0.8832141700301981,0.8424934128917179,0.9650178620821191,0.9415499105800599,0.9738418562428788
Informational,0.9593420798204219,0.9156616268166269,1.0,0.9334578351965,0.9475086272277206,0.9489588206708336,0.9951859903922868,0.9915940793300471,0.9680019129226779,0.9689095046240632,0.890974559055861,0.9084791366616497,0.900196364611376,0.8461904009454009,0.8205330263779331,0.9234056802910741,0.9182187980195886,0.9379120684936588
Informational_Duration,0.9809418535202621,0.9539990781755144,0.9334578351965,1.0,0.9942142393630092,0.9465553675789261,0.9955171568559852,0.9958717932815413,0.9853528261466855,0.9481223122696253,0.9163822062059161,0.9279768603451262,0.9254243832682046,0.8731316081014495,0.8387118680107357,0.9525989614260224,0.9431776660154282,0.964031365763627
ProductRelated,0.9646673505136629,0.985705986929457,0.9475086272277206,0.9942142393630092,1.0,0.9339311133545887,0.9802249539188804,0.9787487285654449,0.9883062653595318,0.9889705029700468,0.9206341440760714,0.9367230154921543,0.941020371623605,0.8817660430880562,0.8513302585219117,0.9729700008733158,0.9591346638303863,0.9802767914437253
ProductRelated_Duration,0.976359429538675,0.9221781790350306,0.9489588206708336,0.9465553675789261,0.9339311133545887,1.0,0.9730326109046223,0.9661339835847691,0.9845458110883449,0.9707137312539731,0.9285524017205781,0.941668348554049,0.9446217038536591,0.8904361116944575,0.8552879269499111,0.9738582126585221,0.9616541359971703,0.9834896588022489
BounceRates,0.9913707255109453,0.9934703762017558,0.9951859903922868,0.9955171568559852,0.9802249539188804,0.9730326109046223,1.0,0.9394130341094944,0.9757514623059018,0.9533603132822873,0.8937427363640797,0.9120395778525954,0.9016104643674026,0.8555112212313285,0.8330291818900597,0.9175734497988014,0.9180767016586866,0.9347633124428804
ExitRates,0.9981951319596499,0.997861197063092,0.9915940793300471,0.9958717932815413,0.9787487285654449,0.9661339835847691,0.9394130341094944,1.0,0.9697743530099453,0.9521036701540926,0.8825749554652772,0.8825815272394196,0.8833567045093762,0.8619639732420723,0.8132122160226863,0.9072337124419456,0.9106419805516377,0.923616707260759
PageValues,0.9708009614357231,0.9727428385990968,0.9680019129226779,0.9853528261466855,0.9883062653595318,0.9845458110883449,0.9757514623059018,0.9697743530099453,1.0,0.9770574627906613,0.914845725411415,0.9308532528675572,0.926228914462664,0.8769067272477147,0.8387077789068248,0.9590807752824183,0.9364202757633262,0.9680935984202039
SpecialDay,0.946168701460812,0.952130910401627,0.9689095046240632,0.9481223122696253,0.9889705029700468,0.9707137312539731,0.9533603132822873,0.9521036701540926,0.9770574627906613,1.0,0.8431351101268703,0.8921611293871339,0.8833837218030729,0.8307810509756456,0.7983680386291805,0.8969103315007333,0.8807357349419479,0.9086979037208801
