dataset,model,alpha_precision,beta_recall,c2st_logistic_detection
adult,tabsyn,0.9219376369182892,0.30675019961918815,0.8292860189992672
adult,tabdiff,0.9769127965959898,0.22259074995393413,0.9891437221597428
adult,tabcsdi,0.9831074512494996,0.3657678684765474,0.8653604949204526
adult,catboost,0.6118952562291424,0.12418975083430583,0.30051067721446856
default,tabsyn,0.9867417624521073,0.42542222222222226,0.9775153333333333
default,tabdiff,0.8928191570881225,0.31986666666666663,0.9289653333333333
default,tabcsdi,0.9650850574712644,0.33228888888888874,0.8269933333333334
default,catboost,0.8642888888888889,0.3433111111111111,0.6471266666666666
shoppers,tabsyn,0.8814274128142741,0.44595836712625037,0.8367303848149924
shoppers,tabdiff,0.9367937280346039,0.4246012435793458,0.8669259594721793
shoppers,tabcsdi,0.9157610164909434,0.41297648012976473,0.8378630641937158
shoppers,catboost,0.4077318194106515,0.1942146526088132,0.18529766379944856
magic,tabsyn,0.9617619686476425,0.41514195583596214,1.0
magic,tabdiff,0.9248159831756047,0.2907115317209955,0.9323955855864821
magic,tabcsdi,0.9695239131223032,0.4546091833158079,0.9533580789937207
magic,catboost,0.7465124430424115,0.19509288468279007,0.9178301439295179
beijing,tabsyn,0.9738026819923371,0.3219508301404853,0.8878711685823756
beijing,tabdiff,0.9223659003831417,0.3018518518518519,0.9063803975646276
beijing,tabcsdi,0.00759897828863354,0.01369731800766294,0.0027214900691415744
beijing,catboost,0.8274106002554278,0.2582056194125161,0.7324331428634341
