dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,1.0109544614323673,1.011200±0.006759,0.759091549223629,0.759162±0.005349,,,,,,,,
adult,workclass,cat,,,,,0.5967655348275399,0.596970±0.003940,0.16548956314862856,0.165601±0.003536,0.16647502272459264,0.166282±0.003285,0.16470994999559374,0.164528±0.003682
adult,fnlwgt,num,1.390871778253067,1.391157±0.012168,1.049456669144596,1.048953±0.007459,,,,,,,,
adult,education,cat,,,,,0.5478778944782261,0.547638±0.003746,0.4529613642775215,0.452748±0.007988,0.45692004207375264,0.456528±0.009235,0.45113189990652214,0.451318±0.008954
adult,education.num,num,0.19905682745145806,0.199145±0.005200,0.044869748062286996,0.044976±0.001563,,,,,,,,
adult,marital.status,cat,,,,,0.5943123886739143,0.594455±0.003743,0.27145541337155793,0.271319±0.003624,0.2717741038817941,0.272231±0.003545,0.27118763357876274,0.271055±0.003643
adult,occupation,cat,,,,,0.1797828127094785,0.179943±0.003184,0.1309122500138625,0.130740±0.003248,0.13142904858996823,0.131572±0.003524,0.13056731765689883,0.130621±0.003435
adult,relationship,cat,,,,,0.5224494809901111,0.522648±0.003807,0.382073069208866,0.381695±0.004146,0.3812429696562001,0.381046±0.004434,0.38299797717929224,0.382854±0.004401
adult,race,cat,,,,,0.779251888704625,0.779291±0.003052,0.28371125760604476,0.283718±0.005945,0.28507936361848374,0.285230±0.007034,0.28274001965058526,0.282187±0.006167
adult,sex,cat,,,,,0.713408267305448,0.712912±0.003524,0.6765345213351999,0.676403±0.004330,0.6770248591222134,0.676899±0.004030,0.6760661678901673,0.676049±0.003958
adult,capital.gain,num,1.1729983544125862,1.173608±0.050477,0.21478091012702033,0.215308±0.008934,,,,,,,,
adult,capital.loss,num,1.3860486730328598,1.388188±0.019352,0.40005477733610817,0.401281±0.010247,,,,,,,,
adult,hours.per.week,num,1.2765979825745033,1.276145±0.011040,0.8692564676719382,0.869479±0.007336,,,,,,,,
adult,native.country,cat,,,,,0.862417386883579,0.862458±0.002839,0.04242396408885022,0.042463±0.002989,0.04201741479137007,0.041954±0.003050,0.04341669371630704,0.043009±0.003190
adult,income,cat,,,,,0.7500153553221547,0.749825±0.003141,0.6529899964431611,0.653267±0.004569,0.6532677597531983,0.653230±0.004329,0.6527159638858413,0.652910±0.004422
