dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,1.0427298049838185,1.043312±0.007133,0.7761065517753125,0.775989±0.005886,,,,,,,,
adult,workclass,cat,,,,,0.6178256611165523,0.617931±0.004233,0.1892170180288066,0.189517±0.004121,0.19240183603460848,0.192619±0.003806,0.187005052106022,0.187263±0.003553
adult,fnlwgt,num,1.2735476699176642,1.272972±0.011036,0.9628868283376676,0.962977±0.006229,,,,,,,,
adult,education,cat,,,,,0.372458694183404,0.372283±0.003431,0.30028140488721294,0.299708±0.006045,0.3423345345524682,0.342514±0.006689,0.27583748418305143,0.276212±0.007084
adult,education.num,num,0.11737720013447121,0.117302±0.006050,0.011160161927808512,0.011133±0.000990,,,,,,,,
adult,marital.status,cat,,,,,0.7769178797371169,0.776984±0.003177,0.3831975702596434,0.383014±0.004625,0.38760762215798017,0.387345±0.005127,0.3800181881073244,0.379743±0.004306
adult,occupation,cat,,,,,0.21449559255631734,0.214416±0.003180,0.15182472968956695,0.152072±0.002956,0.1522055209586115,0.152342±0.003134,0.15207681583820992,0.152210±0.002750
adult,relationship,cat,,,,,0.6769854431545974,0.676948±0.003718,0.497094541195686,0.497081±0.004508,0.5469389868636797,0.546320±0.004211,0.4785546083881215,0.477974±0.004341
adult,race,cat,,,,,0.7852711749892513,0.785138±0.003184,0.26927147407811247,0.268901±0.006371,0.2807582458503467,0.280905±0.007674,0.26183431594464324,0.261503±0.005547
adult,sex,cat,,,,,0.7693630612370248,0.769360±0.003436,0.7396276551603251,0.739541±0.003728,0.7403498109898681,0.740725±0.003613,0.7389346831077425,0.739221±0.003922
adult,capital.gain,num,1.1876205444326282,1.187935±0.052321,0.20877621915079275,0.209250±0.008338,,,,,,,,
adult,capital.loss,num,1.3090303826531167,1.310138±0.018546,0.3601637427683646,0.361508±0.009984,,,,,,,,
adult,hours.per.week,num,1.1423657167511845,1.142203±0.010966,0.7483520719690618,0.748297±0.006942,,,,,,,,
adult,native.country,cat,,,,,0.880593214944943,0.880606±0.002677,0.046620938267680705,0.046437±0.004277,0.05485253670457595,0.055516±0.007339,0.04418373103710645,0.044043±0.003961
adult,income,cat,,,,,0.7966341133836988,0.796709±0.003062,0.7118877755173418,0.712037±0.004302,0.7170476035834316,0.716645±0.004237,0.707389815496118,0.707479±0.004213
