dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.3381226053639847,0.338048±0.007454,0.33795598236289537,0.337906±0.006879,0.3376345519379168,0.337650±0.007199,0.3384966541889537,0.338762±0.006815,,,,
beijing,month,cat,0.31202107279693486,0.312386±0.007308,0.3093381716229138,0.308483±0.007386,0.310243255877,0.309969±0.006863,0.3114188184307708,0.311494±0.007320,,,,
beijing,day,cat,0.08477011494252873,0.084942±0.004177,0.08368447575658552,0.083275±0.004159,0.0844719978250902,0.084530±0.004532,0.08481088110776576,0.084787±0.004409,,,,
beijing,hour,cat,0.0610632183908046,0.061335±0.003844,0.060470581634932165,0.060410±0.003482,0.060626000445903126,0.060465±0.003752,0.06080941685009611,0.060779±0.003400,,,,
beijing,pm2.5,num,,,,,,,,,0.8067222172641342,0.807117±0.023587,0.4650900494156958,0.464465±0.010394
beijing,DEWP,num,,,,,,,,,0.15875422616847046,0.158598±0.002958,0.11216883916361427,0.112049±0.001747
beijing,TEMP,num,,,,,,,,,0.16208057588082062,0.162041±0.002092,0.12014897973717438,0.120228±0.001605
beijing,PRES,num,,,,,,,,,0.2981274474654349,0.298559±0.007477,0.18188393415943144,0.182063±0.003731
beijing,cbwd,cat,0.45545977011494254,0.455667±0.008357,0.4070275562734622,0.406576±0.007063,0.4097150235464742,0.409676±0.007626,0.40535209560495017,0.404836±0.007296,,,,
beijing,Iws,num,,,,,,,,,0.8494184468984307,0.846508±0.038326,0.3302704108833834,0.331192±0.012078
beijing,Is,num,,,,,,,,,0.7333643077838068,0.722547±0.129620,0.054563876888043567,0.053539±0.011014
beijing,Ir,num,,,,,,,,,0.8468761320740458,0.850760±0.068481,0.13743644950378076,0.137876±0.013107
