dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,0.36083150634071454,0.361491±0.013191,0.21417969995834782,0.213254±0.006527,,,,,,,,
magic,Width,num,0.4570368172904184,0.457088±0.039964,0.23904386712285106,0.237970±0.008922,,,,,,,,
magic,Size,num,0.3940308767912778,0.394238±0.006869,0.3035994826278303,0.303382±0.005799,,,,,,,,
magic,Conc,num,0.16835752411302482,0.168135±0.004554,0.12041606473627356,0.120292±0.002662,,,,,,,,
magic,Conc1,num,0.2573217155014141,0.257378±0.009298,0.16871120983107077,0.168798±0.004477,,,,,,,,
magic,Asym,num,1.2582303052303951,1.256231±0.070397,0.7003824707460075,0.698451±0.024706,,,,,,,,
magic,M3Long,num,1.0110707609997376,1.010664±0.040350,0.5567422217511006,0.554135±0.019699,,,,,,,,
magic,M3Trans,num,1.3891676564849615,1.377152±0.074339,0.8299942988705399,0.829245±0.026197,,,,,,,,
magic,Alpha,num,1.057314131425327,1.057669±0.022150,0.7487336792426941,0.749313±0.016371,,,,,,,,
magic,Dist,num,0.9768081628174826,0.975965±0.019174,0.7473609351336564,0.748765±0.013319,,,,,,,,
magic,class,cat,,,,,0.5862250262881178,0.585755±0.011460,0.5512487397482284,0.550182±0.010996,0.5509998629100035,0.550313±0.011516,0.5516207033022191,0.553430±0.011084
