dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.9638232177539376,0.963306±0.017608,0.6590079585994291,0.659467±0.013175,,,,,,,,
default,SEX,cat,,,,,0.5456666666666666,0.546071±0.009139,0.5243565174149609,0.523937±0.009663,0.5243102987468076,0.524321±0.008620,0.5244471601734146,0.523890±0.008712
default,EDUCATION,cat,,,,,0.4146666666666667,0.414627±0.009040,0.18628780377162177,0.186144±0.004921,0.18532239419037935,0.184888±0.004301,0.18739101873325992,0.187121±0.004710
default,MARRIAGE,cat,,,,,0.5643333333333334,0.564096±0.009573,0.28306296385634433,0.284259±0.010391,0.2823972164460906,0.282340±0.007118,0.283897521060861,0.284979±0.011025
default,AGE,num,1.1677061210322057,1.166569±0.019206,0.8764506215082605,0.876736±0.013831,,,,,,,,
default,PAY_0,cat,,,,,0.7423333333333333,0.741840±0.008260,0.5458810379762162,0.524813±0.041147,0.5399571703005435,0.528966±0.041291,0.586048793301149,0.539840±0.052089
default,PAY_2,cat,,,,,0.9203333333333333,0.920802±0.004775,0.6278937303525053,0.677308±0.069241,0.693759744499461,0.717669±0.086489,0.6000015777232447,0.650887±0.064569
default,PAY_3,cat,,,,,0.899,0.899321±0.005423,0.8085664696801153,0.794038±0.046665,0.8617586871436625,0.855982±0.049993,0.778508357709119,0.768358±0.053135
default,PAY_4,cat,,,,,0.9186666666666666,0.918868±0.005045,0.7053402849868073,0.713766±0.049781,0.8126028121293551,0.786295±0.071818,0.6763340981147966,0.685507±0.043457
default,PAY_5,cat,,,,,0.8996666666666666,0.900181±0.005162,0.7663904711469746,0.788754±0.064141,0.7754734743418332,0.808546±0.074141,0.7627431409051287,0.790423±0.056059
default,PAY_6,cat,,,,,0.9053333333333333,0.905772±0.005189,0.5376925969251789,0.550699±0.050245,0.5444708592219949,0.557612±0.057030,0.5613152896585253,0.564786±0.055808
default,BILL_AMT1,num,0.3440841009253497,0.344372±0.022304,0.1310540762447328,0.130705±0.005403,,,,,,,,
default,BILL_AMT2,num,0.2053282119280641,0.203119±0.014196,0.07296135523468082,0.072814±0.003465,,,,,,,,
default,BILL_AMT3,num,0.2545418288502736,0.251440±0.029128,0.08246722135530596,0.082425±0.004429,,,,,,,,
default,BILL_AMT4,num,0.2058066585298383,0.205430±0.014416,0.07735386955852552,0.077690±0.003490,,,,,,,,
default,BILL_AMT5,num,0.1733853643421551,0.172737±0.010489,0.06639426273813928,0.066361±0.003099,,,,,,,,
default,BILL_AMT6,num,0.29020431196374097,0.282446±0.063441,0.07806981716379043,0.077802±0.004662,,,,,,,,
default,PAY_AMT1,num,0.7544466805915702,0.748850±0.105554,0.20925904187668729,0.210545±0.013274,,,,,,,,
default,PAY_AMT2,num,1.0420299304679248,0.958663±0.376702,0.13034786254754735,0.131116±0.019287,,,,,,,,
default,PAY_AMT3,num,0.6220685485607521,0.609261±0.097510,0.1313217856517995,0.130857±0.010579,,,,,,,,
default,PAY_AMT4,num,0.4374983100133546,0.430759±0.041787,0.12105694434277475,0.120496±0.007713,,,,,,,,
default,PAY_AMT5,num,0.5399894710819603,0.532128±0.081441,0.1306245135767054,0.130348±0.009520,,,,,,,,
default,PAY_AMT6,num,1.3956312879312571,1.379646±0.145494,0.3462771209143569,0.345022±0.026395,,,,,,,,
default,default payment next month,cat,,,,,0.728,0.727150±0.007851,0.6041599426678714,0.604404±0.009296,0.6048568498836244,0.603905±0.010068,0.6035000073902184,0.602827±0.010034
