dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.9598483550477199,0.959991±0.018288,0.6367527589409993,0.636472±0.012652,,,,,,,,
default,SEX,cat,,,,,0.519,0.518517±0.009720,0.4970297568070905,0.496394±0.008982,0.4970833333333333,0.497285±0.009421,0.4970602933827204,0.497114±0.009928
default,EDUCATION,cat,,,,,0.426,0.425161±0.008810,0.19257646659742803,0.192576±0.004214,0.19168420453113266,0.191534±0.004466,0.19356444389782992,0.192740±0.004515
default,MARRIAGE,cat,,,,,0.5523333333333333,0.552306±0.009110,0.27662556130629623,0.277945±0.010653,0.2762569529495815,0.276590±0.006907,0.2769953202157702,0.277632±0.010364
default,AGE,num,1.1626463686400557,1.161194±0.018347,0.8627249082417514,0.862226±0.014451,,,,,,,,
default,PAY_0,cat,,,,,0.7676666666666667,0.767791±0.007215,0.608344009430069,0.585987±0.040598,0.6154054274514619,0.595634±0.040458,0.6106405953931504,0.586784±0.043786
default,PAY_2,cat,,,,,0.9206666666666666,0.920927±0.005227,0.7947099405383546,0.817601±0.052740,0.807717352078145,0.830756±0.052067,0.7842249342607248,0.799585±0.051002
default,PAY_3,cat,,,,,0.9116666666666666,0.911918±0.004788,0.7063264720307979,0.687734±0.056949,0.720867148989076,0.711633±0.062869,0.7250396279311777,0.709569±0.060168
default,PAY_4,cat,,,,,0.8953333333333333,0.895801±0.005749,0.7541680041155647,0.744334±0.049494,0.8267678663535454,0.819617±0.057893,0.7033892238176894,0.705765±0.051350
default,PAY_5,cat,,,,,0.9203333333333333,0.920488±0.005155,0.6523996318789107,0.709240±0.076306,0.6753815786847546,0.745190±0.090176,0.6544730472053234,0.720431±0.066643
default,PAY_6,cat,,,,,0.8753333333333333,0.875664±0.006337,0.48255659485145525,0.507033±0.039345,0.4827107984228262,0.508376±0.047609,0.5379428914516695,0.553666±0.060307
default,BILL_AMT1,num,0.32885329246517125,0.327549±0.023577,0.12430122745010697,0.124281±0.005389,,,,,,,,
default,BILL_AMT2,num,0.1880757510277572,0.185345±0.016002,0.06455825516188714,0.064705±0.003277,,,,,,,,
default,BILL_AMT3,num,0.2089076123876462,0.208376±0.016715,0.07031975622329266,0.070289±0.003504,,,,,,,,
default,BILL_AMT4,num,0.22493082735044656,0.223107±0.016708,0.07684561003487465,0.076706±0.003752,,,,,,,,
default,BILL_AMT5,num,0.18063335329345756,0.181496±0.014888,0.06233342069847293,0.062345±0.003288,,,,,,,,
default,BILL_AMT6,num,0.29114702069356985,0.282159±0.068497,0.07516790691022053,0.075214±0.005252,,,,,,,,
default,PAY_AMT1,num,0.7015592690462105,0.694840±0.090938,0.14671106695329927,0.148163±0.013135,,,,,,,,
default,PAY_AMT2,num,0.8314812421307638,0.758820±0.324637,0.10237185679392301,0.102239±0.015358,,,,,,,,
default,PAY_AMT3,num,0.747905064177706,0.730805±0.147846,0.15977082081007707,0.159319±0.013336,,,,,,,,
default,PAY_AMT4,num,0.45063910890186964,0.443868±0.053933,0.1205803017887348,0.119892±0.007876,,,,,,,,
default,PAY_AMT5,num,0.5507133350360399,0.546964±0.063470,0.1453100131178411,0.145197±0.009484,,,,,,,,
default,PAY_AMT6,num,1.2203885281696878,1.214151±0.112843,0.31729190009673836,0.315731±0.022560,,,,,,,,
default,default payment next month,cat,,,,,0.7196666666666667,0.719626±0.008428,0.5909208755363388,0.590766±0.009827,0.5918003273322423,0.593050±0.010202,0.5901124662700796,0.589614±0.010170
