column,metric,model,mean,std
DEWP,MeanAbsoluteError,catboost,0.20377713,0.00168339
DEWP,MeanAbsoluteError,regression,0.35276587,0.00326735
DEWP,MeanSquaredError,catboost,0.26746017,0.00276844
DEWP,MeanSquaredError,regression,0.44399837,0.0036959
Ir,MeanAbsoluteError,catboost,0.22286889,0.00896173
Ir,MeanAbsoluteError,regression,0.3244452,0.00900436
Ir,MeanSquaredError,catboost,0.86995882,0.05259991
Ir,MeanSquaredError,regression,1.00258088,0.06697824
Is,MeanAbsoluteError,catboost,0.08156339,0.00665355
Is,MeanAbsoluteError,regression,0.18480533,0.00962907
Is,MeanSquaredError,catboost,0.65998885,0.08840505
Is,MeanSquaredError,regression,0.94573986,0.11116267
Iws,MeanAbsoluteError,catboost,0.34786407,0.00608511
Iws,MeanAbsoluteError,regression,0.5100585,0.00774198
Iws,MeanSquaredError,catboost,0.69980134,0.02041334
Iws,MeanSquaredError,regression,0.88010383,0.02202162
PRES,MeanAbsoluteError,catboost,0.33122656,0.00256143
PRES,MeanAbsoluteError,regression,0.40904755,0.00305217
PRES,MeanSquaredError,catboost,0.41965742,0.00350827
PRES,MeanSquaredError,regression,0.51617003,0.00460963
TEMP,MeanAbsoluteError,catboost,0.19547391,0.00165297
TEMP,MeanAbsoluteError,regression,0.32767882,0.0026794
TEMP,MeanSquaredError,catboost,0.25042132,0.0022223
TEMP,MeanSquaredError,regression,0.4123915,0.00299807
cbwd,MulticlassAUROC,catboost,0.87577609,0.00252862
cbwd,MulticlassAUROC,regression,0.77612622,0.00336054
cbwd,MulticlassAccuracy,catboost,0.6041128,0.00358441
cbwd,MulticlassAccuracy,regression,0.47612961,0.00419351
cbwd,MulticlassF1Score,catboost,0.5757975,0.00413875
cbwd,MulticlassF1Score,regression,0.44826248,0.00372504
cbwd,MulticlassPrecision,catboost,0.62255094,0.01347438
cbwd,MulticlassPrecision,regression,0.4658257,0.03867536
cbwd,MulticlassRecall,catboost,0.60399838,0.00394147
cbwd,MulticlassRecall,regression,0.47555776,0.00393399
day,MeanAbsoluteError,catboost,0.75404642,0.00496111
day,MeanAbsoluteError,regression,0.86271362,0.00509428
day,MeanSquaredError,catboost,0.88665664,0.00574004
day,MeanSquaredError,regression,1.00320852,0.00475216
hour,MeanAbsoluteError,catboost,0.70819703,0.00558028
hour,MeanAbsoluteError,regression,0.77156845,0.00500161
hour,MeanSquaredError,catboost,0.89142203,0.00608671
hour,MeanSquaredError,regression,0.9372915,0.0055073
month,MeanAbsoluteError,catboost,0.621986,0.00504759
month,MeanAbsoluteError,regression,0.75409419,0.00539771
month,MeanSquaredError,catboost,0.80730437,0.00649281
month,MeanSquaredError,regression,0.940865,0.00555964
pm2.5,MeanAbsoluteError,catboost,0.48763992,0.00519684
pm2.5,MeanAbsoluteError,regression,0.61100433,0.00653405
pm2.5,MeanSquaredError,catboost,0.69140397,0.01357581
pm2.5,MeanSquaredError,regression,0.84004682,0.01399696
year,MeanAbsoluteError,catboost,0.79220985,0.00517837
year,MeanAbsoluteError,regression,0.858812,0.00523069
year,MeanSquaredError,catboost,0.92434104,0.00419599
year,MeanSquaredError,regression,0.99543767,0.00423002
