column,metric,model,mean,std
AGE,MeanAbsoluteError,catboost,0.66166175,0.00614146
AGE,MeanAbsoluteError,regression,0.69945472,0.00823639
AGE,MeanSquaredError,catboost,0.85420298,0.01018854
AGE,MeanSquaredError,regression,0.89883828,0.00954277
BILL_AMT1,MeanAbsoluteError,catboost,0.11446869,0.00328879
BILL_AMT1,MeanAbsoluteError,regression,0.1080432,0.00257205
BILL_AMT1,MeanSquaredError,catboost,0.2884182,0.02078854
BILL_AMT1,MeanSquaredError,regression,0.26113511,0.01719799
BILL_AMT2,MeanAbsoluteError,catboost,0.0701715,0.0030099
BILL_AMT2,MeanAbsoluteError,regression,0.06969603,0.00256101
BILL_AMT2,MeanSquaredError,catboost,0.22767062,0.02502604
BILL_AMT2,MeanSquaredError,regression,0.20832531,0.01213044
BILL_AMT3,MeanAbsoluteError,catboost,0.07988358,0.00271051
BILL_AMT3,MeanAbsoluteError,regression,0.07683325,0.00241998
BILL_AMT3,MeanSquaredError,catboost,0.22401637,0.03337901
BILL_AMT3,MeanSquaredError,regression,0.20149462,0.01316238
BILL_AMT4,MeanAbsoluteError,catboost,0.08281522,0.00224664
BILL_AMT4,MeanAbsoluteError,regression,0.08247531,0.00270586
BILL_AMT4,MeanSquaredError,catboost,0.22389728,0.02642525
BILL_AMT4,MeanSquaredError,regression,0.21694389,0.01385826
BILL_AMT5,MeanAbsoluteError,catboost,0.07794656,0.0028509
BILL_AMT5,MeanAbsoluteError,regression,0.07471437,0.00231178
BILL_AMT5,MeanSquaredError,catboost,0.2258758,0.02589798
BILL_AMT5,MeanSquaredError,regression,0.20844098,0.01344958
BILL_AMT6,MeanAbsoluteError,catboost,0.09041924,0.00317555
BILL_AMT6,MeanAbsoluteError,regression,0.10570081,0.0027846
BILL_AMT6,MeanSquaredError,catboost,0.25623789,0.03404369
BILL_AMT6,MeanSquaredError,regression,0.25617199,0.01427394
EDUCATION,MulticlassAUROC,catboost,0.70526575,0.02601822
EDUCATION,MulticlassAUROC,regression,0.66300829,0.03352552
EDUCATION,MulticlassAccuracy,catboost,0.20259838,0.00883993
EDUCATION,MulticlassAccuracy,regression,0.19284394,0.00690725
EDUCATION,MulticlassF1Score,catboost,0.19795429,0.00655546
