column,metric,model,mean,std
class,MulticlassAUROC,catboost,0.93165051,0.00481417
class,MulticlassAUROC,regression,0.84731102,0.00567203
class,MulticlassAccuracy,catboost,0.84884946,0.00621056
class,MulticlassAccuracy,regression,0.74871885,0.00823079
class,MulticlassF1Score,catboost,0.86473584,0.00565868
class,MulticlassF1Score,regression,0.75876903,0.00843514
class,MulticlassPrecision,catboost,0.89115292,0.00565972
class,MulticlassPrecision,regression,0.78208802,0.007365
class,MulticlassRecall,catboost,0.84835869,0.00551186
class,MulticlassRecall,regression,0.74936454,0.00686458
fAlpha,MeanAbsoluteError,catboost,0.56946481,0.00796915
fAlpha,MeanAbsoluteError,regression,0.60985936,0.00787539
fAlpha,MeanSquaredError,catboost,0.75393904,0.00912261
fAlpha,MeanSquaredError,regression,0.8008627,0.01018375
fAsym,MeanAbsoluteError,catboost,0.51433433,0.0102205
fAsym,MeanAbsoluteError,regression,0.55376775,0.01053557
fAsym,MeanSquaredError,catboost,0.84072587,0.02542486
fAsym,MeanSquaredError,regression,0.87687455,0.02559371
fConc,MeanAbsoluteError,catboost,0.10430926,0.00152429
fConc,MeanAbsoluteError,regression,0.13630349,0.00178299
fConc,MeanSquaredError,catboost,0.14131084,0.00219146
fConc,MeanSquaredError,regression,0.18274788,0.00309174
fConc1,MeanAbsoluteError,catboost,0.13982362,0.00220125
fConc1,MeanAbsoluteError,regression,0.14440001,0.00240826
fConc1,MeanSquaredError,catboost,0.19399433,0.00391123
fConc1,MeanSquaredError,regression,0.2047815,0.00424265
fDist,MeanAbsoluteError,catboost,0.58131272,0.0079258
fDist,MeanAbsoluteError,regression,0.67406592,0.00818393
fDist,MeanSquaredError,catboost,0.73026493,0.01105246
fDist,MeanSquaredError,regression,0.84556943,0.01133346
fLength,MeanAbsoluteError,catboost,0.17130227,0.00314717
fLength,MeanAbsoluteError,regression,0.35318721,0.00624889
fLength,MeanSquaredError,catboost,0.2699693,0.00764755
fLength,MeanSquaredError,regression,0.51908061,0.01590458
fM3Long,MeanAbsoluteError,catboost,0.45412644,0.0080871
fM3Long,MeanAbsoluteError,regression,0.56441885,0.01026896
fM3Long,MeanSquaredError,catboost,0.70790359,0.02110273
fM3Long,MeanSquaredError,regression,0.87222544,0.01961147
fM3Trans,MeanAbsoluteError,catboost,0.69192692,0.00985514
fM3Trans,MeanAbsoluteError,regression,0.69173748,0.01194507
fM3Trans,MeanSquaredError,catboost,0.95743782,0.02266884
fM3Trans,MeanSquaredError,regression,0.96195717,0.0230756
fSize,MeanAbsoluteError,catboost,0.2517019,0.00336093
fSize,MeanAbsoluteError,regression,0.32900756,0.00348761
fSize,MeanSquaredError,catboost,0.31704176,0.00366474
fSize,MeanSquaredError,regression,0.42710804,0.00559692
fWidth,MeanAbsoluteError,catboost,0.18671931,0.00396522
fWidth,MeanAbsoluteError,regression,0.33266219,0.00589674
fWidth,MeanSquaredError,catboost,0.31275355,0.0105915
fWidth,MeanSquaredError,regression,0.5220343,0.01484507
