column,metric,model,mean,std
Administrative,MeanAbsoluteError,catboost,0.29087386,0.00800329
Administrative,MeanAbsoluteError,regression,0.48704744,0.01151691
Administrative,MeanSquaredError,catboost,0.53847011,0.01994218
Administrative,MeanSquaredError,regression,0.72930923,0.0213569
Administrative_Duration,MeanAbsoluteError,catboost,0.29716871,0.01353201
Administrative_Duration,MeanAbsoluteError,regression,0.3229545,0.014443
Administrative_Duration,MeanSquaredError,catboost,0.72456336,0.06066289
Administrative_Duration,MeanSquaredError,regression,0.73710337,0.06269002
BounceRates,MeanAbsoluteError,catboost,0.12894382,0.0043158
BounceRates,MeanAbsoluteError,regression,0.26903341,0.00642715
BounceRates,MeanSquaredError,catboost,0.23207729,0.01998278
BounceRates,MeanSquaredError,regression,0.40202519,0.01136759
Browser,MulticlassAUROC,catboost,0.70731747,0.0093321
Browser,MulticlassAUROC,regression,0.63565271,0.01830343
Browser,MulticlassAccuracy,catboost,0.27950949,0.01385915
Browser,MulticlassAccuracy,regression,0.23537584,0.01161457
Browser,MulticlassF1Score,catboost,0.28827971,0.01363396
Browser,MulticlassF1Score,regression,0.23869959,0.00928251
Browser,MulticlassPrecision,catboost,0.31290832,0.01124027
Browser,MulticlassPrecision,regression,0.26083026,0.02004777
Browser,MulticlassRecall,catboost,0.27915364,0.01288461
Browser,MulticlassRecall,regression,0.23728394,0.01162344
ExitRates,MeanAbsoluteError,catboost,0.18723923,0.00426561
ExitRates,MeanAbsoluteError,regression,0.25859638,0.0054963
ExitRates,MeanSquaredError,catboost,0.27259375,0.00692356
ExitRates,MeanSquaredError,regression,0.38186536,0.01124067
Informational,MeanAbsoluteError,catboost,0.21072963,0.00879484
Informational,MeanAbsoluteError,regression,0.39988431,0.01223992
Informational,MeanSquaredError,catboost,0.51375733,0.02862319
Informational,MeanSquaredError,regression,0.71897489,0.03247008
Informational_Duration,MeanAbsoluteError,catboost,0.22853917,0.01503994
Informational_Duration,MeanAbsoluteError,regression,0.26695633,0.01582804
Informational_Duration,MeanSquaredError,catboost,0.81878284,0.06415859
Informational_Duration,MeanSquaredError,regression,0.80302153,0.06662038
Month,MulticlassAUROC,catboost,0.77036141,0.0078482
Month,MulticlassAUROC,regression,0.68676602,0.00795761
Month,MulticlassAccuracy,catboost,0.18780452,0.00406763
Month,MulticlassAccuracy,regression,0.17013562,0.00443829
Month,MulticlassF1Score,catboost,0.15761318,0.00440313
Month,MulticlassF1Score,regression,0.14841154,0.00431002
Month,MulticlassPrecision,catboost,0.23208681,0.0372694
Month,MulticlassPrecision,regression,0.14802844,0.00497988
Month,MulticlassRecall,catboost,0.18737414,0.0035105
Month,MulticlassRecall,regression,0.1709524,0.00420496
