age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
,,197682.25, HS-grad,,,,,,,,11.07696533203125,, United-States,
31.021465301513672,,,,, Married-civ-spouse, Craft-repair,,,,,,,,
,,203178.703125,,,,,,,,,,,,
,,, HS-grad,,,,, White,,-3458.28955078125,,,, <=50K
,,213457.234375,,,,,,, Female,,,,,
,,,,,,,,,,,,, United-States,
,,193522.328125,,,,,,,,,,,,
,,, Bachelors,,, Prof-specialty,, White,,,,40.59865188598633,, >50K
,,,,,,,, White,,,,,,
,,,,,,,, White,,,56.088348388671875,,,
46.86046600341797,,203566.859375,,,,, Husband,, Male,,,,,
,,,,,,,, White,,,,,,
,,192511.359375,,, Never-married,,,,,-237.34814453125,,, United-States,
,,,,,,,, White,,,,42.52516555786133,,
42.310176849365234,,192901.984375,,11.042045593261719,,,,,,,170.5379638671875,44.905338287353516, United-States,
,,195842.296875,,,,,,, Male,,256.7436218261719,,,
34.75008010864258,,,,,,,, White,,,,,,
,,177148.890625,,,,,,,,,,33.114139556884766,, <=50K
,,187302.65625,,,,,,,,,,,,
,,,,11.882259368896484,, Craft-repair,,,,,202.25738525390625,,,
,,191808.90625,,,,,,,,3964.66650390625,,,,
30.667457580566406,,, Some-college,,,,, White,,,30.626667022705078,,,
,,, Some-college,10.200458526611328,,,,,,71.30499267578125,,,,
37.89569854736328,,,,,, Craft-repair,,, Female,,,,,
,,,,10.363767623901367, Married-civ-spouse,, Husband,, Male,,,,,
, Private,,,, Married-civ-spouse, Exec-managerial,, White,,,,,,
,,,,, Never-married,, Own-child,,,,,44.68031692504883, United-States,
,,, HS-grad,,,,,,,,,,,
,,, HS-grad,,,,, White,,,,,,
,,,,,, Farming-fishing,,,,,,,, <=50K
,,,,,,,, White,,,186.64578247070312,47.1670036315918,,
, Private,190862.671875,,,, Craft-repair,, White, Male,,,,,
,,,,,,,,,,,,,,
,,,,, Married-civ-spouse,,,, Male,,61.31563186645508,,,
,,,,,,,,, Female,,,46.611541748046875, United-States,
,,,,,,,,, Male,532.4156494140625,,, United-States,
,,,,, Married-civ-spouse,,,,,,,,,
,,,,,,, Husband, White, Male,-4148.44091796875,,39.58148193359375,, <=50K
,,,,,,,,,,,,41.1556510925293,,
,,201905.265625, HS-grad,,,,,,,,,,,
46.32421875,,,,,, Prof-specialty,, White, Male,,,53.72810745239258,,
,,, Some-college,,,, Husband,,,3955.74462890625,,,,
,,191383.953125, HS-grad,,,,,,,-269.72509765625,,,,
,,203846.140625,,,,,, White,,,38.761959075927734,39.188541412353516,,
, Private,,,7.496337890625,,,,,,,,, United-States, <=50K
44.02980041503906,,,,,,,,, Male,3829.33935546875,,,,
40.95168685913086,,,,,,,,,,,47.94095230102539,,,
34.730194091796875,,185977.078125,,,,,,,,,,,, >50K
41.05820083618164,,,,8.451146125793457,,, Not-in-family,,,,,,,
,,, HS-grad,,,,, White, Male,,,48.5504150390625,,
,,,,9.003447532653809,,,,,,,38.04668426513672,,,
, Private,,,6.427278518676758,,,,,,,,33.415184020996094, United-States, <=50K
, Private,,,,,,,,,,,34.26310729980469,,
,,,,,,, Husband,,,3169.76318359375,,,,
50.86259841918945,,, HS-grad,,,,,,,,,,,
, Private,213161.25,,,,,, White, Male,,70.55107116699219,, United-States,
,,,,8.549327850341797,,,,,,443.79864501953125,,,,
44.52737808227539,,,,,,,, White,,,,,,
,,, HS-grad,,,,,,,,,,,
,,,,,, Craft-repair,,,,,58.159873962402344,,,
,,,,,,, Not-in-family,,,,,,,
,,,,10.593324661254883,, Craft-repair,,, Female,,,,,
,,,,, Never-married, Prof-specialty,,,,,,41.4776611328125, United-States,
,,,,10.322113037109375,, Adm-clerical,,,,,,36.92482376098633,,
,,,,11.501082420349121,, Adm-clerical,,,,,,,,
,,,,,,,, White,,,,36.992088317871094,,
,,, Bachelors,,, Exec-managerial,, White,,4411.6396484375,,,,
,,, Some-college,, Married-civ-spouse, Craft-repair,, White, Female,,57.814453125,48.4916877746582,,
,,186120.796875,,,, Craft-repair, Husband,,,,,,,
,,,,, Married-civ-spouse, Craft-repair, Not-in-family,,,,,, United-States,
,,,,,,,, White,,4082.78369140625,,,,
,,,,, Married-civ-spouse,,, White,,,,,,
, Private,,,,,,,,,,,,, <=50K
24.723684310913086,,,,, Never-married,, Not-in-family, White,,,-71.78961181640625,, United-States, <=50K
,,,,, Married-civ-spouse, Other-service,,,,,,,,
,,, HS-grad,,,,,,,-968.7386474609375,,41.512718200683594,,
38.17265701293945, Private,,,,,,, White,,,66.43938446044922,,,
37.18941879272461, Private,,,9.35013198852539,,,,,,,,,,
,,,,,,, Husband,,,,77.59695434570312,,,
28.15913200378418,,,,, Never-married,,,,,,,35.0419921875,, <=50K
,,,,,,,, White,,,,,, <=50K
,,,,10.907777786254883, Never-married,,,,,,,,,
, Private,,,,,, Husband,, Male,,,,,
, Private,, Some-college,11.847216606140137,, Craft-repair,, White,,3548.515625,,,,
,,,,,,,,, Male,,81.07257843017578,, United-States,
, Private,,,,,,,,,,54.88618087768555,,,
, Private,,,7.430822372436523, Never-married,,,,,,,,, <=50K
32.97206497192383,,, HS-grad,,,,,,,,,,, <=50K
41.10895538330078,,189083.4375, HS-grad,9.685635566711426,,, Husband, White,,,68.8285140991211,,,
,,,,,,,,, Female,-2166.94677734375,,,, >50K
, Private,,,, Divorced,,,,,,,, United-States,
,,, 7th-8th,,,, Unmarried,,,,,,, <=50K
45.211341857910156,,,,,,,,,,,,,,
, Private,,,,,,,,,,,, United-States,
,,,,9.165090560913086,,,,,,,56.79331970214844,,,
,,,,,, Craft-repair,, White, Male,,,46.946380615234375,,
, Private,185960.515625,,, Never-married, Prof-specialty,,,,,48.376190185546875,, United-States,
,,, HS-grad,9.621000289916992, Married-civ-spouse,,, White, Male,,,,,
,,181648.609375,,,,, Husband,,,,,, United-States,
,,196224.65625,,,,,,,,,,,,
40.86503982543945,,184572.359375, Some-college,10.446599960327148,,, Wife,,,,,,,
,,,,,,, Not-in-family, White,,,72.01620483398438,39.023189544677734,,
,,,,,,,, White,,138.5860595703125,,, United-States,
46.23249816894531,,, HS-grad,,,,,,,-1060.7049560546875,,33.91704177856445,,
,,173408.59375,,,,,,,,,,,,
,,,,, Never-married,,,,,,,36.534725189208984, United-States,
,,,,,,,,, Male,,,,,
,,196994.1875,,,,,,,,-181.0341796875,40.464881896972656,,,
30.111326217651367, ?,,,,,, Not-in-family,,,,-73.95057678222656,,, <=50K
37.96746826171875, Private,,,,, Craft-repair,,, Female,,,,,
,,,,,, Adm-clerical,,,,,,36.98390197753906,,
37.73686981201172,,,,,,,,,,,64.9569091796875,, United-States,
,,, Some-college,,, Craft-repair,,,,,183.06561279296875,47.54862976074219,,
,,,,,,,,,,,21.874984741210938,,,
,,, HS-grad,,,, Husband,,,,,,,
, Private,, HS-grad,,, Other-service,,,,,,,, <=50K
,,,,,,, Husband,,,,,,,
,,,,,,,,,,,,, United-States,
,,176770.796875, HS-grad,,, Other-service,,,,,,35.02190399169922,,
,,, Bachelors,,,,,,,4022.88232421875,,, United-States,
28.459857940673828,,174271.59375,,, Divorced, Prof-specialty,, White,,,,, United-States,
33.16736602783203,,, Some-college,,, Adm-clerical,, White,,-219.1964111328125,,,,
, Private,213313.625,,8.754976272583008, Married-civ-spouse,,,, Male,,,44.11962127685547,,
, Private,184234.21875,,,, Adm-clerical,,,,,,,,
,,, HS-grad,8.642868995666504,,,,,,-194.9130859375,12.406509399414062,,,
,,182157.203125,,, Married-civ-spouse,,,, Female,,,,,
,,,,, Married-civ-spouse, Prof-specialty,,,,,243.64181518554688,45.56097412109375,,
,,,,, Never-married,,,,,-90.1337890625,,, United-States,
46.95558166503906,,,,,,, Husband,,,3454.908203125,,,,
44.388980865478516,,,,,, Prof-specialty,,,,5039.18994140625,237.59878540039062,,,
,,196542.03125,,,,,, White, Female,,,43.279266357421875,, >50K
, Private,, HS-grad,,,,, White,,,,32.273868560791016, United-States,
,,,,,,,, White,,,45.42253494262695,,,
48.39198303222656,,, Bachelors,,, Prof-specialty,,, Male,,,,,
, Private,,,6.657473564147949,,,, White,,,,35.05524444580078,, <=50K
,,,,,, Prof-specialty, Not-in-family,,,,,,,
33.979957580566406,,192759.265625,,, Married-civ-spouse,,,,,3722.88232421875,,,,
, Private,,,, Married-civ-spouse,, Not-in-family,,,,54.28865051269531,, United-States,
,,,,,, Other-service,, White,,,,34.3755989074707,, <=50K
,,,,,, Craft-repair, Husband,, Female,-3673.1767578125,,,, <=50K
33.216041564941406,,, HS-grad,7.83376407623291,,,,,,,,,, <=50K
,,, Some-college,,,,,, Female,,31.426063537597656,,,
43.71012496948242,,, HS-grad,,,,,,,,,,,
37.39580535888672, Private,,,9.059900283813477,, Craft-repair, Not-in-family,,,,,,, >50K
,,,,10.747490882873535, Never-married,, Not-in-family,,,,,38.85392761230469,,
,,,,, Married-civ-spouse,,,, Female,,,, United-States,
,,,,10.137188911437988,,, Wife,,,,,,,
,,, HS-grad,,,,, White,,,,, United-States, <=50K
,,,,,, Exec-managerial,, White,,,,,,
,,, HS-grad,,,,,, Male,,,,,
37.98448944091797, Private,,,,, Craft-repair,,, Female,,,,,
,,187995.71875,,,,, Unmarried,,,,,31.808956146240234,, <=50K
,,,,,,,,,,,,,,
,,,,,,, Own-child, White,,,,,,
48.46742630004883,,,,,,,, White, Male,,240.22987365722656,,,
,,,,, Married-civ-spouse,, Husband,, Female,,,, United-States,
, Private,199548.640625,,9.286734580993652,,,,,,-245.338134765625,,41.194644927978516,,
,,,,,,,,, Male,,,48.958404541015625,,
,,,,8.484823226928711,,,,,,,,, United-States,
,,, Bachelors,,,,,,,883.2630615234375,,45.740360260009766,,
, Private,,,,,,,, Male,-400.506591796875,58.283931732177734,44.52440643310547,,
,,, HS-grad,,,,,, Male,,,,,
,,,,, Never-married,,,,,,28.235492706298828,,,
,,,,,,,,, Female,,,,,
,,,,, Married-civ-spouse,,,, Male,,256.7130126953125,,,
,,,,,, Craft-repair, Husband,, Male,,,,,
, Private,,,10.286101341247559,,,,, Male,,217.98440551757812,,,
28.244178771972656, Private,, Some-college,10.644353866577148, Married-civ-spouse, Craft-repair,,,,,55.01054382324219,,,
,,,,,, Craft-repair, Own-child,,,,,,,
37.68575668334961,,,,, Married-civ-spouse,, Not-in-family, White,,12.5821533203125,,,,
,,,,,, Craft-repair,,,,,,47.540916442871094,,
39.322452545166016,,,,,, Prof-specialty,,,,,,, United-States,
, Private,,,10.435532569885254,,,,,,,49.205875396728516,, United-States,
, Private,,,,,, Husband,,,,,,,
,,,,,,, Not-in-family,,,,,,,
,,196801.296875,,12.127609252929688,,, Husband,,,,,,,
,,,,10.021566390991211,, Craft-repair,,, Male,,78.99315643310547,,,
,,,,,,, Husband,,,,,,,
, Private,, HS-grad,,,,,, Male,,,,,
34.52682876586914, Private,197835.859375,,, Married-civ-spouse,,, White,,,,,,
33.50877380371094, Private,,,,, Prof-specialty,,,,1537.9727783203125,99.2061996459961,,,
,,,,,,,,,,,,47.060325622558594, United-States,
32.14863586425781,,,,, Married-civ-spouse,,, White,,,,,,
