dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.9289841770845186,0.929076±0.005257,0.7583482733620204,0.758491±0.004310,,,,,,,,
adult,workclass,cat,,,,,0.6866285854677231,0.687150±0.003821,0.09709914122554687,0.097705±0.002800,0.1728313133551985,0.172189±0.018011,0.11405309223885346,0.114812±0.003327
adult,fnlwgt,num,0.9973068628392135,0.997325±0.011591,0.7357401442627869,0.735331±0.005196,,,,,,,,
adult,education,cat,,,,,0.645046373072907,0.645160±0.004042,0.20897111266848611,0.208724±0.003407,0.28026561795414034,0.282011±0.023382,0.22684913993092753,0.226705±0.002879
adult,education.num,num,0.9029507416758001,0.903087±0.005864,0.6819129599667394,0.682493±0.004824,,,,,,,,
adult,marital.status,cat,,,,,0.6967016768011793,0.696291±0.003553,0.33235621891122336,0.332199±0.003763,0.36348014643206705,0.363641±0.004984,0.322946792215688,0.322607±0.003286
adult,occupation,cat,,,,,0.2848719366132301,0.285104±0.003595,0.13487198820901175,0.134663±0.002224,0.16488206652892465,0.165306±0.007006,0.1657160800726056,0.165791±0.002081
adult,relationship,cat,,,,,0.6935691910816288,0.693324±0.003444,0.45859645856412956,0.458226±0.004780,0.5776767759615208,0.576056±0.025516,0.4584623899945625,0.458131±0.003453
adult,race,cat,,,,,0.856028499477919,0.855946±0.002620,0.23280136707524104,0.232563±0.004209,0.34626645776641657,0.343297±0.021273,0.2314717168588925,0.231277±0.003224
adult,sex,cat,,,,,0.7037651249923224,0.703501±0.003545,0.6216729191387654,0.621854±0.003956,0.661686439281595,0.661627±0.004785,0.6170088238801223,0.617288±0.003691
adult,capital.gain,num,0.9949205013052036,0.996137±0.048724,0.2668510967258391,0.267109±0.007049,,,,,,,,
adult,capital.loss,num,0.9865677128339171,0.987339±0.017462,0.409042514960271,0.409917±0.006672,,,,,,,,
adult,hours.per.week,num,0.9641242568863077,0.963740±0.009381,0.6474359972583105,0.647485±0.005645,,,,,,,,
adult,native.country,cat,,,,,0.90234015109637,0.902466±0.002315,0.0323213130557729,0.032409±0.001104,0.04352669824126373,0.043425±0.004924,0.030341854209739394,0.030400±0.000779
adult,income,cat,,,,,0.824887906148271,0.824996±0.002925,0.7235278417315513,0.723738±0.004793,0.7713664322747299,0.771416±0.004587,0.7003838995538109,0.700688±0.003939
