dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,1.0084112127261067,1.008143±0.013297,0.8033756565863049,0.803482±0.011030,,,,,,,,
adult,workclass,cat,,,,,0.7271565495207668,0.726863±0.007224,0.11926063086219336,0.124571±0.009137,0.1604868080284882,0.167922±0.022749,0.13162745312379434,0.138381±0.009482
adult,fnlwgt,num,0.9612466225174551,0.961992±0.017024,0.7243727410405804,0.724767±0.010806,,,,,,,,
adult,education,cat,,,,,0.557416996649406,0.557449±0.008846,0.17640914501759364,0.175403±0.006941,0.2099866864966946,0.209229±0.017703,0.1903492931737969,0.190476±0.006531
adult,education.num,num,1.0166013650848156,1.016447±0.015344,0.7749398261044304,0.776056±0.010681,,,,,,,,
adult,marital.status,cat,,,,,0.5898065704636168,0.590014±0.008198,0.2667125109113589,0.268484±0.012114,0.2751757995141769,0.276259±0.012581,0.2644681153186938,0.266770±0.012745
adult,occupation,cat,,,,,0.25758575197889183,0.257236±0.007954,0.12879688812280052,0.130379±0.008246,0.19821444730451798,0.201241±0.019716,0.1431173647347772,0.144424±0.006921
adult,relationship,cat,,,,,0.5025290092234455,0.501793±0.008624,0.33129856805316277,0.330636±0.008246,0.376896266686265,0.377313±0.013401,0.3261852943026912,0.326408±0.007340
adult,race,cat,,,,,0.8525345622119815,0.852902±0.006051,0.23509920634920634,0.233774±0.010322,0.32884743800917066,0.328135±0.034475,0.23161517612171462,0.232300±0.007118
adult,sex,cat,,,,,0.6295162278015921,0.629062±0.008694,0.5941590517445001,0.594049±0.008607,0.5928544076097799,0.592729±0.009438,0.5971488547947787,0.597660±0.008619
adult,capital.gain,num,1.2790737826577316,1.283159±0.100681,0.37394672512373156,0.373975±0.020380,,,,,,,,
adult,capital.loss,num,0.9493692775234024,0.948645±0.039442,0.38991056954855,0.390452±0.015021,,,,,,,,
adult,hours.per.week,num,1.007485238973131,1.008532±0.019119,0.7078539361822604,0.706848±0.013182,,,,,,,,
adult,native.country,cat,,,,,0.9089213552999689,0.908956±0.004942,0.03351819699219111,0.035404±0.004431,0.039908900041058626,0.042603±0.007425,0.03182038534469339,0.033642±0.003763
adult,income,cat,,,,,0.7753691486019478,0.775370±0.006846,0.6618937349960698,0.661061±0.009961,0.6792853561824894,0.679321±0.011168,0.6514624296342908,0.650896±0.009763
