dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.24521072796934865,0.244610±0.007052,0.24135561636938968,0.241462±0.006503,0.2443974491691804,0.243974±0.006392,0.24490449722018282,0.245275±0.006495,,,,
beijing,month,cat,0.47054597701149425,0.469899±0.007801,0.4633837849183358,0.464454±0.006948,0.465457922575772,0.465131±0.008282,0.46894807803159183,0.468438±0.007444,,,,
beijing,day,cat,0.045019157088122604,0.044969±0.002895,0.03729973564092155,0.037058±0.002915,0.037772864717427496,0.037572±0.003222,0.04466860281224774,0.044601±0.003053,,,,
beijing,hour,cat,0.08548850574712644,0.085299±0.004346,0.0786099923719067,0.078357±0.003955,0.0834639637542292,0.083373±0.005171,0.08570875286511966,0.085788±0.004311,,,,
beijing,pm2.5,num,,,,,,,,,0.8680558844324602,0.868007±0.017317,0.6225952469856985,0.621879±0.009695
beijing,DEWP,num,,,,,,,,,0.47392203642180003,0.473713±0.005565,0.37797980642786494,0.377892±0.004469
beijing,TEMP,num,,,,,,,,,0.4359425806258865,0.435935±0.005028,0.3486993399356187,0.348650±0.004147
beijing,PRES,num,,,,,,,,,0.5325573420223195,0.532296±0.005932,0.42260260172991726,0.422488±0.004907
beijing,cbwd,cat,0.5567528735632183,0.556364±0.007763,0.441022861662856,0.440426±0.005586,0.41562835917230345,0.415696±0.005937,0.47328657731494483,0.472546±0.006417,,,,
beijing,Iws,num,,,,,,,,,0.9369205468306764,0.935373±0.034690,0.5425067332947695,0.543176±0.012193
beijing,Is,num,,,,,,,,,0.6614844959503271,0.648536±0.137029,0.17050631454932133,0.169618±0.009690
beijing,Ir,num,,,,,,,,,0.7150335792064165,0.716442±0.054224,0.28623754536307505,0.286268±0.010311
