dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,,,,
beijing,month,cat,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,,,,
beijing,day,cat,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,,,,
beijing,hour,cat,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,,,,
beijing,pm2.5,num,,,,,,,,,0.9484286754142028,0.949324±0.038107,0.6923817614589826,0.694110±0.023794
beijing,DEWP,num,,,,,,,,,0.5709853221769577,0.571086±0.014011,0.4626935842720988,0.463306±0.011037
beijing,TEMP,num,,,,,,,,,0.537412882128477,0.539138±0.013357,0.42779898926216486,0.428280±0.010711
beijing,PRES,num,,,,,,,,,0.6259743283465498,0.627139±0.014203,0.5027533356140885,0.502143±0.012568
beijing,cbwd,cat,0.5551684088269454,0.554216±0.016610,0.4364249342510212,0.435877±0.013129,0.4122468565644703,0.411943±0.012512,0.46830289442877615,0.467207±0.013963,,,,
beijing,Iws,num,,,,,,,,,0.9154088114547944,0.909830±0.060605,0.5734631799923029,0.573769±0.024694
beijing,Is,num,,,,,,,,,0.39528350131746437,0.386101±0.077241,0.18168431947834038,0.182119±0.011662
beijing,Ir,num,,,,,,,,,0.8167584165935702,0.800440±0.107248,0.3489543624686273,0.348086±0.025028
