LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
167849.609375,2,2,2,38.8939208984375,0,-2,0,-2,-1,-2,28803.720703125,12521.43359375,12722.96484375,-5316.6484375,3518.234375,-843.82421875,5374.1640625,-4434.4443359375,2323.03125,2430.3740234375,2606.93212890625,2829.38671875,0
105472.6640625,2,2,2,39.49848175048828,0,0,0,0,0,0,2424.16015625,724.17578125,2703.2734375,3862.29296875,2236.36328125,413.796875,2903.686279296875,2259.778564453125,1803.59130859375,1438.790283203125,1356.465087890625,807.20263671875,0
352706.75,2,1,1,30.184995651245117,0,0,0,0,0,0,71907.828125,255188.46875,185998.0625,187444.46875,180677.46875,167654.40625,69814.8671875,55175.90625,31317.671875,20806.74609375,12314.5546875,28884.001953125,0
171287.734375,1,3,1,31.806421279907227,-1,-1,-1,-1,-2,0,283.046875,-1115.50390625,561.65625,1632.4375,6740.75390625,4360.80078125,2365.538330078125,690.7021484375,1914.61474609375,2758.864990234375,1549.4677734375,844.6796875,0
153732.703125,1,3,1,33.05465316772461,1,-2,-2,-2,-2,-2,3887.953125,-907.05859375,633.1015625,-1296.16015625,-1051.85546875,1069.81640625,975.54931640625,380.60791015625,783.72900390625,57.57373046875,-320.11474609375,144.41455078125,0
174337.921875,1,3,1,41.76721954345703,0,0,0,0,0,2,39399.5625,38217.8671875,38982.12109375,38189.015625,37926.44921875,38760.4453125,1445.6474609375,2247.62744140625,3715.75634765625,2964.06591796875,1930.82470703125,-795.24462890625,0
291635.28125,2,1,1,40.56883239746094,-2,-2,-2,-2,-2,-2,19118.927734375,28047.4140625,18222.296875,3660.1875,2610.109375,-1820.8984375,21790.05078125,738.845703125,9856.8916015625,6158.5361328125,6962.7138671875,11952.013671875,0
337961.9375,2,1,2,34.42399597167969,-2,-2,-1,0,0,0,56977.484375,28805.087890625,299745.78125,154885.6875,169543.5,82860.25,34690.84765625,130616.4921875,62831.39453125,-31480.150390625,28101.189453125,28582.033203125,0
56863.34375,2,2,2,38.893619537353516,2,2,0,-1,0,0,2981.8984375,1091.51171875,321.4765625,4777.43359375,6291.33984375,1559.828125,977.20361328125,593.53271484375,3266.605224609375,-176.599609375,2409.649658203125,2334.618896484375,0
216862.78125,1,1,2,31.379911422729492,0,0,0,0,-2,0,173825.5,177465.046875,93030.1015625,35145.9375,5872.921875,-1901.2265625,-9739.33203125,-20667.390625,-431.16162109375,7757.298828125,8740.21484375,16929.931640625,0
143961.234375,2,1,1,40.93690490722656,0,0,0,0,0,0,20774.46875,12275.02734375,13185.26171875,15319.548828125,14757.20703125,13442.1484375,5925.78515625,5725.5419921875,4232.4404296875,5616.7431640625,6146.41015625,6528.20947265625,0
293360.375,2,1,2,33.15518569946289,0,0,0,0,0,0,308859.71875,271699.5,259971.890625,212559.125,180941.875,182698.796875,26272.3515625,-3456.7666015625,8999.5849609375,13197.919921875,4073.107177734375,16491.814453125,0
136048.5625,2,2,2,39.956695556640625,0,0,0,0,0,0,46382.44140625,43768.125,37208.6875,35445.84765625,28173.09765625,26593.955078125,4897.49658203125,5629.81689453125,-2497.39306640625,3689.553466796875,2947.20263671875,793.87451171875,0
193271.953125,2,2,1,40.378265380859375,0,0,0,0,-2,0,70645.3203125,91478.6953125,58966.3359375,27033.80859375,24293.86328125,-4729.1171875,-10260.826171875,13010.46484375,12057.236328125,-13441.341796875,6972.90625,13412.482421875,0
188199.625,2,2,1,38.791866302490234,0,0,0,0,0,0,67977.171875,66269.453125,68406.1796875,72438.2265625,75586.5390625,74479.15625,6462.06201171875,5597.328125,7252.060546875,8263.970703125,9909.55078125,2769.57958984375,0
208672.21875,2,2,1,36.15093994140625,0,0,0,0,0,0,45049.8828125,47257.7578125,46699.72265625,49460.0078125,47420.6484375,46150.80078125,3719.21435546875,3164.515625,4468.845703125,3613.62744140625,3522.41845703125,538.6337890625,0
263710.375,2,2,1,41.735023498535156,0,0,0,0,0,0,205640.65625,194926.046875,201654.3125,205555.390625,210453.8125,199146.21875,8271.509765625,9190.501953125,14223.1279296875,17196.712890625,14177.61328125,3954.14501953125,0
169641.765625,2,2,1,44.36704635620117,0,0,0,0,0,0,225239.921875,177322.34375,182466.828125,137442.296875,135913.578125,133350.0,18871.2890625,-28889.828125,13669.3193359375,13037.0390625,9252.08203125,3816.7294921875,0
161062.28125,2,1,1,42.9229621887207,-1,-1,-1,-1,-1,-1,2870.7421875,-981.26953125,-205.12109375,1975.0390625,2829.97265625,2951.38671875,3592.042724609375,2848.25439453125,3075.2470703125,3959.396484375,4859.83740234375,4722.29931640625,0
101154.84375,2,2,2,39.84773635864258,0,0,2,0,2,0,19443.134765625,18066.00390625,19974.3671875,20184.603515625,20700.017578125,20276.208984375,2314.03173828125,3693.830322265625,1782.21533203125,1249.689453125,797.833740234375,286.5830078125,0
128547.1875,2,1,1,34.56330108642578,0,0,-2,-2,-2,-2,5129.7734375,38421.609375,-847.4609375,-787.2734375,16.8203125,-3910.59765625,-19998.732421875,5014.1416015625,5406.9609375,5486.43408203125,4608.20947265625,7849.51611328125,0
172982.859375,2,2,2,40.50827407836914,-2,-2,-2,-2,-2,-2,1549.13671875,-1252.7265625,316.234375,-1058.171875,-216.04296875,-684.87109375,2251.14892578125,807.05224609375,826.416015625,732.03955078125,945.19287109375,876.62548828125,0
143606.984375,2,2,1,38.16788864135742,0,0,0,0,0,0,75581.9921875,75313.0625,74200.4765625,69824.71875,68820.671875,66098.8046875,1936.13720703125,745.96240234375,4975.5654296875,5679.41748046875,4009.804443359375,1254.704833984375,0
215183.75,2,1,2,43.124786376953125,-2,-2,-2,-2,-2,-2,9443.73828125,-2337.421875,-1184.61328125,31.59765625,405.83984375,-12.8984375,5393.4521484375,3946.599365234375,3021.491455078125,4148.14599609375,4303.4208984375,6481.83740234375,0
219858.03125,2,1,1,44.85268783569336,-2,-2,-2,-2,-2,-2,9772.828125,-491.0078125,449.71484375,1765.796875,4801.7734375,5398.6328125,6237.63330078125,5931.1533203125,5316.10693359375,8112.8740234375,3813.9267578125,9656.564453125,0
117093.3125,2,1,2,35.27977752685547,-1,-1,-1,-1,-1,-1,10784.96484375,8987.80078125,8223.04296875,8324.625,8014.712890625,10063.06640625,6833.9541015625,8706.150390625,6992.0234375,6508.71630859375,6112.7685546875,7180.12109375,0
281974.40625,2,1,2,34.90122604370117,0,0,0,0,0,0,296096.6875,294908.8125,286153.71875,276208.28125,260898.140625,253496.890625,19301.4765625,8694.609375,15741.6708984375,17156.33984375,11760.359375,11690.6552734375,0
151629.28125,2,2,2,28.595401763916016,-1,-1,-1,-1,0,0,-374.296875,85.4765625,1063.21484375,14608.05859375,11828.705078125,9443.521484375,2515.76416015625,544.431640625,4386.22705078125,3362.9306640625,2967.61962890625,1389.620361328125,0
138923.0625,2,2,1,37.598697662353516,0,0,0,0,0,0,11696.609375,7786.99609375,8822.96875,9389.99609375,3382.9296875,8842.048828125,1361.8046875,1283.7412109375,1576.544677734375,1714.424560546875,-3442.74462890625,617.3251953125,0
227837.078125,2,2,2,39.21281814575195,0,0,0,0,0,0,175412.03125,173860.59375,172384.078125,148818.203125,144444.625,125282.828125,9583.4765625,11875.775390625,11577.4501953125,-1716.5546875,8493.044921875,7523.42626953125,0
288578.09375,2,2,1,44.9931640625,0,0,0,0,0,0,343316.34375,323327.875,293204.21875,260140.296875,234272.53125,221093.21875,19680.23828125,5389.84619140625,2231.82080078125,17713.1640625,18400.609375,10477.447265625,0
148787.875,2,1,2,32.64529800415039,-2,-2,-2,-2,-2,-2,2891.8203125,-1279.515625,-186.2890625,-1178.5078125,-1296.41015625,845.8125,1684.86865234375,557.115234375,78.9599609375,510.6552734375,-483.9775390625,-335.38525390625,0
210305.34375,2,2,2,31.537395477294922,0,0,0,0,0,0,133911.4375,131386.765625,132557.234375,133999.375,132206.390625,124999.3515625,8583.6611328125,7608.67919921875,7764.0078125,10885.564453125,10292.703125,3392.91748046875,0
209676.328125,2,2,2,38.0176887512207,-2,-2,-2,-2,-2,-2,3892.05859375,-2121.60546875,-248.4609375,-783.68359375,8.37890625,-7.4375,3058.1005859375,1016.44970703125,466.40966796875,1120.318115234375,865.867919921875,1343.985595703125,0
208284.625,2,1,2,29.98746109008789,-2,-2,-2,-2,-2,-2,1111.91015625,-1175.51953125,-469.921875,-309.71875,2.91015625,-440.8203125,2807.865478515625,1355.42822265625,1237.326904296875,1312.540283203125,1891.94287109375,2987.89111328125,0
53074.5,2,1,2,33.21324157714844,0,0,0,0,0,0,10531.84375,7770.7265625,9465.8125,8706.9609375,6550.00390625,6416.39453125,2057.991943359375,4142.47021484375,1607.56494140625,2437.442138671875,1975.86669921875,3012.125732421875,0
234452.40625,2,1,2,32.16442108154297,0,0,2,2,2,2,145310.734375,143034.75,150140.171875,151710.59375,160556.421875,150397.59375,8404.4794921875,11378.046875,10344.7451171875,13461.40234375,8007.72412109375,4064.0927734375,0
232842.546875,2,1,1,42.02855682373047,-1,-1,-1,-1,-1,-1,15357.609375,13410.96484375,10776.734375,9863.45703125,9784.158203125,8240.865234375,11402.986328125,9695.220703125,9577.80859375,8573.0458984375,5865.81494140625,11322.3427734375,0
218966.765625,2,1,2,30.82361602783203,-2,-2,-2,-2,-2,-2,538.44921875,-1269.55859375,-2670.87890625,-2094.58984375,-1658.69921875,-1189.265625,2306.21044921875,2265.612548828125,2174.632080078125,2250.38330078125,3615.24853515625,4624.904296875,0
