LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
,,2,1,,,,,,,,34252.0546875,,16465.46875,,-429.99609375,,,,,19640.41015625,-12858.998046875,,
,,,,,,,,0,,,,,,,,,,,,,,,
360510.75,,,,,-1,,2,,,,55042.6796875,,120360.375,131428.890625,,,,-27658.6328125,,,13117.513671875,,
,,,,,,,,,,,,,,,,4665.796875,,,,1284.865966796875,,,
134770.96875,,,,,,,,,,,,1373.625,,,-3753.88671875,,20881.05078125,,,,-17357.666015625,,0
,,,,,,,,0,,,,,,,,,,,,,,,1
,,1,,,,0,,-2,,,,,17577.025390625,,6016.59375,,,,,,,,
,,,,,-2,,,,,,,,,155732.265625,,,41140.01953125,,,,,20996.646484375,
,2,,,38.681819915771484,,,,,0,,9981.94921875,,,,8758.22265625,,,301.41845703125,,18867.44140625,,7674.2451171875,
,,,,,-2,3,-2,,,,155478.46875,,,,,,,-31786.46484375,,1106.646728515625,,,
83120.1484375,,,,,,,,0,,,,,,,,,2996.884765625,,,,,,
,,,2,,0,,,0,,,,,,,,,,,,,,,
,2,,1,,,,,0,,,,,,35809.30078125,,,,,,,,2999.298095703125,
,,,2,,,0,,,,,66226.5703125,,,29032.359375,,,,,5343.150390625,,7380.0693359375,8268.64453125,
,,,,41.16688919067383,,,,,0,,,,,,75517.09375,,,7609.45654296875,,,,,
,,,,39.24226379394531,1,,0,,0,,,,,,,51308.64453125,,,,6083.51123046875,2063.12255859375,,1
,,,,,,,,,,,204086.328125,,202031.03125,,,,,-78853.515625,57843.59375,,,,
148598.515625,,,,,,,,,,,,,,,136344.578125,,,,,-27290.87890625,,,
,,,,,,,,,-1,,,,,,,,1804.985595703125,,,,,,
,,2,,,-2,0,,,,0,12345.95703125,,,,15092.986328125,,-1016.9140625,8597.6376953125,,,,,
,,,,,,,,,,,,,,,,,,,,5486.4326171875,,,
22315.625,,2,,,,,,,,,,,,,-1161.63671875,,,484.85498046875,3607.755126953125,,,,
,,,,,,2,-2,,,0,,,,,,,8443.947265625,,,,,,
,,,,,,,,,,-2,58103.921875,46646.30078125,26127.625,,-3192.53125,,8871.59765625,,,,,,
,,,,,,-2,,,,,54440.02734375,19443.931640625,,,,,,,,,,,
370357.375,,,,,,-2,,-2,-2,,,5841.91015625,,,,,,-4642.71484375,,,,4444.9677734375,
,2,,,,,,,2,2,,,,,,,265437.03125,,,,,,,1
,,,,,8,,,-2,7,,,,-6052.53125,,,18967.4296875,,,,,,,
,2,2,1,,,,,,,,,23688.4453125,34941.44140625,,,,,3391.511474609375,,,,,
,,,,,2,,,,0,,173297.90625,,,,,,,,,,,,1
171907.453125,,,,43.787837982177734,,,0,,,,,,,,,,,-3163.6826171875,,,,,1
226516.265625,,,2,,,,,,,-2,,,,,,,3282.587890625,,,,,832.47314453125,
,2,,,,,,,,4,4,139431.6875,,133576.703125,,,,,,,,,,
251666.65625,,,,,,,,,,-2,,,3745.65625,,,,,26139.7109375,,,87.07470703125,,
,,,,,,,,,,-2,-305.5390625,,,,,,-10009.501953125,5554.56787109375,,2898.5009765625,,6506.240234375,
,,,,31.387107849121094,,,,,,0,,,,,-94.17578125,,,,,,,,0
,,,,,,,,,2,,,,,,,,,,,,,,
,,,1,,,,,-1,,,,,,,,,,,9071.4326171875,,,,
,,,,,,,-2,,2,,,-1833.828125,,,,,,,,,,,1
309146.375,,,,,,3,-2,,,,,,6476.13671875,,3344.59765625,,,,,,-10731.78515625,,
,,,,41.88068771362305,,2,,,,,,,,,,,,,,,,,0
,,,2,,,,,,0,,,7043.55078125,,-10118.0859375,,15204.228515625,,,,,,,
295842.09375,,2,1,,-2,-2,,-2,-2,,,,,-850.77734375,,,,9928.6337890625,18722.427734375,,,,
,,,,,,,,-2,-2,-2,,,,,,2564.9921875,,,,,,,
,,2,,51.307621002197266,,,,,,,,,,100684.125,,,5077.3173828125,,,,,,
,1,,,,,,,,,,,,,92958.390625,102997.609375,,,,,-1140.9296875,,-14005.548828125,0
,,1,,52.482421875,0,,,,,,56648.5078125,25661.3046875,,,,,,,,,,,
87417.40625,,,,,,,-2,,0,,,19995.103515625,27966.564453125,,,,,,,7038.1357421875,,,1
,,,2,46.732177734375,,,-2,,,,,,,,,,,,,,,,
,2,,,,2,,,,0,,,,,1071.84375,,,,,,,2604.5595703125,,1
,,,,,,,,-2,,,,,,-1268.87890625,,,,,17933.953125,-15648.55078125,,,
,,,,,,,0,,,,,,183835.265625,,198840.34375,,,,,,,-12576.95703125,
135069.625,2,,1,,1,,0,,,,,,,,,,,,,,6346.8984375,,1
,1,,,28.60003662109375,,,,,,,,,,63387.6328125,,,,,-6990.9208984375,,,2740.318359375,0
,,,,,,,,-2,2,,,43703.04296875,,,,,,,,,,,1
-21596.65625,,2,1,58.537681579589844,,,2,2,,,212.2890625,,,,,,,,,,2714.24853515625,,
238777.5,2,,,,1,,-2,,,,-6012.21484375,,,,,,,,6706.7626953125,,,,
