dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.8056508762334142,0.805747±0.013804,0.6162561124640723,0.615292±0.008985,,,,,,,,
default,SEX,cat,,,,,0.6103333333333333,0.611140±0.008563,0.47262452083945183,0.472431±0.008746,0.5641921957252968,0.564314±0.014881,0.523829821783786,0.523733±0.006054
default,EDUCATION,cat,,,,,0.5433333333333333,0.542690±0.009543,0.22989505224031462,0.229890±0.005476,0.27965144082889487,0.280178±0.007784,0.23011352988029143,0.230088±0.004415
default,MARRIAGE,cat,,,,,0.7086666666666667,0.708279±0.008478,0.3530412352120572,0.354438±0.012452,0.35322345187437937,0.353494±0.007879,0.3543468682817983,0.355590±0.012681
default,AGE,num,0.8795058111793674,0.878441±0.013260,0.6810369573623913,0.681379±0.010667,,,,,,,,
default,PAY_0,cat,,,,,0.7043333333333334,0.704154±0.007528,0.26300304896186266,0.286046±0.022420,0.2679015130095937,0.289031±0.022446,0.2656156456377024,0.289966±0.021445
default,PAY_2,cat,,,,,0.808,0.808384±0.006929,0.3865546030486588,0.423578±0.041482,0.39915152658421615,0.428901±0.044469,0.37913707637041955,0.415344±0.045066
default,PAY_3,cat,,,,,0.8063333333333333,0.806622±0.006442,0.5141531824001753,0.507525±0.062439,0.6202248550029389,0.578662±0.078821,0.4839968071818988,0.483340±0.063838
default,PAY_4,cat,,,,,0.8446666666666667,0.844868±0.006287,0.5460007463373902,0.537730±0.041717,0.6818200590126948,0.658586±0.074671,0.5165426366155097,0.515737±0.043972
default,PAY_5,cat,,,,,0.846,0.847173±0.006255,0.41968370813911726,0.454459±0.059031,0.442899756749849,0.477209±0.076067,0.40988936100430207,0.450950±0.053476
default,PAY_6,cat,,,,,0.8313333333333334,0.832120±0.006430,0.4331485628782034,0.444170±0.044223,0.4607518693725794,0.475052±0.056746,0.4685368915995674,0.468443±0.052772
default,BILL_AMT1,num,0.27865266959126705,0.276487±0.022400,0.11128380957145009,0.111217±0.004523,,,,,,,,
default,BILL_AMT2,num,0.20660517628576716,0.205029±0.014228,0.07374645820628643,0.073882±0.003479,,,,,,,,
default,BILL_AMT3,num,0.1998285997760166,0.198477±0.013737,0.07506730806746474,0.075082±0.003420,,,,,,,,
default,BILL_AMT4,num,0.18778933571426937,0.187552±0.011438,0.08094830769514107,0.080901±0.003140,,,,,,,,
default,BILL_AMT5,num,0.17387297921948094,0.173289±0.010881,0.07085515725475047,0.070940±0.003092,,,,,,,,
default,BILL_AMT6,num,0.23820582344921928,0.236511±0.020204,0.1008981974352754,0.100975±0.003898,,,,,,,,
default,PAY_AMT1,num,0.8531496081473307,0.845023±0.085294,0.3081241369637243,0.309787±0.014582,,,,,,,,
default,PAY_AMT2,num,0.5513600382918086,0.547753±0.043121,0.22104647741429873,0.221178±0.008881,,,,,,,,
default,PAY_AMT3,num,0.7247934752789406,0.721529±0.063596,0.28693733820920625,0.286850±0.012226,,,,,,,,
default,PAY_AMT4,num,0.6042908892635269,0.599866±0.042026,0.2824259536612165,0.281751±0.010149,,,,,,,,
default,PAY_AMT5,num,0.687289176468226,0.686026±0.059409,0.2818408827221933,0.282228±0.011332,,,,,,,,
default,PAY_AMT6,num,1.0621048913675606,1.055807±0.107557,0.33232778173541017,0.331864±0.019088,,,,,,,,
default,default payment next month,cat,,,,,0.796,0.795219±0.007063,0.6007303416234704,0.600272±0.011337,0.7141164249163172,0.714743±0.017007,0.5894071823925157,0.589330±0.008294
