dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.850698395308318,0.852776±0.028844,0.6705270190066932,0.669388±0.021261,,,,,,,,
default,SEX,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,EDUCATION,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,MARRIAGE,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,AGE,num,1.0025032749261522,1.002765±0.032971,0.7683232085666383,0.770259±0.025226,,,,,,,,
default,PAY_0,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_2,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_3,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_4,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_5,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_6,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,BILL_AMT1,num,0.491121107249382,0.485085±0.057644,0.24500526645041606,0.244186±0.018847,,,,,,,,
default,BILL_AMT2,num,0.3960870468465286,0.399621±0.037159,0.195322869869201,0.195277±0.013717,,,,,,,,
default,BILL_AMT3,num,0.37033278799502606,0.368426±0.036188,0.19082235967044867,0.190785±0.012947,,,,,,,,
default,BILL_AMT4,num,0.44077146678262374,0.436974±0.050866,0.21545495422682726,0.215319±0.014045,,,,,,,,
default,BILL_AMT5,num,0.4435469102292681,0.445803±0.072702,0.19568024120217972,0.196701±0.017447,,,,,,,,
default,BILL_AMT6,num,0.3795107230868682,0.375510±0.033160,0.1941758865222571,0.193963±0.013649,,,,,,,,
default,PAY_AMT1,num,1.260543950525328,1.239114±0.174132,0.6073053491061369,0.606125±0.046136,,,,,,,,
default,PAY_AMT2,num,1.028833992370921,1.027421±0.082560,0.535140018606644,0.533808±0.035801,,,,,,,,
default,PAY_AMT3,num,0.9843340017934185,0.981904±0.086169,0.5161099401017196,0.516569±0.032280,,,,,,,,
default,PAY_AMT4,num,1.097192125696231,1.098318±0.094318,0.5909957604285552,0.592915±0.036813,,,,,,,,
default,PAY_AMT5,num,1.1724619070654558,1.162111±0.174929,0.5577958916273812,0.558335±0.039934,,,,,,,,
default,PAY_AMT6,num,0.7838845713364212,0.769513±0.127748,0.3682943813994153,0.366947±0.026939,,,,,,,,
default,default payment next month,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
