dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,0.5536547425882291,0.553225±0.020939,0.36695040417256547,0.365588±0.009588,,,,,,,,
magic,Width,num,0.6294270270941342,0.630093±0.058597,0.35053442493372067,0.350497±0.012371,,,,,,,,
magic,Size,num,0.43393059754109425,0.434372±0.013158,0.3248951507578463,0.324867±0.006651,,,,,,,,
magic,Conc,num,0.1827837958494628,0.182539±0.004099,0.13706284142015984,0.137169±0.003011,,,,,,,,
magic,Conc1,num,0.20807173555920372,0.207596±0.005731,0.14626427152927052,0.146411±0.003633,,,,,,,,
magic,Asym,num,0.9518050915223056,0.951590±0.054320,0.5708881369877684,0.568546±0.017002,,,,,,,,
magic,M3Long,num,0.9260459481242406,0.927070±0.029751,0.5986514873979041,0.596556±0.016423,,,,,,,,
magic,M3Trans,num,1.005242461518424,1.001530±0.038182,0.706937533772019,0.705474±0.016169,,,,,,,,
magic,Alpha,num,0.8352166488807379,0.836159±0.015315,0.6319679934611423,0.632400±0.012419,,,,,,,,
magic,Dist,num,0.8629970835383931,0.862778±0.016886,0.6880064370618959,0.688296±0.012534,,,,,,,,
magic,class,cat,,,,,0.7949526813880127,0.794793±0.009319,0.7653061353629722,0.764463±0.010490,0.7845857988165681,0.784774±0.009998,0.7553379924129078,0.755471±0.010442
