dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,0.6799162156953449,0.679793±0.059457,0.4703095137678308,0.469788±0.024517,,,,,,,,
magic,Width,num,0.6964933917157768,0.690670±0.092899,0.39571291604126,0.396208±0.030104,,,,,,,,
magic,Size,num,0.5123348698976242,0.512836±0.022545,0.3878289817935397,0.387328±0.017128,,,,,,,,
magic,Conc,num,0.38251730871816325,0.383000±0.028602,0.2343362037310354,0.236017±0.015723,,,,,,,,
magic,Conc1,num,0.4639408007755961,0.464244±0.033940,0.2682127469654073,0.270393±0.018373,,,,,,,,
magic,Asym,num,0.9207449376961501,0.927923±0.078220,0.5812270594962394,0.579419±0.041729,,,,,,,,
magic,M3Long,num,0.9828189739831136,0.982549±0.061019,0.6626440204806247,0.660417±0.039631,,,,,,,,
magic,M3Trans,num,1.0016577065132681,1.002418±0.085726,0.71603729001958,0.716868±0.038159,,,,,,,,
magic,Alpha,num,1.0429967738388857,1.042036±0.045350,0.7902497263876951,0.786773±0.033724,,,,,,,,
magic,Dist,num,0.949871513144292,0.947332±0.040290,0.7418939781855463,0.744700±0.031842,,,,,,,,
magic,class,cat,,,,,0.7631578947368421,0.763158±0.022264,0.7221409768938286,0.716762±0.024743,0.7492857142857143,0.750592±0.025246,0.7117461473122194,0.711325±0.021781
