dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.7539628486724856,0.754831±0.034173,0.4970121140292124,0.495928±0.016005,,,,,,,,
shoppers,Administrative_Duration,num,0.8654119587145267,0.863859±0.083357,0.36358586354478023,0.363969±0.024347,,,,,,,,
shoppers,Informational,num,0.6976803770839728,0.695055±0.034526,0.39505649221751726,0.394382±0.017605,,,,,,,,
shoppers,Informational_Duration,num,0.6787135357405474,0.674741±0.068054,0.24763437664689628,0.248837±0.018816,,,,,,,,
shoppers,ProductRelated,num,0.4522684699581654,0.451320±0.021245,0.27750383448317184,0.277588±0.010328,,,,,,,,
shoppers,ProductRelated_Duration,num,0.4410818554455178,0.439903±0.020108,0.2609109724750436,0.261418±0.010614,,,,,,,,
shoppers,BounceRates,num,0.38287468563853655,0.383440±0.012487,0.26788426250926684,0.267780±0.008264,,,,,,,,
shoppers,ExitRates,num,0.36320163729678445,0.363935±0.012261,0.25840439777328944,0.258061±0.007635,,,,,,,,
shoppers,PageValues,num,0.6482105842013194,0.645164±0.048488,0.33761625622380587,0.338401±0.015363,,,,,,,,
shoppers,SpecialDay,num,0.9270960056231436,0.921735±0.043071,0.5350738871669207,0.533386±0.019461,,,,,,,,
shoppers,Month,cat,,,,,0.36415247364152475,0.364090±0.013681,0.1420404257766764,0.141353±0.006406,0.18795089379252544,0.178481±0.040344,0.15989521679029714,0.159623±0.006017
shoppers,OperatingSystems,cat,,,,,0.6366585563665855,0.636294±0.012968,0.3221181050582139,0.343669±0.035439,0.4085299043690167,0.433876±0.041460,0.2996117307300407,0.325225±0.037573
shoppers,Browser,cat,,,,,0.8118410381184104,0.811782±0.010981,0.23666828038098667,0.245148±0.015046,0.23801175824913431,0.245970±0.014121,0.23938574593098172,0.250011±0.017508
shoppers,Region,cat,,,,,0.3909164639091646,0.390476±0.013666,0.08000520731627937,0.080280±0.007856,0.15436120159247194,0.151736±0.017000,0.12054098211854407,0.120606±0.004512
shoppers,TrafficType,cat,,,,,0.37388483373884834,0.374152±0.014245,0.08234778771958423,0.085433±0.008686,0.14442588820860958,0.140683±0.023584,0.0911225750953813,0.095176±0.006043
shoppers,VisitorType,cat,,,,,0.8588807785888077,0.858646±0.010587,0.49343367714080116,0.495326±0.056436,0.6933845029239767,0.691093±0.084400,0.46218757728048154,0.460069±0.054726
shoppers,Weekend,cat,,,,,0.7558799675587997,0.755994±0.012603,0.43048498845265587,0.430346±0.003988,0.37793998377939986,0.377948±0.005661,0.5,0.500000±0.000000
shoppers,Revenue,cat,,,,,0.8929440389294404,0.892587±0.009463,0.7218796992481202,0.722854±0.019089,0.8361918517181199,0.834986±0.023809,0.6776631719546713,0.676856±0.017129
