dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.8823720211750028,0.878785±0.070466,0.6191444157434934,0.620142±0.044907,,,,,,,,
shoppers,Administrative_Duration,num,1.3087221664287596,1.268833±0.238626,0.5844843967590294,0.580542±0.068730,,,,,,,,
shoppers,Informational,num,0.7588969294956122,0.743831±0.095844,0.41205300898245945,0.407485±0.038451,,,,,,,,
shoppers,Informational_Duration,num,0.6167954856918628,0.600414±0.130056,0.25276029122069327,0.251873±0.036866,,,,,,,,
shoppers,ProductRelated,num,0.5502460254292726,0.545925±0.044880,0.3769875946896657,0.378070±0.023430,,,,,,,,
shoppers,ProductRelated_Duration,num,0.4462301596527993,0.438310±0.046442,0.27717164753348433,0.274225±0.022491,,,,,,,,
shoppers,BounceRates,num,0.4848365091532869,0.480324±0.058131,0.3284019572190048,0.328964±0.023465,,,,,,,,
shoppers,ExitRates,num,0.4944762223475207,0.488246±0.053154,0.3184065091264322,0.317803±0.024378,,,,,,,,
shoppers,PageValues,num,1.2397505602399053,1.229853±0.099536,0.7705795940125354,0.770395±0.059545,,,,,,,,
shoppers,SpecialDay,num,1.0864591029890607,1.076378±0.112316,0.5601881997946927,0.562168±0.056469,,,,,,,,
shoppers,Month,cat,,,,,0.29118773946360155,0.289655±0.031081,0.11121469496836053,0.111684±0.010953,0.12218444196705067,0.123217±0.017803,0.13033358701166922,0.130353±0.012184
shoppers,OperatingSystems,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,Browser,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,Region,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,TrafficType,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,VisitorType,cat,,,,,0.8305785123966942,0.829215±0.024069,0.3568063476320357,0.357392±0.029500,0.4144736842105263,0.418208±0.066423,0.35179045092838196,0.353320±0.019647
shoppers,Weekend,cat,,,,,0.7285067873303167,0.728130±0.031892,0.4656673114119923,0.466554±0.026628,0.4951923076923077,0.496261±0.061770,0.49853998203054806,0.497549±0.020120
shoppers,Revenue,cat,,,,,0.8669201520912547,0.867795±0.019444,0.6844252459803215,0.681135±0.045326,0.8706983805668016,0.873477±0.044192,0.6443065405831363,0.645677±0.032903
