dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.7284621447433455,0.728796±0.005034,0.5644393992677627,0.564657±0.003664,,,,,,,,
adult,workclass,cat,,,,,0.7062833978256864,0.706817±0.003794,0.17594737867891108,0.177301±0.005212,0.36314702360551243,0.363498±0.016978,0.16214782523331456,0.163194±0.005037
adult,fnlwgt,num,0.9792906040966378,0.979188±0.011220,0.7250850346277332,0.724742±0.005226,,,,,,,,
adult,education,cat,,,,,0.9988944168048646,0.998885±0.000256,0.9949494802952804,0.994907±0.001757,0.9946838092885056,0.994682±0.002113,0.9952547464671343,0.995027±0.002325
adult,education.num,num,0.088156146375027,0.088228±0.003445,0.05136821710406576,0.051398±0.000598,,,,,,,,
adult,marital.status,cat,,,,,0.8414716540753026,0.841489±0.002802,0.4247945272459529,0.425014±0.004379,0.5104250660287416,0.510652±0.023340,0.4230373692739942,0.423005±0.003929
adult,occupation,cat,,,,,0.3384927215772987,0.338746±0.003639,0.22017752418695388,0.220274±0.003240,0.2779104158663862,0.278097±0.005549,0.23701228265485205,0.237184±0.003305
adult,relationship,cat,,,,,0.7868067072047171,0.786782±0.003423,0.6371668053543503,0.636960±0.003401,0.6702503565643706,0.670917±0.013474,0.6488930649688538,0.648871±0.003109
adult,race,cat,,,,,0.873042196425281,0.873105±0.002488,0.34768614975155476,0.347546±0.004161,0.44943353921446444,0.450614±0.007850,0.3260195496745187,0.325851±0.004724
adult,sex,cat,,,,,0.8439899269086666,0.843879±0.002611,0.8278939133309683,0.827942±0.003150,0.8224706682536984,0.822397±0.003062,0.8350159651284497,0.835210±0.003181
adult,capital.gain,num,0.981290764579431,0.982360±0.047907,0.21461946954769234,0.214874±0.006987,,,,,,,,
adult,capital.loss,num,0.985596720739092,0.986447±0.017669,0.3840975540798785,0.384961±0.006911,,,,,,,,
adult,hours.per.week,num,0.8653553697396393,0.865324±0.008677,0.5913835582442905,0.591296±0.005199,,,,,,,,
adult,native.country,cat,,,,,0.9066396412996744,0.906757±0.002321,0.0649998963609517,0.064533±0.005468,0.09475648405512009,0.086434±0.012937,0.0604825164570179,0.060851±0.004473
adult,income,cat,,,,,0.8581782445795713,0.858157±0.002824,0.7907084436997835,0.790774±0.004079,0.8138086994576754,0.814094±0.004075,0.7740793781329058,0.774285±0.003935
