dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.7630018832628942,0.763690±0.011419,0.5884869782076506,0.588038±0.009176,,,,,,,,
adult,workclass,cat,,,,,0.7460063897763578,0.745827±0.007290,0.205579558817862,0.217020±0.018011,0.32194889918049713,0.342301±0.041408,0.19424648956071663,0.205934±0.016844
adult,fnlwgt,num,0.9438093965513378,0.944536±0.017270,0.7117211697241363,0.712408±0.010932,,,,,,,,
adult,education,cat,,,,,0.88577520560463,0.885416±0.005786,0.8596650895255826,0.857554±0.016319,0.9469570365891805,0.944823±0.014848,0.8016787564683763,0.801695±0.018121
adult,education.num,num,0.36384903141206193,0.364840±0.014064,0.14048896056442722,0.140443±0.005752,,,,,,,,
adult,marital.status,cat,,,,,0.8096407737181456,0.810049±0.007111,0.39840680132331835,0.402683±0.019721,0.49584442195392564,0.496835±0.053231,0.3878634956047562,0.390358±0.017596
adult,occupation,cat,,,,,0.3575197889182058,0.357509±0.008348,0.2206390542341225,0.225966±0.013238,0.29499419997350484,0.296534±0.033357,0.23442412715659544,0.241432±0.012143
adult,relationship,cat,,,,,0.7491817911335912,0.749247±0.007621,0.5882152407354008,0.587013±0.007299,0.5986736131100522,0.598208±0.008060,0.5824081903481416,0.583624±0.008312
adult,race,cat,,,,,0.8678955453149002,0.868305±0.005931,0.31587412310056767,0.315113±0.010506,0.4639554902855478,0.462451±0.020324,0.29083713357549124,0.289376±0.009324
adult,sex,cat,,,,,0.8181261481935089,0.816969±0.006473,0.7978657164291073,0.798622±0.007384,0.7952271661138788,0.795758±0.007718,0.800879819945391,0.800806±0.007850
adult,capital.gain,num,1.2207894822357797,1.224709±0.096120,0.27195061874282944,0.272106±0.020096,,,,,,,,
adult,capital.loss,num,0.9419920672338818,0.941064±0.037337,0.3970879609833812,0.397567±0.014934,,,,,,,,
adult,hours.per.week,num,0.8491795557694294,0.849887±0.018375,0.5770049789195585,0.576548±0.011337,,,,,,,,
adult,native.country,cat,,,,,0.9185576624184022,0.918663±0.004736,0.06991135190033479,0.071984±0.010273,0.08174080848794953,0.085227±0.013734,0.06597230955541582,0.070544±0.011870
adult,income,cat,,,,,0.8473138548539114,0.847402±0.006136,0.770809331797235,0.770802±0.008983,0.7973803717096963,0.797642±0.009373,0.7528597328275767,0.752619±0.009542
