age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
,?,254789.765625, 11th,,?,?,?,?,?,,62.804420471191406,, United-States,?
38.95539855957031,?,,?,, Married-civ-spouse, Craft-repair,?,?,?,,,,?,?
,?,219467.125,?,,?,?,?,?,?,,,,?,?
,?,, Some-college,,?,?,?, White,?,701.95068359375,,,?, <=50K
, Private,185256.078125,?,,?, Other-service,?,?, Female,,,,?,?
,?,,?,,?,?,?,?,?,,,, United-States,?
,?,251310.09375,?,,?, Other-service,?,?,?,,,,?,?
,?,, Prof-school,,?, Prof-specialty,?, White,?,,,29.746742248535156,?, <=50K
,?,,?,,?,?,?, Black,?,,,,?,?
,?,,?,,?,?,?, White,?,,62.550384521484375,,?,?
43.082679748535156,?,182462.234375,?,,?,?, Husband,?, Male,,,,?,?
,?,,?,,?,?,?, White,?,,,,?,?
,?,198986.15625,?,, Never-married,?,?,?,?,179.1937255859375,,, United-States,?
, Private,,?,,?, Craft-repair,?, White,?,,,40.24971008300781,?,?
41.790626525878906,?,184127.65625,?,9.004602432250977,?,?,?,?,?,,52.71713638305664,42.94106674194336, United-States,?
,?,178467.0625,?,,?,?,?,?, Male,,543.123046875,,?,?
20.689599990844727,?,,?,,?,?,?, White,?,,,,?,?
,?,176189.21875,?,,?,?,?,?,?,,,37.35930252075195,?, >50K
,?,211170.765625,?,,?,?,?,?,?,,,,?,?
,?,,?,16.05563735961914,?, Prof-specialty,?,?,?,,266.84967041015625,,?,?
,?,184586.53125,?,,?,?,?,?,?,2365.824462890625,,,?,?
21.669803619384766,?,, Some-college,,?,?,?, White,?,,44.28584289550781,,?,?
, Private,, HS-grad,9.419960975646973,?,?,?,?,?,233.455810546875,,,?,?
29.89702606201172,?,,?,,?, Prof-specialty,?,?, Male,,,,?,?
,?,,?,12.94308853149414, Never-married,?, Not-in-family,?, Female,,,,?,?
, Self-emp-not-inc,,?,, Married-civ-spouse, Sales,?, White,?,,,,?,?
,?,,?,, Never-married,?, Own-child,?,?,,,39.1340446472168, United-States,?
,?,, HS-grad,,?,?,?,?,?,,,,?,?
,?,, HS-grad,,?,?,?, White,?,,,,?,?
,?,,?,,?, Craft-repair,?,?,?,,,,?, <=50K
,?,,?,,?,?,?, White,?,,10.151313781738281,43.60279083251953,?,?
, Private,187481.3125,?,,?, Other-service,?, White, Female,,,,?,?
,?,,?,,?,?,?,?,?,,,,?,?
,?,,?,, Married-civ-spouse,?,?,?, Male,,39.107242584228516,,?,?
,?,,?,,?,?,?,?, Female,,,40.813228607177734, United-States,?
,?,,?,,?,?,?,?, Male,594.77978515625,,, United-States,?
,?,,?,, Married-civ-spouse,?,?,?,?,,,,?,?
,?,,?,,?,?, Not-in-family, White, Female,-183.4554443359375,,38.259891510009766,?, <=50K
,?,,?,,?,?,?,?,?,,,38.17148208618164,?,?
,?,202276.8125, HS-grad,,?,?,?,?,?,,,,?,?
45.21802520751953,?,,?,,?, Exec-managerial,?, White, Male,,,46.65188980102539,?,?
,?,, Assoc-voc,,?,?, Husband,?,?,2393.914306640625,,,?,?
,?,179243.640625, HS-grad,,?,?,?,?,?,215.9019775390625,,,?,?
,?,223444.09375,?,,?,?,?, White,?,,53.31187057495117,40.464927673339844,?,?
, Private,,?,9.96204948425293,?,?,?,?,?,,,, United-States, <=50K
37.90031433105469,?,,?,,?,?,?,?, Female,2268.39404296875,,,?,?
34.492923736572266,?,,?,,?,?,?,?,?,,52.31724548339844,,?,?
41.09159469604492,?,171171.921875,?,,?,?,?,?,?,,,,?, <=50K
49.12530517578125,?,,?,6.788084030151367,?,?, Unmarried,?,?,,,,?,?
,?,, HS-grad,,?,?,?, White, Female,,,44.523868560791016,?,?
,?,,?,9.962920188903809,?,?,?,?,?,,85.5029067993164,,?,?
, Private,,?,8.993484497070312,?,?,?,?,?,,,40.06296920776367, United-States, <=50K
, Private,,?,,?,?,?,?,?,,,24.59198570251465,?,?
,?,,?,,?,?, Not-in-family,?,?,294.33892822265625,,,?,?
35.895999908447266,?,, 9th,,?,?,?,?,?,,,,?,?
, Private,208616.0,?,,?,?,?, White, Female,,38.71607971191406,, United-States,?
,?,,?,8.98493480682373,?,?,?,?,?,552.924072265625,,,?,?
43.42293167114258,?,,?,,?,?,?, White,?,,,,?,?
,?,, HS-grad,,?,?,?,?,?,,,,?,?
,?,,?,,?, Craft-repair,?,?,?,,60.41379928588867,,?,?
,?,,?,,?,?, Not-in-family,?,?,,,,?,?
,?,,?,9.976245880126953,?, Adm-clerical,?,?, Female,,,,?,?
,?,,?,, Never-married, Prof-specialty,?,?,?,,,39.881507873535156, United-States,?
,?,,?,9.024688720703125,?, Adm-clerical,?,?,?,,,36.95648956298828,?,?
,?,,?,9.01102352142334,?, Adm-clerical,?,?,?,,,,?,?
,?,,?,,?,?,?, White,?,,,38.401397705078125,?,?
,?,, Assoc-acdm,,?, Exec-managerial,?, White,?,4103.869140625,,,?,?
,?,, Some-college,, Never-married, Other-service,?, White, Female,,38.73167037963867,25.789112091064453,?,?
,?,193087.65625,?,,?, Craft-repair, Not-in-family,?,?,,,,?,?
,?,,?,, Married-civ-spouse, Craft-repair, Husband,?,?,,,, United-States,?
,?,,?,,?,?,?, White,?,3102.795654296875,,,?,?
,?,,?,, Married-civ-spouse,?,?, White,?,,,,?,?
, Private,,?,,?,?,?,?,?,,,,?, <=50K
31.507713317871094,?,,?,, Never-married,?, Unmarried, White,?,,47.9967041015625,, United-States, <=50K
,?,,?,, Married-civ-spouse, Craft-repair,?,?,?,,,,?,?
,?,, 10th,,?,?,?,?,?,116.14410400390625,,22.375207901000977,?,?
39.548927307128906, Private,,?,,?,?,?, White,?,,68.08267974853516,,?,?
51.96500015258789, Private,,?,9.047111511230469,?,?,?,?,?,,,,?,?
,?,,?,,?,?, Husband,?,?,,62.810935974121094,,?,?
39.141239166259766,?,,?,, Never-married,?,?,?,?,,,39.03384017944336,?, <=50K
,?,,?,,?,?,?, White,?,,,,?, <=50K
,?,,?,12.96394157409668, Never-married,?,?,?,?,,,,?,?
, Private,,?,,?,?, Not-in-family,?, Female,,,,?,?
, Private,, Bachelors,12.023383140563965,?, Exec-managerial,?, White,?,4458.9169921875,,,?,?
,?,,?,,?,?,?,?, Male,,93.3907699584961,, United-States,?
, Private,,?,,?,?,?,?,?,,63.873653411865234,,?,?
, Private,,?,7.093435287475586, Never-married,?,?,?,?,,,,?, <=50K
41.43513107299805,?,, HS-grad,,?,?,?,?,?,,,,?, <=50K
29.922454833984375,?,197782.765625, HS-grad,10.32376480102539,?,?, Not-in-family, White,?,,78.62520599365234,,?,?
,?,,?,,?, Prof-specialty,?,?, Female,1456.7762451171875,,,?, >50K
, Private,,?,, Divorced,?,?,?,?,,,, United-States,?
,?,, 7th-8th,,?,?, Not-in-family,?,?,,,,?, <=50K
43.34125900268555,?,,?,,?,?,?,?,?,,,,?,?
, Private,,?,,?,?,?,?,?,,,, United-States,?
,?,,?,14.102577209472656,?,?,?,?,?,,27.509902954101562,,?,?
,?,,?,,?, Other-service,?, White, Male,,,34.39310073852539,?,?
, Private,177529.15625,?,, Never-married, Prof-specialty,?,?,?,,43.75712203979492,, United-States,?
,?,, HS-grad,8.358405113220215, Married-civ-spouse,?,?, White, Male,,,,?,?
,?,167613.359375,?,,?,?, Husband,?,?,,,, United-States,?
,?,216917.015625,?,,?,?,?,?,?,,,,?,?
41.14735794067383,?,180938.890625, HS-grad,9.72012710571289,?,?, Wife,?,?,,,,?,?
,?,,?,,?,?, Not-in-family, White,?,,50.35615158081055,39.07975769042969,?,?
,?,,?,,?,?,?, White,?,88.2066650390625,,, United-States,?
65.92413330078125,?,, 9th,,?,?,?,?,?,373.50250244140625,,26.848228454589844,?,?
,?,180794.921875,?,,?,?,?,?,?,,,,?,?
,?,,?,, Divorced,?,?,?,?,,,39.40641403198242, United-States,?
,?,,?,,?,?,?,?, Male,,,,?,?
,?,200043.890625,?,,?,?,?,?,?,123.07525634765625,55.11172866821289,,?,?
23.211090087890625, Private,,?,,?,?, Own-child,?,?,,95.98717498779297,,?, <=50K
27.628463745117188, Private,,?,,?, Other-service,?,?, Female,,,,?,?
,?,,?,,?, Sales,?,?,?,,,26.754959106445312,?,?
39.3177604675293,?,,?,,?,?,?,?,?,,106.16231536865234,, United-States,?
,?,, Assoc-voc,,?, Craft-repair,?,?,?,,134.07366943359375,47.28425216674805,?,?
,?,,?,,?, Other-service,?,?,?,,44.23525619506836,,?,?
,?,, Some-college,,?,?, Husband,?,?,,,,?,?
, Private,, HS-grad,,?, Craft-repair,?,?,?,,,,?, <=50K
,?,,?,,?,?, Husband,?,?,,,,?,?
,?,,?,,?,?,?,?,?,,,, United-States,?
,?,192124.734375, HS-grad,,?, Adm-clerical,?,?,?,,,38.22071075439453,?,?
,?,, Bachelors,,?,?,?,?,?,1180.706787109375,,, United-States,?
42.98668670654297,?,163964.140625,?,, Divorced, Prof-specialty,?, White,?,,,, United-States,?
20.771854400634766,?,, Some-college,,?, Other-service,?, White,?,153.24212646484375,,,?,?
, Private,210404.84375,?,9.954094886779785, Never-married,?,?,?, Male,,,27.445968627929688,?,?
, Private,184540.84375,?,,?, Adm-clerical,?,?,?,,,,?,?
,?,, HS-grad,9.016158103942871,?,?,?,?,?,147.070556640625,44.179195404052734,,?,?
,?,178568.984375,?,, Widowed,?,?,?, Female,,,,?,?
,?,,?,, Married-civ-spouse, Prof-specialty,?,?,?,,1662.6517333984375,43.073463439941406,?,?
,?,,?,, Never-married,?,?,?,?,157.5101318359375,,, United-States,?
43.5881233215332,?,,?,,?,?, Husband,?,?,2595.69677734375,,,?,?
44.29930114746094,?,,?,,?, Exec-managerial,?,?,?,5516.92724609375,382.37579345703125,,?,?
,?,198141.953125,?,,?,?,?, White, Male,,,41.941768646240234,?, <=50K
, Private,, HS-grad,,?,?,?, White,?,,,37.492828369140625, United-States,?
,?,,?,,?,?,?, White,?,,41.10791778564453,,?,?
51.84794616699219,?,, Doctorate,,?, Prof-specialty,?,?, Male,,,,?,?
, Private,,?,9.012524604797363,?,?,?, White,?,,,42.08424377441406,?, <=50K
,?,,?,,?, Adm-clerical, Not-in-family,?,?,,,,?,?
