dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.603448275862069,0.603951±0.007309,0.6025874622474021,0.602478±0.007386,0.6056898532459549,0.606540±0.007296,0.6034124161490577,0.603385±0.007927,,,,
beijing,month,cat,0.7811302681992337,0.781278±0.006195,0.7776232714323629,0.777769±0.006656,0.7789660912395376,0.778518±0.006579,0.7777051951012969,0.777789±0.006208,,,,
beijing,day,cat,0.2753831417624521,0.275349±0.006382,0.2729766653417113,0.272356±0.006985,0.28075343575776407,0.280328±0.007707,0.27574852299580166,0.275589±0.006974,,,,
beijing,hour,cat,0.13242337164750959,0.132205±0.005136,0.1216842799963761,0.120769±0.004779,0.13046526700869235,0.130972±0.006291,0.13250211509749113,0.132427±0.005018,,,,
beijing,pm2.5,num,,,,,,,,,0.5397642452354656,0.540134±0.013781,0.36671685705131163,0.366488±0.006975
beijing,DEWP,num,,,,,,,,,0.21718156691735568,0.217133±0.003265,0.16329879840123107,0.163182±0.002243
beijing,TEMP,num,,,,,,,,,0.21409434294522162,0.213911±0.002391,0.16773513983370342,0.167708±0.002080
beijing,PRES,num,,,,,,,,,0.34850790488271377,0.348380±0.004059,0.27327999427781735,0.273002±0.003240
beijing,cbwd,cat,0.6817528735632183,0.681481±0.006917,0.5598367415159295,0.559438±0.006512,0.678341922515803,0.678045±0.021753,0.5912396923404729,0.591058±0.006217,,,,
beijing,Iws,num,,,,,,,,,0.525522009397204,0.524367±0.016610,0.27376073484255536,0.274229±0.006723
beijing,Is,num,,,,,,,,,0.40851126938183474,0.403150±0.063563,0.04436994348810555,0.043521±0.005975
beijing,Ir,num,,,,,,,,,0.640625823702075,0.641464±0.052078,0.13127450678947788,0.131528±0.009522
